text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
* בית משפט השלום נמנע מהרשעת הנאשם שהודה בהחזקת סם לצריכה עצמית.,,,,,,,,,,,,,,
גזר דינו של הנאשם שהודה במסגרת הסדר טיעון בהחזקת סם לצריכה עצמית.,,,,,,,,,,,['כן'],,,
"רשויות התביעה ובתי המשפט מגלים עמדה עונשית מתונה כלפי נאשמים נעדרי עבר פלילי, אשר מסתבכים לראשונה בעבירת החזקת סמים לצריכה עצמית בכמויות קטנות.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,,,,,,,,,,
"נראה גם כי הנאשם לא נושא, במידה האופטימאלית, באחריות למעשיו, אך למרות זאת קבע בית המשפט כי אין להרשיע את הנאשם.",,,,,,,,,,,,,,
"הנאשם הואשם בכך שביום 17.6.13 החזיק בביתו סם מסוכן מסוג חשיש, במשקל כולל של  נטו, לצריכתו העצמית.",,,,,"['הסוג הוא [קנביס], כפי שמצוין בטקסט: ""הנאשם הואשם בכך שביום 17.6.13 החזיק בביתו סם מסוכן מסוג חשיש, במשקל כולל של  נטו, לצריכתו העצמית.""']",['[1 - גרם]'],"['לא בעל המעבדה, בעל הסמים']",,,,,,,
"הנאשם הודה על בסיס הסדר הטיעון, בעובדות כתב האישום, וביום 11.9.14 נקבע (ע""י כב' השופט ניר מישורי-לב טוב) כי הוא ביצע את עבירת כתב האישום.",,,,,,,,,,,['כן'],,,
"בהתאם להסדר הטיעון, הוגש בעניינו של הנאשם, תסקיר מטעם שירות המבחן המפרט את נסיבותיו האישיות והמשפחתיות .",,,,,,,,,,,,,,
"בתסקיר נאמר כי אין לחובתו של הנאשם הרשעות קודמות וכי רק תלוי ועומד נגדו תיק מב""ד בגין עבירת איומים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,
"הנאשם, קיבל אחריות למעורבותו בעבירה, אך במקביל שלל צריכה כלשהי לסמים והתקשה להסביר המניעים שעמדו מאחורי ביצוע העבירה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,['כן'],,,,
"בפני שירות המבחן, מסר הנאשם, כי בבעלותו בית קטן אשר משמש לאירוח והממוקם במסוך ליקב, ובתקופה הסמוכה לעבירה, ידידתו השתמשה בבית לצורך מסיבה, שבסיומה מצא בבית קופסא עם שאריות סם וחרף ידיעתו כי המדובר בקופסא שמכילה סם, החליט להעבירה למשרדו ביקב כפריט קישוט, וללא כל כוונה מצידו לעשות שימוש כלשהו בסם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,"['הסוג של הסמים הוא [קנביס], כפי שצוין בטקסט: ""בבית מצא קופסא עם שאריות סם וחרף ידיעתו כי המדובר בקופסא שמכילה סם, החליט להעבירה למשרדו ביקב כפריט קישוט, וללא כל כו']",,,,,,,,,
