text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
בית המשפט המחוזי בבאר שבע,,,,,,,,,,,,,,,,,
"תפ""ח 10037-11-22 מדינת ישראל נ' אבו עמאש(עציר) ואח'",,,,,,,,,,,,,,,,,
"ע""י פרקליטות מחוז דרום",,,,,,,,,,,,,,,,,
עומרי אבו עמאש (עציר),,,,,,,,,,,,,,,,,
"ע""י ב""כ עו""ד נתנאל סאלי אביטל",,,,,,,,,,,,,,,,,
סאמיר אבו עמאש,,,,,,,,,,,,,,,,,
"ע""י ב""כ עו""ד אבנר שמש",,,,,,,,,,,,,,,,,
"מרים גור אריה, ""חובה פלילית למנוע פשע - אימתי מוצדקת"", מחקרי משפט, יז (תשס""ב) 355",,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  40י(ג), 144(ב), 262, 329, 329(א), 329(א)(1), 329(א)(2), 333, 335(א)(1)",,,,,,,,,,,,,,,,,
"הנאשמים הורשעו, על פי הודאתם בעובדות כתב האישום המתוקן, בעבירות הבאות:",,,,,,,,,,,,,,['כן'],,,
"נאשם 1 הורשע בעבירה של חבלה בכוונה מחמירה, לפי סעיף 329(א)(2) לחוק העונשין, תשל""ז – 1977 (להלן: ""החוק""), חבלה חמורה בנסיבות מחמירות, לפי סעיפים 333 ו-335(א)(1) לחוק ועבירה נוספת של נשיאה והובלת נשק, לפי סעיף 144(ב) רישה לחוק.",,,,,,,,,,,,,,,,,
"נאשם 2 הורשע בעבירה של אי מניעת פשע, לפי סעיף 262 לחוק.",,,,,,,,,,,,,,,,,
"נאשם 1 הוא אחיה של המתלוננת, צעירה ילידת 1995 (להלן גם: ""נפגעת העבירה""), ואילו נאשם 2 הוא בן דודה של המתלוננת.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"במועד שאינו ידוע במדויק למאשימה, כ- 4 שנים עובר למועד הרלבנטי לאירוע נשוא כתב האישום, עזבה המתלוננת את בית משפחתה ברהט וזאת על רקע סכסוך משפחתי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,
"עובר ליום 10.6.2022 יצרו מי מבני משפחתה של המתלוננת קשר עמה, ושכנעו אותה לשוב לחיק משפחתה ברהט והמתלוננת הסכימה לכך.",,,,,,,,,,,,,,,,,
"ביום האירוע 10.6.2022 בשעות הצהריים או בסמוך לכך, נסעה המתלוננת עם אביה, אחותה ודודה לבית משפחתה ברהט (להלן: ""המתחם"").",,,,,,,,,,,,,,,,,
"ביום האירוע בשעה 19:00 או בסמוך לכך, שהתה המתלוננת במתחם וסייעה בהכנת ארוחת ערב משפחתית, יחד עם אמה, שתי אחיותיה וגיסתה, כשבזמן הזה נכחו במקום גם הנאשמים.",,,,,,,,,,,,,,,,,
"במעמד זה, יצאה המתלוננת מהמטבחון במתחם, ובעודה פונה שמאלה בחצר המתחם, אחז נאשם 1 בידו אקדח אותו החזיק בלא רשות על פי דין, ירה לעבר המתלוננת וחבל בה חבלה חמורה שלא כדין בכך שפגע בזרועה הימנית.",,,,,['על גופו'],,,[],['אקדח'],"['ירי', 'ניסיון לירי']",,,,,,,
"המתלוננת נפלה ארצה, הסבה פניה לאחור וראתה את נאשם 1 מכוון לעברה את האקדח ונמלטה למטבח במתחם, כשהיא מדממת בזרועה הימנית.",,,,,[],,,,['אקדח'],,,,,,,,
"אמם של המתלוננת ונאשם 1 אמרה לנאשם 1 ""אל תעשה זאת"" או במילים דומות לכך, אולם נאשם 1 התעלם מדברי האם, דלק אחרי המתלוננת, נכנס למטבח בו שהתה המתלוננת כאמור, כיוון שוב לעבר המתלוננת את האקדח וניסה לירות במתלוננת ולפגוע בה וזאת בכוונה להטיל בה נכות או מום, או לגרום לה חבלה חמורה שלא כדין.",,,,,,[],,[],['אקדח'],"['ירי', 'ניסיון לירי']",,,,,,,
רק בשל מעצור באקדח לא עלה בידי נאשם 1 לירות לעבר המתלוננת.,,,,,,,,,['אקדח'],['ניסיון לירי'],,,,,,,
