text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CONFESSION_LVL2,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם הורשע על פי הודאתו בעבירות של החזקת ונשיאת נשק שלא כדין, עבירות לפי סעיפים 144(א) + (ב) לחוק העונשין.",,,,,['כן'],,,,,,,,,,,,,,,,
"על פי עובדות כתב האישום החזיק הנאשם נשק, אקדח מסוג ברטה, בעת שנסע עם אחר ברכב באזור כפר מושרייפה.",,,,,,"['אקדח סוג הנשק שהחזיק הנאשם הוא אקדח, במקרה הזה אקדח מסוג ברטה']",,,,['ברכב'],,,,[],[],,,,,,
הנאשם הודה במיוחס לו בכתב האישום ביום הגשת כתב האישום והורשע.,,,,,['כן'],,,,,,,,,,,,,,,,
"הנאשם יליד 1986, ללא עבר פלילי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"הוא ניגש למקום ומצא את הנשק ולקח אותו, ללא כל כוונה לעשות בו שימוש.",,,,,,,,,,,,,[],[],"['מאחר', 'מצא']",,,,,,
בשים לב לגילו ובהעדר עבר פלילי הורה בית המשפט על הגשת תסקיר בעניינו.,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
שירות המבחן הגיש תסקיר בו המליץ כי יגזר על הנאשם עונש של מאסר שניתן לרצותו בעבודות שירות.,,,,,,,,,,,,,,,,,,,,,
"שירות המבחן ציין כי מדובר בצעיר נורמטיבי, בן למשפחה נורמטיבית, ללא מעורבות בפלילים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
שירות המבחן התרשם כי בנסיבות העניין גזירת עונש של מאסר עלולה לגרום להתדרדרות נפשית לנאשם.,,,,,,,,,,,,,,,,,,,,,
שירות המבחן סבר כי אין מקום להליך טיפולי מאחר והנאשם אינו זקוק לכך.,,,,,,,,,,,,,,,,,,,,,
הודגש כי הנאשם לקח אחריות ומביע חרטה.,,,,,['לא'],,,,,,,,,,,,,,,,
כמו כן הודגשה עמדת משפחתו שרואה בחומרה את הסתבכותו בפלילים.,,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"ב""כ הנאשם ציין כי הנאשם הודה מיד בישיבה הראשונה, ביום הגשת כתב האישום.",,,,,['כן'],,,,,,,,,,,,,,,,
"הנאשם היה עצור לתקופה של 40 ימים ובהמשך שהה במעצר בית מלא, עד לאחרונה.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
משפחתו הפקידה בטוחות כספיות גבוהות ונרתמה כדי להחזירו אל דרך הישר.,,,,,,,,,,,,,,,,,,,,,
לנאשם זה אין כל עבר פלילי וגם לא ידועה מעורבות אחרת בפלילים.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,,,,,,,
הנאשם הודה ביום הגשת כתב האישום (וגם הודה בעת חקירתו מיד כשנעצר).,,,,,['כן'],,,,,,,,,,,,,,,,
סבור אני כי העובדה שנאשם מודה ביום הגשת כתב האישום מהווה שיקול להקלה משמעותית בדינו מאחר ויש בכך כדי להבהיר כי מי שלוקח אחריות על מעשיו ומודה מיד – יובא הדבר בחשבון במסגרת שיקולי הענישה.,,,,,['לא'],,,,,,,,,,,,,,,,
מעבר לכך – ההודאה המיידית מצביעה על חרטה אמיתית ועל העדר נורמות עברייניות.,,,,,['לא'],,,,,,,,,,,,,,,,
"עוד הבאתי בחשבון כי הנאשם היה עצור כ- 40 ימים, דבר שאינו פשוט למי שעולם העברינות זר לו, ובהמשך שהה במעצר בית מלא עד לאחרונה.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
אני גוזר על הנאשם לרצות 18 חודשי מאסר  מהם 6 חודשי מאסר בפועל ו- 12 חודשי מאסר מותנה.,,,,,,,,,,,,,,,,,,,[],['הנאשם קיבל 12 חודשי מאסר על תנאי'],[]
התנאי הוא שהנאשם לא יעבור את העבירות בהן הורשע וכן כל עבירה בנשק בתוך 3 שנים מהיום ויורשע בגינן.,,,,,,,,,,,,,,,,,,,[],['הנאשם קיבל 12 חודשי מאסר על תנאי'],[]
"סה""כ ירצה הנאשם 6 חודשי מאסר בפועל.",,,,,,,,,,,,,,,,,,,['6 חודשי מאסר בפועל'],[],[]
"אני גוזר על הנאשם לשלם קנס כספי בסכום של 20,000 ₪.",,,,,,,,,,,,,,,,,,,[],[],"['20,000 ₪']"
"יתרת הקנס בסכום של 10,000 ₪ תשולם בחמישה תשלומים שווים ורצופים שהראשון שבהם ישולם ביום 1/12/09 והיתרה בכל 1 לחודש שאחריו.",,,,,,,,,,,,,,,,,,,[],[],[]
אם לא ישולם תשלום במועדו תעמוד יתרת הקנס לפרעון מידי ויהיה על הנאשם לרצות  שלושה (3) חודשי מאסר תמורת הקנס.,,,,,,,,,,,,,,,,,,,[],[],[]
