,verdict,text,part
0,SH-20-02-49042-925,לפני:				כבוד השופט גיא אבנון,בית משפט השלום בנתניה
1,SH-20-02-49042-925,באמצעות תביעות מרכז – שלוחת נתניה,בית משפט השלום בנתניה
2,SH-20-02-49042-925,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  13, 19א","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
3,SH-20-02-49042-925,"פקודת בתי הסוהר [נוסח חדש], תשל""ב-1971: סע'  52(ב), 52.ב.1.א., 52.ב.1.ג","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
4,SH-20-02-49042-925,"חוק העונשין, תשל""ז-1977: סע'  40ג(א), 40ט","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
5,SH-20-02-49042-925,"הנאשמת הורשעה בהתאם להודאתה בכתב אישום מתוקן בעבירות אספקת סמים מסוכנים, לפי סעיפים 13 ו-19א לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973 (להלן: פקודת הסמים); פעולה בחפץ אסור מסוכן בכלא (2 עבירות), לפי סעיפים 52(ב)(1)(א)-(ג) לפקודת בתי הסוהר [נוסח חדש], תשל""ב-1971 (להלן: פקודת בתי הסוהר).","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
6,SH-20-02-49042-925,בהתאם להסכמת הצדדים הופנתה הנאשמת לקבלת תסקיר מבחן וחוות דעת מאת הממונה על עבודות שירות.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
7,SH-20-02-49042-925,אירוע ראשון: הנאשמת היא עורכת דין החברה בלשכת עורכי הדין משנת 2014.,"בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
8,SH-20-02-49042-925,"במהלך חודש דצמבר 2019 פנה אליה גורם שזהותו אינה ידועה למאשימה (להלן: האחר), ומסר לה כי הוא מעוניין למסור לה ""כסף"" אותו תעביר לאסיר אמיר עיסא בבית הסוהר ""רימונים"" (להלן בהתאמה: האסיר, הכלא).","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
9,SH-20-02-49042-925,"בחלוף ימים אחדים נפגשו האחר והנאשמת בסמוך למקום מגוריה של הנאשמת, שם העביר לה האחר אריזה מגולגלת ובה חומר שאסור להכניסו לבית הסוהר (להלן: החומר).","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
10,SH-20-02-49042-925,"במהלך שבוע תמים ובכל מקום בו שהתה, נשאה עמה הנאשמת את החומר בין חפציה האישיים.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
11,SH-20-02-49042-925,"בתום אותו השבוע, ביום 13.1.20 הגיעה הנאשמת לכלא מתוקף עבודתה כעורכת דין, במטרה לפגוש את האסיר ולהעביר לו את החומר.","בשם הנאשמת:		עו""ד אורי בן נתן ועו""ד שיר שם טוב"
