text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION
"הנאשם הורשע על פי הודאתו, שניתנה במסגרת הסדר טיעון, בשלוש עבירות שיוחסו לו בכתב האישום המתוקן במסגרת שלושה אישומים – שתי עבירות של יבוא סם מסוכן לפי סעיף 13 לפקודת הסמים המסוכנים, התשל""ג-1973 (להלן: ""הפקודה"") בצירוף סעיף 19א לפקודה, ובעבירה של החזקה ושימוש לפי סעיף 7(א) ו-(ג) סיפא לפקודה.",,,,,,,,,,,['כן']
"לפי המתואר בכתב האישום, ביום 14.04.23 גמלה בליבו של הנאשם החלטה לייבא לארץ סם מסוכן מסוג GHB.",,,,,['סוג הסמים הוא GHB'],,,,,,
"לצורך כך, נכנס הנאשם לאתר אינטרנט וביצע הזמנה על שמו של 2,000 מ""ל סם מסוכן מסוג GHB בסכום של 247.18 דולר לכתובת מסוימת בירושלים.",,,,,['סוג הסמים הוא GHB'],['[2 - ליטר]'],['לא בעל המעבדה'],,,,
"ביום 1.05.23 הגיעה החבילה לישראל ובה ארבעה בקבוקים בהם 2,000 מ""ל סם מסוכן מסוג BDO למשרדי המכס בישראל.",,,,,['סוג הסמים הוא BDO'],['[2 - ליטר]'],,,,,
"יותר מחודש קודם לכן, עובר ליום 17.03.23, גמלה בליבו של הנאשם החלטה לייבא לארץ סם מסוכן מסוג GHB.",,,,,['סוג הסמים הוא GHB'],,,,,,
"לצורך כך, נכנס הנאשם לאתר אינטרנט וביצע הזמנה על שמו של 1,000 מ""ל סם מסוכן מסוג GHB בסכום של 150 דולר.",,,,,['סוג הסמים הוא GHB'],['[1 - ליטר]'],"['הנאשם הזמין 1,000 מ""ל של סם מסוג GHB, שזה סם מסוכן, דרך אתר אינטרנט, וההזמנה הייתה על שמו. הוא שילם 150 דולר עבור הסם, מה שמצ']",,,,
"בדרך זו הכניס הנאשם לתחומי מדינת ישראל כמות של 1,000 מ""ל סם מסוכן מסוג GHB או BDO ב-2 בקבוקים (להלן: ""האישום השני"").",,,,,['סוג הסמים הוא GHB או BDO'],['[1 - ליטר]'],,,,,
"עוד צוין בכתב האישום, כי במועד שאינו ידוע במדויק למאשימה, ועד ליום 4.05.23, החזיק הנאשם ברכבו שני בקבוקים ובתוכם סם מסוכן מסוג GBL בכמות של 17.5 מ""ל.",,,,,['סוג הסמים הוא GBL'],"['[17.5 - מ""ל]']",,,,,
מהתסקיר עולה כי הנאשם נולד וגדל במשפחה מוסלמית בת חמישה ילדים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,
"הנאשם תיאר את הוריו כאנשים אוהבים ודואגים, התומכים בילדיהם על בחירותיהם, אך למרות זאת הוא לא חשף בפניהם את נטייתו החד-מינית, גם לאחר שהתוודע לנטייתו זו בהיותו כבן 18, בשל החשש שלא יקבלו את אורח חייו ומרצון שלא יעסקו בדאגה מרובה לו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,
בהיותו בן 25 התחתן ולו ולאשתו דאז נולדו שני ילדים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,
"לפני כארבע שנים הם התגרשו, והם מגדלים את ילדיהם במשמורת משותפת.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,
הנאשם שלל שימוש בסמים אך תאר שתיית אלכוהול באופן מבוקר ולעיתים רחוקות.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,
קצינת המבחן ציינה כי הנאשם נטל אחריות על ביצוע העבירות והביע צער וחרטה על ביצוען.,,,,,,,,,['כן'],['כן'],
"לטענתו, הוא היה נתון ללחץ נפשי כבד מצד הוריו, שטרם התוודעו לנטייתו המינית, שדחקו בו להינשא בשנית.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,
הוא סבר כי השימוש בסם יספק לו את תחושת האומץ לשתף את הוריו בתחושותיו.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,
"הנאשם ציין, כי במטרה להימנע ממפגש עם סוחרי סמים, הוא הזמין סמים מחו""ל את הכמות הנמוכה ביותר שהיה ניתן לקנות מחברה המוכרת בסיטונאות.",,,,,,,,,,,
הוא שלל כוונה למכור סמים ורצון לערוך שימוש נוסף בסם.,,,,,,,,,,,
אביו סיפר על מערכת היחסים החמה והדואגת עם הנאשם וציין כי הנאשם הביע בפניו חרטה על מעשיו והבטיח שלא יחזור שוב על טעויותיו.,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,['כן'],,
