text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"ב""כ המאשימה עו""ד פאדי אסעד",,,,,,,,,,,,,,,,,
"הנאשם בעצמו וב""כ עו""ד נעמה שגיא",,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  144(א)",,,,,,,,,,,,,,,,,
"* ביהמ""ש גזר את דינו של נאשם שהורשע בעבירה של החזקת נשק, אביזר ותחמושת.",,,,,,,,,,,,,,,,,
"הוטלו על הנאשם שישה חודשי מאסר בפועל שירוצו בעבודות שירות, שישה חודשי מאסר על תנאי וקנס בסך 5,000 ₪.",,,,,,,,,,,,,,,"['הנאשם קיבל שישה חודשי מאסר בפועל, שירוצו בעבודות שירות']",['הנאשם קיבל שישה חודשי מאסר על תנאי'],"['5000 ש""ח']"
* עונשין – ענישה – מדיניות ענישה: עבירות נשק,,,,,,,,,,,,,,,,,
* עונשין – ענישה – מדיניות ענישה: שיקום,,,,,,,,,,,,,,,,,
* עונשין – ענישה – הימנעות מהרשעה,,,,,,,,,,,,,,,,,
"הנאשם הורשע, על יסוד הודאתו בעובדות כתב האישום במסגרת הסדר טיעון, בביצוע עבירה של החזקת נשק, אביזר ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין.",,,,,,,,,,,,,,['כן'],,,
"בית המשפט גזר את דינו של הנאשם, בקובעו כדלקמן:",,,,,,,,,,,,,,,,,
"עבירה של החזקת נשק בכלל, והחזקה של תת מקלע מאולתר עם מחסנית תואמת וכדור בפרט, היא מסוג העבירות בהן במצב הדברים הרגיל אין מקום לשקול ביטול הרשעה של בגיר.",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,['תת מקלע מאולתר עם מחסנית תואמת וכדור'],,,,,,,,
"חומרתה המופלגת של העבירה, בנסיבותיה, אינה מאפשרת לבטל את הרשעת הנאשם, מה גם שהנאשם לא השכיל להציג כל פגיעה קונקרטית של ההרשעה הפלילית המתבקשת בו ובעתידו.",,,,,,,,,,,,,,,,,
"בהתחשב בנסיבות ביצוע העבירה (הסלקת תת מקלע מאולתר עם מחסנית תואמת וכדור, בשטח פתוח), בעקרון המנחה שלפיו על העונש להתאים למעשה, בענישה הנוהגת בתחום ובגילו הצעיר של הנאשם, יש לקבל את עתירת המאשימה למתחם עונש הולם שנע בין 7 ל-14 חודשי מאסר בפועל, כעונש עיקרי.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,['תת מקלע מאולתר'],,,,,,,,
"בעניינו של הנאשם, יש לסטות ממתחם העונש ההולם לצרכי שיקום.",,,,,,,,,,,,,,,,,
"הנאשם הוא אדם צעיר, נטול הרשעות קודמות, העובד לפרנסתו ומכלכל את בני משפחתו.",,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
