text,PUNISHMENT,GENERAL_CIRCUM,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,CIRCUM_OFFENSE,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם הורשע, לאחר שמיעת הוכחות, בעבירות של החזקת נשק, תחמושת ואבזרי נשק.",,,,,,,,,,,,,,,,,
"על פי עובדות הכרעת הדין, ביום 6.5.24 החזיק הנאשם בבית מגורים שבבעלותו, הנמצא בעיר חברון (להלן: הבית), כלי נשק ואבזרי נשק שונים, ללא היתר כדין:",,,,,,,[],,,,,,,,,,
"שלושה רימוני יד, המשמשים לאימון הטלת רימון רסס.",,,,,,,,['רימון רסס'],[],,,,,,,,
28 מחסניות לאקדח גלוק ועשרות כדורים.,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,"['אקדח 28 מחסניות לאקדח גלוק ועשרות כדורים מתאימות לתיאור של אקדח, שהוא כלי נשק אישי קטן יחסית עם מחסניות שנית']",,,,,,,,,
שני נרתיקים לאקדח ונרתיק אחד למחסניות.,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,['אקדח שני נרתיקים לאקדח ונרתיק אחד למחסניות מתאימים לתיאור של נשיאת אקדח'],,,,,,,,,
"להשלמת התמונה אוסיף, כי יוחס לנאשם אישום נוסף, ממנו זוכה.",,,,,,,,,,,,,,,,,
"ב""כ המאשימה הפנה לחומרת העבירות בהן הורשע הנאשם, פגיעתן בערכים מוגנים, פוטנציאל הנזק שבהן והצורך להרתיע מפני ביצוען.",,,,,,,,,,,,,,,,,
"לאור אלה טען, כי מתחם העונש ההולם הוא מאסר שבין שלוש שנים לשש שנים.",,,,,,,,,,,,,,,,,
"לאור נסיבות הענין, ובהן הרשעותיו הקודמות של הנאשם והעדר קבלת אחריות, ביקש ב""כ המאשימה להשית על הנאשם עונש בצידו הגבוה של המתחם.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"ב""כ הנאשם ביקש לנהוג בנאשם מידת הרחמים וטען, כי עמדתה של המאשימה מחמירה עם הנאשם יתר על המידה.",,,,,,,,,,,,,,,,,
"בטיעונו הפנה לכך שהנאשם נשוי ואב לשני ילדים, שאחד מהם למרבה הצער נכה, והגיש מסמכים לעניין זה.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"עוד טען, כי אין לזקוף לחובת הנאשם את עמידתו על חפותו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"בנוסף טען, כי מעשיו של הנאשם לא הסבו כל נזק וכי יש לאזן את עונשו עם שיקולי השיקום.",,,,,,,,,,,,,,,,,
הנאשם לא ביקש לומר דבר.,,,,,,,,,,,,,,,,,
"ב""כ שני הצדדים הגישו פסיקה לתמיכה בעמדותיהם.",,,,,,,,,,,,,,,,,
"עם זאת אציין, כי חלק מהפסיקה שהוגש הוא מהעת שקדמה לתיקון 140 לחוק העונשין (אליו אתייחס בהמשך) ועל כן משקלה מועט.",,,,,,,,,,,,,,,,,
"הנאשם החזיק בביתו אקדח מסוג גלוק, תחמושת רבה ו-28 מחסניות תואמות לאקדח, מחסנית לרובה 16M, וכן שלושה רימוני אימונים, אשר גם אם אינם קטלניים, יכולים לגרום נזק.",,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,[],['אקדח'],,,,,,,,,
"עבירה זו מקימה פוטנציאל ממשי לפגיעה בערך המוגן החשוב מכל, שמירה על חיי אדם, שהרי החזקת נשק שלא כדין מקפלת בתוכה סיכון ממשי כי יעשה בו שימוש לביצוע עבירות פליליות, ובכך יביא לקיפוח נפש – וכמעט מדי יום אנו מקבלים לכך המחשה חיה, בין אם במסגרת אירוע בטחוני בין אם במסגרת אירוע פלילי.",,,,,,,,,,,,,,,,,
בית המשפט העליון עמד בשורה ארוכה של פסקי דין על חומרתן הרבה של עבירות הנשק והסכנה הטמונה בהן ועל הצורך להחמיר עם מבצעיהן.,,,,,,,,,,,,,,,,,
"כמו כן, לאור ריבוי מקרים בהם שימוש בנשק לא חוקי הביא לאבדן חיי אדם, ישנה בשנים האחרונות מגמת החמרה ניכרת בענישה בעבירות אלו, המתבטאת גם בתיקון 140 לחוק העונשין אשר קבע בצד עבירות נשק עונש מזערי, אליו אתייחס בהמשך.",,,,,,,,,,,,,,,,,
"לאחרונה נתן המחוקק דעתו לצורך בהחמרת הענישה של אלה המורשעים בעבירות נשק, כאשר במסגרת תיקון מס' 140 עיגן באופן חריג עונשי מינימום בעבירות נשק, כך שהעונש שיושת בגינן יעמוד לכל הפחות על רבע העונש המרבי שנקבע לעבירה, אלא אם החליט בית המשפט מטעמים מיוחדים שיירשמו להקל בעונש (סעיף 144(ז) לחוק העונשין, התשל""ז-1977; וראו: דברי ההסבר להצעת חוק העונשין (תיקון מס' 142 – הוראת שעה)(עונש מזערי על החזקת נשק בלא רשות על פי דין), התשפ""א-2021, ה""ח 90).",,,,,,,,,,,,,,,,,
"בקביעת מתחם העונש אביא בחשבון את חומרת מעשיו של הנאשם, המתבטאת, בצד החזקת האקדח, בכמות התחמושת והמחסניות אותן החזיק הנאשם, המקשה לקבל את ההנחה כי מדובר בהחזקה ""לשימוש עצמי בלבד"", פוטנציאל הנזק הטמון במעשים, הצורך החיוני להרתיע מפני ביצוע עבירות דומות, רמת הענישה הנוהגת והעונש המזערי שבצידה של העבירה.",,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,['אקדח'],,,,,,,,,
"הנאשם יליד שנת 1986, ומטיעוני ב""כ כוחו עולה כי הוא נשוי ואב לילדים, אשר למרבה הצער אחד מהם סובל מנכות (הוצגו לעניין זה מסמכים מהביטוח הלאומי).",,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
לחובת הנאשם מסר הרשעות קודמות:,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
בשנת 2005 הורשע בהחזקת סכין ונדון למאסר מותנה.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,"['הסוג של הנשק הוא ""סכין""']",,,,,,,,,
בשנת 2007 הורשע בהחזקת נשק והחזקת סכין ונדון לששה חודשי מאסר בעבודות שירות ועונשים נלווים.,,,,,,,,"['המידע שניתן הוא שבשנת 2007, אדם הורשע בהחזקת נשק והחזקת סכין, ונדון לשישה חוד']",,,,,,,,,
בשנת 2009 הורשע בעבירות של הכנת עבירה בחומרים מסוכנים והחזקת סכין ונדון לשבעה חודשי מאסר בפועל ועונשים נלווים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,['מטען חבלה מאולתר'],,,,,,,,,
"בשנת 2009 הורשע הנאשם בהליך נוסף בעבירות של ניסיון לסחר בנשק וקשר לפשע, ונדון לשנה מאסר ועונשים נלווים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
