text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
י.,,,,,,,,,,,,,,,,,
שלוחת תביעות אילת-משטרת אילת,,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  40ב, 40ג, 40ג(א), 40ד, 40ד(א), 40ה, 40ו, 40ז, 40ט, 55, 56(א), 144(א), 186, 192, 380, 384, 406(ב), 40יא, 40יב, 40יג(א), 413",,,,,,,,,,,,,,,,,
"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג, 10",,,,,,,,,,,,,,,,,
"פקודת התעבורה [נוסח חדש]: סע'  2, 10, 38(1)",,,,,,,,,,,,,,,,,
"פקודת המבחן [נוסח חדש], תשכ""ט-1969",,,,,,,,,,,,,,,,,
"פקודת ביטוח רכב מנועי [נוסח חדש], תש""ל-1970: סע'  2",,,,,,,,,,,,,,,,,
"* בית המשפט חרג לקולא ממתחם הענישה שנקבע על ידו, וזאת חרף חומרת העבירות בהן הורשע הנאשם.",,,,,,,,,,,,,,,,,
"נפסק, כי בנסיבות המיוחדות של מקרה זה, נכון להחיל בעניינו את רוח הוראת סעיף 40ד(א) לחוק העונשין המותירה בידי בית משפט הבא לגזור את עונשו של נאשם שיקול דעת אם לחרוג ממתחם הענישה, ככל שהוא מוצא כי הנאשם השתקם או כי יש סיכוי של ממש שישתקם.",,,,,,,,,,,,,,,,,
* עונשין – ענישה – מדיניות ענישה: עבירות סמים,,,,,,,,,,,,,,,,,
* עונשין – ענישה – מדיניות ענישה: עבירות נשק,,,,,,,,,,,,,,,,,
* עונשין – ענישה – מדיניות ענישה: מתחם הענישה,,,,,,,,,,,,,,,,,
* עונשין – ענישה – מדיניות ענישה: שיקום,,,,,,,,,,,,,,,,,
הנאשם הודה והורשע בביצוע עבירות שונות שיוחסו לו במסגרת ארבעה כתבי אישום שהוגשו נגדו ולימים תוקנו וצורפו זה לזה.,,,,,,,,,,,,,,['כן'],,,
"על העבירות בהן הורשע הנאשם נמנות עבירות אלה: התפרצות למקום מגורים, תקיפה הגורמת חבלה של ממש, גניבה, החזקת נכס החשוד כגנוב, החזקת נשק שלא כדין, החזקת סמים שלא לצריכה עצמית והחזקת כלי המשמש לצריכת סם מסוכן.",,,,,,,,,,,,,,,,,
בית המשפט פסק כלהלן:,,,,,,,,,,,,,,,,,
"בנסיבותיו של עניין זה, יש להתייחס לכל אחד מכתבי האישום כאירוע נפרד לצורך קביעת מתחם הענישה ההולמת כאמור בסעיף 40יג(א) לחוק העונשין.",,,,,,,,,,,,,,,,,
"הנאשם במעשי ההתפרצות והגניבה פגע בשלום הציבור, בתחושת הביטחון, בהגנה על רכושו, קניינו ופרטיותו.",,,,,,,,,,,,,,,,,
"מדיניות הענישה הנהוגה בפסיקה בעבירות בהן הורשע הנאשם, מתחשבת בצורך במאבק בנגע עבירות הרכוש בכלל ועבירות של כניסה וההתפרצות לבתי מגורים וגניבה בפרט.",,,,,,,,,,,,,,,,,
בביצוע עבירת החזקת הסמים לצריכה עצמית פגע הנאשם בערך חברתי של הגנה על שלום הציבור מפני פגיעתם הקשה של סמים מסוכנים.,,,,,,,,,,,,,,,,,
"אשר למידת הפגיעה בערך המוגן, המדובר בפגיעה לא מבוטלת, שכן על אף שהמדובר בסם מסוג חשיש, אשר אינו נמנה עם הסמים הקשים יותר מבין יתר הסמים המסוכנים, הרי שהפגיעה בערך המוגן נלמדת מכמות הסם ומהחזקת כלי מאולתר לשימוש בו.",,,,,,,,,,,,,,,,,
"מדיניות הענישה הנהוגה בפסיקה בעבירת החזקת סמים לצריכה עצמית, מתחשבת בצורך במאבק בנגע הסמים בחברתנו, רעה חולה שפשה בחברתנו ומחובתו של בית המשפט לתרום למיגור נגע זה.",,,,,,,,,,,,,,,,,
"כך למשל נגזרו עונשים החל משל""ץ ועד ל-8 חודשי מאסר בפועל.",,,,,,,,,,,,,,,[],[],[]
"עבירות הנשק הוגדרו בפסיקה כעבירות חמורות ביותר, ובתי המשפט ביטאו לא אחת את העמדה לפיה ראוי להטיל ענישה מחמירה ומרתיעה בעבירות נשק.",,,,,,,,,,,,,,,,,
מדיניות הענישה הנהוגה בעבירות תעבורה דורשת ענישה מרתיעה למיגור התופעה הרווחת של נהיגה בידי בלתי מורשה.,,,,,,,,,,,,,,,,,
"עם זאת, מעטים המקרים בהם נהיגה ללא רישיון נהיגה תקף וללא רישיון רכב תקף מובילה למאסר בפועל ולרוב מוטלים עונשי מאסר על תנאי ופסילת רישיון נהיגה לתקופה שאורכה נקבעת בהתאם לנסיבות המקרה.",,,,,,,,,,,,,,,,,
