text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION
"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(א), 7(ג), 37א(א1)",0.00012814387,2.8558274e-05,2.497271e-05,9.25166e-06,0.00042589533,0.0010726537,0.00057741307,0.042374816,0.042784333,0.00013949715,0.0026960752
"חוק העונשין, תשל""ז-1977: סע'  58, 85",0.00016032935,3.0230078e-05,2.4636905e-05,0.9999875,0.00038637436,0.0010413517,0.0005354083,0.017882371,0.09519029,0.00012389495,0.0003583625
"הנאשם הורשע על פי הודאתו בעובדות כתב האישום המתוקן בעבירה של החזקת סמים לצריכה עצמית, לפי סעיף 7(א) + 7(ג) סיפא לפקודת הסמים המסוכנים (נוסח חדש) תשל""ג-1973.",0.00012810405,3.098273e-05,0.00030158373,9.01079e-06,0.0006927325,0.0010762182,0.012876652,0.0027376267,0.043354027,0.00014358069,0.99981517
"(להלן: ""פקודת הסמים"").",0.00017324455,3.0469204e-05,2.2163154e-05,0.99998724,0.0004398949,0.00084306917,0.0004704032,0.017652027,0.016050536,0.00013008242,0.0006939899
"על פי עובדות כתב אישום המתוקן ביום 2.11.2019 בשעות הצהרים, בכפר הנוקדים הסמוך לכביש 3199, החזיק הנאשם בסם מסוכן מסוג  MDMA במשקל נטו של 2 גרם לצריכה עצמית, ללא היתר כדין או רישיון מאת מהמנהל.",0.00014240605,3.0848234e-05,0.99996364,8.957532e-06,0.99966085,0.99986494,0.9977112,0.023347812,0.0067971125,0.00017156829,0.85370564
הצדדים הגיעו להסדר דיוני לפיו הנאשם יודה בעובדות כתב האישום המתוקן ויורשע על פיו.,0.00025959944,3.051125e-05,2.1017826e-05,0.9999863,0.00048627466,0.00091053837,0.055254806,0.0008067745,0.4297642,0.00012787094,0.99968874
"לבקשת ההגנה, ישלח הנאשם לקבלת תסקיר שירות מבחן, אשר יבחן אף את בקשתו להארכת המאסר המותנה אשר תלוי ועומד כנגדו.",0.00024044586,2.994099e-05,1.7103188e-05,0.9999877,0.00049546844,0.0009141236,0.00037480745,0.0019928028,0.004586138,0.000102066006,0.012958086
בעניינו של הנאשם הוגשו שני תסקירים.,0.00019094512,3.2829255e-05,1.7861312e-05,0.9999869,0.00050238124,0.0011325123,0.0005110389,0.0015135494,0.008275068,0.0001021474,0.00018637622
"מתסקיר שירות המבחן מיום 19.6.22 עולה כי  הנאשם בן 29, רווק, גדל במשפחה נורמטיבית ועובד בתחום הפחחות.",0.00013068668,0.9999964,1.7795854e-05,8.948021e-06,0.0005608663,0.0008945487,0.00057802035,0.018428229,0.0076091485,0.0004487586,0.0023988376
"סיים 12 שנות לימוד ללא זכאות לבגרות, ובעל שלוש הרשעות קודמות.",0.00016428961,0.9999962,2.2278922e-05,8.973701e-06,0.00044073185,0.00097009103,0.00040264946,0.020316038,0.0063128066,0.0001923076,0.00029687045
הנאשם לקח אחריות על ביצוע העבירה ותיאר את נסיבות ביצועה במהלך מסיבה עם חבריו.,0.000106250205,3.628522e-05,0.0007008998,9.128672e-06,0.00049731013,0.0007397834,0.9992073,0.005826596,0.9930595,0.99964476,0.48342893
"עם זאת, לא שיתף פעולה במסירת בדיקות השתן ושלל נזקקות טיפולית בתחום הסמים.",0.00013333315,0.99999607,2.0456415e-05,8.973898e-06,0.00055801036,0.0009053645,0.00089155516,0.009798634,0.01366812,0.0011849254,0.00064857415
"לאור האמור, ובשל הסיכון להישנות התנהגות פורצת דרך בהעדר הליך טיפולי, שירות המבחן לא בא המלצה בעניינו.",0.00018514736,3.1968208e-05,1.7567778e-05,0.9999871,0.0006295372,0.0009150338,0.00054779195,0.0033130979,0.01062451,0.00016456992,0.00048142072
"לבקשת ההגנה, וחרף התנגדות המאשימה, התבקש תסקיר משלים בעניינו של הנאשם.",0.00015243367,3.1770902e-05,2.0449937e-05,0.99998724,0.0004419827,0.0010637834,0.0004476629,0.002662019,0.0077301194,0.00011576403,0.0010787752
מתסקיר שירות המבחן מיום 23.10.22 עולה כי הנאשם הביע נכונות להשתלב בקבוצה טיפולית וגילה אקטיביות יוצאת דופן בקשר עם שירות המבחן.,0.000109792665,0.9999962,1.8329569e-05,8.929139e-06,0.00047673375,0.0007840685,0.000417751,0.0037814009,0.017422369,0.00076921744,0.004448124
"הנאשם שיתף בקיומו של אירוע טראומטי מעברו אשר הוביל לשימוש בחומרים משני תודעה, ומסר בדיקות אשר נמצאו ללא שרידי סם.",9.7526434e-05,0.9999963,0.99993634,8.871582e-06,0.99722457,0.26824045,0.97897345,0.038065445,0.07276291,0.00021713866,0.0030703582
"לאור המוטיבציה השיקומית שהביע והשינוי בעמדותיו לגבי שימוש בחומרים משני תודעה בא שירות המבחן בהמלצה להטלת צו מבחן למשך שנה, צו של""צ בהיקף של 140 שעות והארכת המאסר המותנה.",0.47995025,0.9999331,6.577589e-05,9.086218e-06,0.00078194455,0.0008829399,0.0005888021,0.0030980695,0.01789821,0.0001577314,0.030802097
"בא כוח הנאשם ציין כי הנאשם מנהל אורח חיים נורמטיבי, עובד במוסך מזה כשנתיים, שומר על רצף תעסוקתי ונקי מסמים.",0.000110522196,0.9999964,1.9838211e-05,8.909056e-06,0.0004709387,0.0008833741,0.00038066087,0.021945061,0.017324263,0.21520714,0.005109709
מדובר בעבירה של החזקת סמים לצריכה עצמית אשר בוצעה לפני למעלה משלוש שנים.,0.00010853873,3.345793e-05,0.009981771,9.175463e-06,0.0006669432,0.0015278064,0.8711714,0.0036544795,0.007779543,0.00011351417,0.00044490912
"נוכח ההליך השיקומי עתר ב""כ הנאשם לאמץ את המלצות שירות המבחן ולהימנע מפסילת רישיון הנהיגה בפועל שכן הדבר יוביל לפיטוריו.",0.000106121406,3.0724863e-05,1.5258468e-05,0.99998724,0.0004196117,0.0007676465,0.00031287406,0.0013534236,0.01034708,0.000102302496,0.00026251748
הנאשם בדבריו לבית המשפט הסביר כי בתסקיר הראשון לא הבין את נזקקותו הטיפולית.,0.00012019332,3.3108852e-05,1.847248e-05,1.372448e-05,0.00041084737,0.000744837,0.00053185504,0.004463123,0.1870622,0.0006395528,0.0003343127
"כיום מבקש לנהל אורח חיים נורמטיבי, עובד למחייתו, חי בזוגיות ואינו מתכוון להשתמש בסמים.",0.00013887363,0.9999962,1.8466773e-05,9.010944e-06,0.00045672455,0.0008603553,0.0005017935,0.06438037,0.013458832,0.00021725753,0.0009746398
"מתחם העונש ההולם למעשה העבירה נקבע בהתאם לעיקרון ההלימה ולפיו נדרש יחס הולם בין חומרת מעשה העבירה בנסיבותיו ומידת אשמו של הנאשם, לבין סוג ומידת העונש המוטל עליו.",0.00013197552,3.0252688e-05,2.4612673e-05,0.9999876,0.0006116673,0.0010190519,0.0005934649,0.0008767044,0.6771107,0.00013903635,0.015358691
"ביישום עיקרון ההלימה וקביעת מתחם העונש במקרה קונקרטי, בית משפט יתחשב בשלושת אלה: הערך החברתי שנפגע ומידת הפגיעה בו, מדיניות הענישה הנהוגה ונסיבות הקשורות בביצוע העבירה.",0.0001976332,3.1048396e-05,2.6343569e-05,0.99998724,0.0005876387,0.0009408102,0.00056475174,0.004254575,0.2003295,0.00016060218,0.00047420067
"מידת הפגיעה בערך המוגן בעבירה שביצע הנאשם בינונית, שכן הנאשם החזיק ברשותו סם בכמות לא קטנה לצריכתו העצמית.",0.00010709559,3.0469668e-05,0.99995387,9.0511485e-06,0.9988011,0.99630606,0.9992151,0.0066031916,0.015214027,0.00016122757,0.00066918175
ראו למשל:,0.00044962266,3.2058422e-05,3.4038738e-05,0.99998784,0.00041576676,0.001237885,0.0010589967,0.61733025,0.033040367,0.0002367235,0.0003601132
"בבחינת הנסיבות הקשורות בביצוע העבירה נתתי דעתי לכמות הסם, לסוגו ולכך שמדובר באירוע יחיד.",0.00011721674,3.0716543e-05,0.99981445,0.99998736,0.99455667,0.0017815535,0.9974842,0.002485255,0.30937818,0.000310678,0.0004313119
מדובר בסם מסוג MDMA הנמנה על הסמים הקשים בכמות לא קטנה.,0.000104858074,2.9718822e-05,0.9999279,9.355183e-06,0.9995171,0.9998041,0.9764291,0.004659699,0.010794431,0.00015801619,0.00055027136
לא נמצאו אינדיקציות להפצת הסם או למסחר בו אך יילקח  בחשבון הנזק הפוטנציאלי הטמון בסם לו היה מופץ.,0.00011351547,3.2889453e-05,0.99992883,0.99998736,0.47998396,0.0144139575,0.9934244,0.3920095,0.0111373905,0.00019842511,0.00034559023
נוכח האמור מצאתי לאמץ את מתחם הענישה לו עתרה המאשימה ההולם את העבירה בנסיבותיה ותואם את מדיניות הענישה הנהוגה.,0.00013764834,3.036799e-05,1.8143275e-05,0.9999875,0.0004985259,0.00094855076,0.0006215992,0.0010060132,0.046048015,0.00014857037,0.00019662929
אני קובעת כי מתחם העונש ההולם נע בין מאסר מותנה ל- 6 חודשי מאסר בפועל שיכול וירוצו בעבודות שירות בצירוף ענישה נלווית.,0.00030192413,2.9122686e-05,1.843969e-05,0.9999881,0.0005642104,0.0011175739,0.00029669332,0.0007720459,0.004588622,8.454305e-05,0.0024724137
"במקרה דנן, לא קיימים שיקולים אשר מצדיקים סטייה מהמתחם לחומרא או לקולא.",0.00017546394,3.2469517e-05,2.0051026e-05,0.9999875,0.0005610741,0.001422989,0.0005419413,0.0045122853,0.02111843,9.4572315e-05,0.00034130446
גזירת העונש המתאים בגדרי המתחם,0.00021110718,3.046124e-05,1.9683119e-05,0.999987,0.00032316832,0.00073635654,0.0008026494,0.0012544332,0.018736318,0.00010992959,0.0001709453
"בגזירת העונש המתאים לנאשם, בגדרי מתחם העונש ההולם, נתתי דעתי לגילו הצעיר של הנאשם, ואת רצונו לקיים אורח חיים נורמטיבי ולשקם את חייו.",0.00011759636,0.9999963,1.8836363e-05,9.6206695e-06,0.0004903559,0.0009457042,0.00037915388,0.0027959878,0.14197777,0.00029400366,0.33485943
כן נתתי את דעתי להודייתו במיוחס לו וקבלת אחריות למעשיו ואף לחלוף הזמן מעת ביצוע העבירות לפני למעלה משלוש שנים.,0.00011410128,3.0433195e-05,3.534455e-05,8.954441e-06,0.00043200384,0.0008061597,0.42045015,0.0011207296,0.99624455,0.99960905,0.9998529
"עם זאת, עברו הפלילי של הנאשם עומד לו לרועץ.",0.00011016192,0.9999958,1.8505154e-05,9.209399e-06,0.00041665687,0.0011836519,0.00060199195,0.001705967,0.04719803,0.00012802638,0.00023494399
לנאשם שלוש הרשעות קודמות בעבירות אלימות וסמים.,0.00018702101,0.99999607,1.8159686e-05,9.294711e-06,0.00042257455,0.000993126,0.0009773001,0.0017182325,0.013300995,0.00012583687,0.0011066645
באחרונה שבהן הופעל מאסר מותנה בן 4 חודשים מתיק קודם.,0.0009671066,3.106948e-05,2.085856e-05,9.422981e-06,0.00039348105,0.00101418,0.0017778827,0.0024673974,0.0076747807,0.00014488572,0.00035938167
"הנאשם ביצע את העבירה מושא כתב האישום כאשר עונש מאסר בגין עבירות סמים תלוי ועומד כנגדו, ולאחר שמאסר מותנה קודם כבר הופעל.",0.00014761464,5.7785237e-05,2.3104305e-05,0.99539316,0.0005133421,0.00091698096,0.13283461,0.0009820833,0.02320776,0.000110687346,0.48838985
"נוכח האמור, בעניינו של הנאשם ישנה חשיבות מכרעת לשיקולי הרתעה.",0.000114735725,3.0802734e-05,1.63559e-05,0.99998724,0.0004359056,0.000936298,0.00041313152,0.0018454434,0.016950026,0.00010901348,0.0001856986
"בהתייחס להמלצת שירות המבחן, לטעמי, יש בהליך השיקומי בו החל הנאשם כדי להצדיק ענישה המצויה סמוך לחלקו התחתון של מתחם העונש ההולם, אך לא כזו המאפשרת להסתפק בהמלצות שירות המבחן.",0.00016910427,3.073231e-05,2.2913498e-05,0.99998736,0.0006152543,0.0010990949,0.0005697941,0.0011458974,0.006365558,0.000117462005,0.004466484
"הנאשם אמנם מסר בדיקות נקיות והביע מוטיבציה שיקומית, אך למעט השתתפות בסדנה חד פעמית בת 4 שעות לא עולה כי הנאשם עבר הליך שיקומי משמעותי.",0.00010520561,0.9999964,2.8292783e-05,8.8743245e-06,0.0005039827,0.0008002079,0.00061412033,0.018000979,0.020677008,0.0006852628,0.11644173
