text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"למאשימה טען עו""ד שגב אדלר.",,,,,,,,,,,,,,,,,
"לנאשם טען עו""ד כנאענה  אברהים",,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  144(ב)",,,,,,,,,,,,,,,,,
"חוק הנוער (שפיטה, ענישה ודרכי טיפול), תשל""א-1971",,,,,,,,,,,,,,,,,
"הנאשם הובא לדין בגין עבירות בנשק, עבירה לפי סעיף 144(ב) לחוק העונשין תשל""ז – 1977 (להלן: ""חוק העונשין"").",,,,,,,,,,,,,,,,,
"בעובדות כתב האישום המתוקן נטען, כי החל משנת 2008, נשא הנאשם אקדח תקני בצבע כסף עם מחסנית תואמת (להלן: ""האקדח"").",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",['על גופו'],,,['מאחר'],['אקדח'],,,,,,,,
"ביום 6.8.12, הסליק הנאשם  את האקדח בתוך מגבת בצבע צהוב - לבן ושקית ניילון נצמד כחול מתחת לכיסא הנהג ברכב  מסוג ""פולקסווגן, שהיה בחזקתו (להלן: ""הרכב"").",,,,,"['ברכב', 'מוסלק - מוסתר']",,,['מאחר'],['אקדח'],,,,,,,,
"באותו יום, בשעה 20:40, נשא הנאשם את האקדח, כשהוא מוסתר כאמור, באמצעות הרכב, מביתו שבכפר קרע לתחנת הדלק בשכונת עין ג'ראח באום אל פחם.",,,,,"['ברכב', 'מוסלק - מוסתר']",,,['מאחר'],['אקדח'],['ניסיון לירי'],,,,,,,
"במעשיו הנ""ל, נשא הנאשם והוביל אקדח בלא רשות על פי דין.",,,,,,,,,['אקדח'],,,,,,,,
המדובר בכלי  נשק שסוגל להמית אדם.,,,,,,,,,,,,,,,,,
"הצדדים הגיעו לידי הסדר טיעון, לפיו יחזור בו הנאשם מכפירתו, יודה בעובדות כתב האישום המתוק ויורשע.",,,,,,,,,,,,,,['כן'],,,
עוד הוסכם כי הטיעון לעונש יהיה חופשי.,,,,,,,,,,,,,,,,,
"הנאשם חזר בו מכפירתו, הודה והורשע עפ""י הודאתו במסגרת הסדר טיעון, בעובדות כתב האישום המתוקן, בעבירות בנשק, לפי סעיף 144(ב) לחוק העונשין.",,,,,,,,,,,,,,['כן'],,,
הנאשם נשלח לשירות המבחן לקבלת תסקיר.,,,,,,,,,,,,,,,,,
"בתסקיר שהוגש ביום 12.2.13, סקר שירות המבחן את נסיבותיו האישיות והמשפחתיות של הנאשם.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"המדובר בצעיר כבן 21 שנים, יליד הארץ, סיים 12 שנות לימוד, ברשותו תעודת בגרות חלקית, בהמשך השתלב וסיים לימודיו בקורס ""מתקין מערכות שמע ומערכות מיגון לרכב"" במכללת כפר סבא.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"מהמלצות שונות שהציג הנאשם בפני שירות המבחן ממעסיקיו עולה כי הוא עבד בצורה מקצועית ואחראית, גילה יחסי אנוש טובים, ללא בעיות חריגות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
אין לחובתו של הנאשם הרשעות קודמות.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,,,,
