text,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIR_PUNISHMENT
"* בית המשפט גזר את דינו של נאשם שהורשע בעבירות ייבוא סם מסוכן וקשר לפשע, והשית עליו 12 חודשי מאסר על תנאי וחילוט כסף ורכוש.",[],['12 חודשי מאסר על תנאי'],[],,,,,,,,,,,
הנאשם הורשע בהתאם להודאתו בעבירות ייבוא סם מסוכן וקשר לפשע.,,,,,,,,,,,,,['כן'],
הנאשם הורשע בהתאם להודאתו בעובדות כתב האישום המתוקן בעבירות כדלקמן:,,,,,,,,,,,,,['כן'],
"במהלך ימי שהותו בברלין, הנאשם וקוצר עמדו בקשר תדיר בעיקר באמצעות אפליקציית WhatsApp.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
"ביום 27.3.18 בשעה 17:00 בקרבת בית מלון בברלין, הנאשם קיבל מידי אדם שזהותו אינה ידועה, מזוודה ובה מוחבאים בבטנה כפולה ונסתרת 7.935 ק""ג סם מסוג קוקאין (להלן: ""הסם"").",,,,,,,"['הסוג הוא [קוקאין], כפי שמצוין בטקסט: ""7.935 ק""ג סם מסוג קוקאין.""']","['[7.935 - ק""ג]']",,,,,,
"הצדדים הגיעו להסדר דיוני, לפיו הנאשם הודה והורשע בכתב האישום המתוקן והופנה לקבלת תסקיר שירות המבחן, ללא הסכמה לעונש.",,,,,,,,,,,,,['כן'],
הנאשם הוכרז סוחר סמים.,,,,,,,,,,,,,,
"על פי תסקירי שירות המבחן, הנאשם בן 42, גרוש בשנית ואב ל-4 ילדים.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
הנאשם סיים 12 שנות לימוד ובהמשך השלים לימודי תעודה כטכנאי מחשבים.,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
שירת שרות צבאי מלא.,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
לאורך השנים עבד בתחום המסעדנות.,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
בגיל 24 נישא לראשונה ומקשר זה נולדו שני ילדים.,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
לאחר כעשור בני הזוג התגרשו.,,,,,,,,,,,,,,
"הנאשם נישא בשנית, ולאחר שנה בני הזוג התגרשו כשהם הורים לתאומים.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
הנאשם מקיים קשר עם כל ילדיו.,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
לנאשם אין עבר פלילי.,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,
"לאחר שחרורו מהמעצר, שולב במסגרת צו פיקוח מעצרים בקבוצה טיפולית לעצורי בית בשירות המבחן.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,,,,,,,,
"ההתרשמות אז הייתה שהנאשם הצליח להכיר ולהעמיק במאפייני אישיותו ובחירותיו ובכלל זה בהתנהלות כלכלית בעייתית, בהיעדר יציבות בחייו ובהתנהגותו האימפולסיבית, וכן התרשמו מהצגת פסדה מתפקדת בפער לתחושת כישלון וקשיים בקבלת עזרה.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
הנאשם מודע יותר לדפוסי חשיבה שוליים והשלכות מעורבותו השולית על חייו.,,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
