text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"מדינת ישראל – פמ""ד
באמצעות עו""ד ענבל ברסאנו ומתמחה מרואן מנסור",,,,,,,,,,,,,,,,,
"אסמעיל בן כאיד אלאעסם
על ידי ב""כ עו""ד אורי בן-נתן",,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  144, 144(א), 186, 499(א)(2)",,,,,,,,,,,,,,,,,
הנאשם שלפני נותן את הדין בגין עבירות כדלקמן:,,,,,,,,,,,,,,,,,
"קשירת קשר לעוון, בניגוד לסעיף 499(א)(2) לחוק העונשין, תשל""ז 1977;",,,,,,,,,,,,,,,,,
"עבירות בנשק (החזקת תחמושת ורכישתה), בניגוד לסעיף 144(א) סיפא לאותו חוק.",,,,,,,,,,,,,,,,,
"בהתאם לעובדות כתב האישום המתוקן ת/1, בהן הורשע הנאשם במסגרת הסדר טיעון, קשר הנאשם קשר עם אחר, חליל אבו כף, לרכוש ממנו שתי קופסאות כדורי תחמושת לרובה ציד, בתמורה לסך בן 300 ₪ בעבור כל קופסה.",,,,,,,,,['רובה צייד'],,,,,,,,
"במסגרת הקשר האמור, שוחחו השניים פעמיים בטלפון, בתאריכים 10.09.14 ו-02.10.14, וסיכמו את פרטי העסקה.",,,,,,,,,,,,,,,,,
"בתאריך 03.10.14, בשעות הצהריים, נפגשו השניים, בסמוך למושב נבטים, ובמהלך הפגישה מסר האחר את קופסאות התחמושת לנאשם בתמורה לאתנן הכספי שסוכם, כמפורט לעיל.",,,,,,,,,"['תת מקלע (תמ""ק)']",,,,,,,,
"בהמשך, בתאריך 13.10.14, שוחחו השניים פעם נוספת ובמהלך השיחה ביקש הנאשם לרכוש כמות נוספת, בת 1,000 כדורי תחמושת לרובה ציד.",,,,,,,,[],['רובה צייד'],,,,,,,,
"למחרת, בתאריך 14.10.14, הודיע האחר לנאשם, כי יש אדם שיוכל למכור את כדורי התחמושת בכמות המבוקשת במחיר בן 2,500 ₪.",,,,,,,,[],"['תת מקלע (תמ""ק)']",,,,,,,,
"הצדדים שוחחו מספר פעמים נוספות בנוגע לעסקה הנוספת, אך זו לא יצאה אל הפועל, ובתאריך 20.10.14 נעצר הנאשם.",,,,,,,,,,,,,,,,,
"בין הצדדים נקשר הסדר, במסגרתו תוקן כתב האישום, אשר בתחילה יחס לנאשם עבירה נוספת.",,,,,,,,,,,,,,,,,
