text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם הורשע על פי הודאתו בעבירות של נהיגה בזמן פסילה וללא רישיון נהיגה תקף בניגוד לסעיפים 67 ו- 10(א) לפקודת התעבורה [נוסח חדש], תשכ""א – 1961, ונהיגה ללא ביטוח תקף בניגוד לסעיף 2(א) לפקודת ביטוח רכב מנועי [נוסח חדש], תש""ל - 1970.",,,,,,,,,,,,,,
"על פי עובדות כתב האישום, ביום 28.06.2021 נהג הנאשם ברכב פרטי בעיר לוד וזאת ללא רישיון נהיגה תקף (תוקפו פקע ביום 15.08.2014), ללא כיסוי ביטוחי, ואף כי הודע לו כי נפסל על ידי בית המשפט ב-4 תיקים שונים ובעוד הפסילות בתוקף:",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
תיק 3240-01-15 מיום 03/08/15 פסילה בנוכחותו למשך 11 חודשים ולא הפקיד רישיונו;,,,,,,,,,,,,[],[],[]
"תיק 8750-12-14 מיום 04/02/15 – פסילה בהעדרו למשך 6 חודשים, ודבר הפסילה הודע לו בשנת 2016 וכן בשנת 2019 על ידי 2 שוטרים שונים ולא הפקיד רישיונו.",,,,,,,,,,,,[],[],[]
"צויין כי הנאשם כבן 42, גרוש, מקיים זוגיות, אב ל-9 ילדים, אינו עובד ונתון במעצר בפיקוח אלקטרוני.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הנאשם מוכר לשירות המבחן מבדיקת התאמה קודמת שנערכה בחודש ספטמבר 20.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"להתרשמות קצינת המבחו הנאשם מתקשה לנקוט צעדים ממשיים להשתלבות בטיפול, חרף ניסיונות רבים קודמים והינו נעדר מוטיבציה ממשית לעריכת שינוי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"עוד צויין כי הנאשם מתקשה לערוך התבוננות ביקורתית אודות דפוסיו, מתקשה לקבל עזרה מגורמי סיוע חיצוניים ומתקשה להכיר באחריותו למצבו ולבחירותיו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
המאשימה הגישה גיליון הרשעותיו הקודמות של הנאשם בתעבורה וגיליון רישום פלילי.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,,,,,,,,,,
"ההגנה הגישה דוח סוציאלי מטעם העו""ס המלווה את הנאשם במעצרו בפיקוח אלקטרוני ממנו עולה כי לנאשם משפחה מורחבת וכי חווה קשיים ומספר אירועים טראומתיים שלא עובדו על ידו.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
