text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם הורשע, לאחר שמיעת ראיות, בעבירות של החזקת נשק, עבירה לפי סעיף 144(א) רישא + סיפא לחוק העונשין, התשל""ז – 1977, נשיאת נשק, עבירה לפי סעיף 144(ב) רישא + סיפא לחוק העונשין, חבלה בכוונה מחמירה, עבירה לפי סעיף 329(א)(2) לחוק העונשין ויריות באזור מגורים, עבירה לפי סעיף 340(א) לחוק העונשין.",,,,,['לא'],,,,,,,,,,,,,,,,
"על פי עובדות כתב האישום בהן הורשע, פגש הנאשם את המתלונן באזור מגורים בבית שאן ביום 13/4/12 בסמוך לשעה 02:00 לפנות בוקר.",,,,,,,,,,,,,,,,,,,,,
במהלך ויכוח זרק המתלונן כוס שהיתה בידו לכיוונו של הנאשם.,,,,,,,,,,,,,,,,,,,,,
"בתגובה שלף הנאשם אקדח שהיה ברשותו, אותו החזיק שלא כדין, וירה לעברו של המתלונן שלוש יריות, האחת, חלפה בסמוך לראשו, השנייה, בסמוך לגבו והשלישית, שרטה את ברכו הימנית.",,,,,,,['אקדח'],,,,['על גופו'],,,"['ירי', 'ניסיון לירי']","['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,
הנאשם ביצע עבירה שהיסוד הנפשי שלה הוא גבוה - כוונה לגורם חבלה חמורה.,,,,,,,,,,,,,,,,,,,,,
הנאשם ירה שלוש יריות.,,,,,,,,,,,,,,"['ירי', 'ניסיון לירי']",,[],,,,,
"הנזק שהיה עלול להיגרם מביצוע העבירה הינו ברור, רק בנס לא פגעו הכדורים ולא גרמו לפגיעה קשה בגוף או בנפש.",,,,,,,,,,,,,,,,,,,,,
"לא היתה כל עילה שתצדיק התנהגות כה אלימה מצד הנאשם, הנאשם מבין היטב את משמעות מעשיו.",,,,,,,,,,,,,,,,,,,,,
הדברים מתחדדים נוכח עברו של הנאשם.,,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
גם כאשר המתלונן ברח מהמקום המשיך הנאשם לדלוק אחריו וירה לעברו.,,,,,,,,,,,,,,,,,,,,,
"המאשימה סבורה כי מתחם העונש ההולם לעבירת האלימות – חבלה בכוונה מחמירה -  בה הורשע הנאשם, הוא 5-7 שנות מאסר בפועל, בצירוף עונשים נלווים.",,,,,,,,,,,,,,,,,,,[],[],[]
"המאשימה סבורה כי יש לקבוע מתחם עונש הולם נפרד לעבירת הנשק, ומהנימוקים המפורטים על ידה יש לקבוע מתחם בין 6-8 שנות מאסר.",,,,,,,,,,,,,,,,,,,[],[],[]
"לחובתו של הנאשם עבר פלילי מכביד, הנאשם לא נטל אחריות על מעשיו, לא התאמץ לתקן את תוצאותיהם, לא שיתף פעולה עם רשויות אכיפת החוק, מסר עדות שנקבע כי איננה מהימנה, ניסה להשפיע על עדים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,['לא'],,,,,,,,,,,,,,,,
ביצע את העבירה בתוך פחות משנה מאז שוחרר ממאסרו האחרון.,,,,,,,,,,,,,,,,,,,,,
"האירוע ארע בשעת לילה מאוחרת, כך שהסיכון לפגיעה בחפים מפשע היה נמוך.",,,,,,,,,,,,,,,,,,,,,
"כוונת הנאשם היתה, לכל היותר, להפחיד את המתלונן.",,,,,,,,,,,,,,,,,,,,,
היריות חלפו בסמוך לגופו ולא פגעו בו.,,,,,,,,,,,,,,,,,,,,,
"המתלונן איננו אזרח תמים, אלא עבריין שלחובתו הרשעות ושריצה עונשי מאסר.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
מתחם הענישה הראוי שיש לקבוע כאן הוא בין 6 חודשים ל – 18 חודשי מאסר.,,,,,,,,,,,,,,,,,,,[],[],[]
"יש להתחשב בנאשם, לרבות בגילו – כיום כבן 30, חלק מהותי מחייו הבוגרים היה בבתי הסוהר, הוא סובל מבעיית סמים.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"הוריו נושאים בנטל הכלכלי הכבד של הקנסות הפליליים עבור הוצאות טיפול משפטי והוצאות של הנאשם, נסיבות חייו של הנאשם קשות.",,,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
בתיק היו מחדלי חקירה מצד רשויות החקירה.,,,,,,,,,,,,,,,,,,,,,
מבקשים להימנע מהטלת קנס לאור מצבו הכלכלי הירוד.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"באשר לנסיבות ביצוע העבירה [סעיף 40ט] – העובדה שהנאשם הגיע למפגש כשהוא מצויד באקדח, יש בה כדי להעיד על תכנון מוקדם והתכוננות לאפשרות שיהא צורך בשימוש בנשק.",,,,,,,['אקדח'],,,,,,,['ניסיון לירי'],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,,
"גם אם המתלונן שפך לעברו כוס שתיה, מדובר בתגובה קיצונית ולא פרופורציונאלית.",,,,,,,,,,,,,,,,,,,,,
"אין להתייחס לכך כאל התגרות, במיוחד שלאחר מכן התחיל המתלונן לברוח.",,,,,,,,,,,,,,,,,,,,,
הנאשם איננו מוגבל מבחינת יכולתו השכלית והמנטלית.,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
