text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
כב' ס.,,,,,,,,,,,,,,
"הנשיא השופטת ר. יפה- כ""ץ, אב""ד                                  תפח 1161/08",,,,,,,,,,,,,,
כב' השופט א.,,,,,,,,,,,,,,
ואגו,,,,,,,,,['תת-מקלע (סוג של תת-מקלע)'],,,,,
כב' השופט  י. צלקובניק,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  40ב, 40ג(א), 40ג(ב), 144(ב), 305(1), 40יג, 499(א)(1)",,,,,,,,,,,,,,
"תקנות ההגנה (שעת-חירום), 1945: סע'  85(1)(א)",,,,,,,,,,,,,,
"הנאשם, יליד 30.3.1988, תושב סג'עיה ברצועת עזה, הודה בעובדות המפורטות בשלושה אישומים הכלולים בכתב האישום שתוקן במהלך ניהול המשפט, לאחר סיום פרשת התביעה.",,,,,,,,,,,,,,['כן']
"הנאשם הודה כי העובדות בהן הודה מבססות את העבירות שיוחסו לו בפרטי האישום - למעט עבירות של ניסיון לרצח, לפי סעיף 305(1) לחוק העונשין, תשל""ז- 1977 (להלן: ""החוק""), שיוחסו לו באישומים השני והשלישי.",,,,,,,,,,,,,,['לא']
"בהכרעת דין שניתנה ביום 4.12.2012, על יסוד העובדות שלא היו שנויות במחלוקת, כאמור, קבענו כי יש מקום להרשעת הנאשם גם בעבירות של ניסיון לרצח, בשני אישומים אלה.",,,,,,,,,,,,,,['לא']
"על פי עובדות האישום הראשון, בסוף שנת 2006 חבר הנאשם לגדודי עז א- דין אלקסאם שהינם פלג של אירגון החמאס - שהוכרז כארגון טרוריסטי והתאחדות בלתי מותרת -  המהווים את הזרוע הצבאית של הארגון.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"סמוך לאחר מכן, לאחר שנודע לנאשם מפי פעיל החמאס, ראמז זהארנה, כי כוחות צה""ל נכנסו לאיזור סג'עיה, קשר הנאשם קשר עם שלושה מפעילי החמאס (בלאל פרחאת, סאאד בסאם חילס וראמז זהארנה), להתעמת עם כוחות צה""ל ולגרום למותם של חיילים, בכוונה לפגוע בביטחון המדינה; הנאשם והפעילים, חמושים ברובי קלצ'ניקוב, יצאו לאיזור במזרח סג'עיה, אולם לא פגשו את כוחות צה""ל במקום.",,,,,,,,,['רובה סער'],,,,,
"הנאשם ירה באוויר שבעה כדורים, כדי למנוע כניסת חיילים לאזור.",,,,,,,,,,"['ירי', 'ניסיון לירי']",,,,
"נוכח האמור, הורשע הנאשם במסגרת פרט האישום הראשון, בעבירות של חברות ופעילות בהתאחדות בלתי מותרת, לפי סעיף 85(1)(א) לתקנות ההגנה (שעת חירום) 1945; קשירת קשר לפשע (רצח), לפי סעיף 499(א)(1) לחוק; עבירות בנשק (נשיאת נשק ותחמושת), לפי סעיף 144(ב) לחוק.",,,,,,,,,,,,,,['לא']
"על פי עובדות האישום השני, במהלך שנת 2007, קשר הנאשם קשר עם רמזי תופיק חילס, לרכוש טיל מפעיל בחטיבות אל נאצר צלאח א-דין, שהינן הזרוע הצבאית של ארגון ועדת ההתנגדות העממית (שהוכרז כהתאחדות בלתי מותרת), במטרה לפגוע בביטחון המדינה.",,,,,,,,,"['טיל - ""טיל מפעיל בחטיבות אל נאצר צלאח א-דין""']",,,,,
"השניים רכשו, תמורת 300 ₪, טיל באורך של חצי מטר, הנושא עליו את כיתוב החטיבות.",,,,,,,,,['טיל לאו'],,,,,
"הטיל הוחזק בביתו של הנאשם, ולמחרת היום קשר הנאשם קשר עם פעילי החמאס, בלאל פרחאת וראמז זהארנה, וכן עם טארק אבו שקפה, פעיל החטיבות, לשגר טיל לעבר תחומי מדינת ישראל כדי לגרום למותם של תושבי מדינת ישראל; הנאשם והקושרים האחרים, יצאו לאיזור המזרחי בסג'עיה, כשהם נושאים עימם את הטיל, ולאחר מכן הציבו את הטיל כשהוא מכוון לשטחי מדינת ישראל; מהטיל מתחו חוט חשמל, באורך של כ- , אליו חוברו סוללות שנועדו לשמש כמתג הפעלה, וניסו לשגרו מרחוק.",,,,,,,,"['מאחר', 'מצא']",['טיל לאו'],,,,,
"עקב תקלה, נכשל השיגור, ופרחאת לקח את הטיל, ואחסנו בביתו.",,,,,,,,,['טיל לאו'],,,,,
"כעבור שבוע, פנה הנאשם לפעיל הגדודים, בסאם חילס, וקשר עימו קשר לשיגור טיל לעבר תחומי מדינת ישראל, כדי לגרום למותם של תושבי ישראל, ובכך לפגוע בביטחון המדינה; הנאשם לקח מבסאם חילס טיל נוסף, קצר מהטיל הראשון, שנשא עליו את כיתוב החטיבות.",,,,,,,,"['מאחר', 'מצא', 'גנב']",['טיל לאו'],['ניסיון לירי'],,,,
"סמוך לאחר מכן הבחינו הנאשם ובאסם, כי ראש הנפץ של הטיל אינו תקין.",,,,,,,,,['טיל לאו'],[],,,,
"השניים העבירו את הטיל לביתו של אבו שקפה, שהחליף את ראש הנפץ, וסמוך לאחר מכן יצאו הנאשם, באסם, אבו שקפה ופרחאת, ברכבו של הנאשם, שנהג ברכב, לאיזור המזרחי בסג'עיה, והורידו את הטיל.",,,,,,,,,['טיל לאו'],['ניסיון לירי'],,,,
"בשלב זה, עזב הנאשם את המקום ברכבו.",,,,,,,,,,,,,,
"סמוך לאחר מכן, במסגרת הקשר, שיגרו השלושה את הטיל בהצלחה לכיוון שטחי מדינת ישראל, בכדי לגרום למותם של תושבי מדינת ישראל.",,,,,,,,,"['טיל - ""סמוך לאחר מכן, במסגרת הקשר, שיגרו השלושה את הטיל בהצלחה לכיוון שטחי מדינת ישראל, בכדי לגרום למותם של תושבי מדי']","['ירי', 'ניסיון לירי']",,,,
"נוכח המתואר, הורשע הנאשם במסגרת פרט האישום השני, בעבירות של קשירת קשר לפשע (רצח), לפי סעיף 499(א)(1) לחוק; עבירות בנשק (הובלת נשק), לפי סעיף 144(ב) לחוק; ניסיון לרצח, לפי סעיף 305(1) לחוק.",,,,,,,,,,,,,,['לא']
"על פי האישום השלישי, במועד שאינו ידוע, בתחילת שנת 2007, ובעקבות מידע שהגיע לידי הנאשם כי כוחות צה""ל נכנסו לאיזור סג'עיה, קשר הנאשם קשר עם ארבעה נוספים (ראזק פאיק חילס, אחמד אלבול, מחמד באסם, ועדנאן אלערעיר), להתעמת עם כוחות צה""ל, ולגרום למותם של חיילי צה""ל בכוונה לפגוע בביטחון המדינה.",,,,,,,,,,"['ירי', 'ניסיון לירי']",,,,
"במסגרת הקשר יצאו הקושרים בשני כלי רכב, שאחד מהם שייך לנאשם, כשהם נושאים עימם אפודים וחמושים ברובי קלצ'ניקוב, מקלע, וארבע פצצות מרגמה, לאזור בו תוכנן להתבצע העימות.",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,['רובה סער (Assault Rifle)'],['ניסיון לירי'],,,,
"בעת הגיעם למסגד אל תאופיק, ירדו הקושרים מכלי הרכב, והנאשם וראזק, שהיו לבושים בבגדים אזרחיים, חצו את הכביש.",,,,,,,,,,,,,,
"סמוך לאחר מכן, ניסה גם עדנאן, שהיה בלבוש צבאי, לחצות את הכביש, ואז נפגע מפגז טנק של צה""ל, ובכך סוכלה התכנית.",,,,,,,,,"['רובה סער (Rifle, Assault)']",[],,,,
"הנאשם וחבריו פינו את עדנאן לבית חולים, שם נקבע מותו.",,,,,,,,,,,,,,
"נוכח האמור, הורשע הנאשם במסגרת פרט האישום השלישי, בעבירות של קשירת קשר לפשע (רצח), לפי סעיף 499(א)(1) לחוק; עבירות בנשק (הובלת נשק), לפי סעיף 144(ב) לחוק; ניסיון לרצח, לפי סעיף 305(1) לחוק.",,,,,,,,,,,,,,['לא']
הנאשם נעצר ביום 2.8.2008.,,,,,,,,,,,,,,
הנאשם הופנה לקבלת תסקיר שירות המבחן נוכח טענת ההגנה כי בעת ביצוע העבירות היה עדיין קטין.,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"יצויין כי התביעה חולקת על קטינותו של הנאשם, בעת ביצוע המעשים, ואכן, נוכח עובדות כתב האישום בהן הודה, ומשהנאשם הינו יליד חודש מרס, 1988, עולה, כי הנאשם היה בן למעלה מ- 18 שנים, בעת ביצוע העבירות באישומים השונים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,['לא']
"מתסקיר שירות מבחן (מיום 10.3.2013) עולה כי הנאשם, כיום כבן 25, נשוי ואב לילד קטן, גדל במשפחה בת 12 נפשות (על פי דברי ב""כ הנאשם, נולד בנו של הנאשם כשבועיים לאחר מעצרו, והנאשם אף מגדל את בן אחיו המנוח).",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם לא סיים מסגרת לימודים, והחל לעבוד עם אביו בחנות ירקות, על רקע מצוקה כלכלית; לדבריו, חבר לחברה שולית וביצע עבירות רכוש שונות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"אביו משתייך, פוליטית, לארגון החמאס; שניים מאחיו של הנאשם, המכונים על ידו ""שהידים"", שהשתייכו לחמאס, נהרגו בשנת 2006, בעקבות פעילות של חיילי צה""ל בעזה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם טען כי החמאס מתנכל כיום לבני משפחתו המורחבת, אשר משתייכים לארגונים אחרים.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"באשר לאירועי כתב האישום, אישר הנאשם כי בשנת 2006 הצטרף לארגון החמאס, מתוך שיקולים של קבלת הטבות למיניהן, יוקרה ותדמית חברתית.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם טען בפני שירות המבחן כי פעילותו ארכה מספר חדשים בלבד, שלא מתוך מטרה לפגוע בחיילים, הגם שאישר את  מעורבותו בפעילות הכרוכה בירי (וכן ""בהנחת מטען נפץ"", שאין לה כל ביטוי בכתב האישום המתוקן, וממילא, אין מקום להתייחס לעניין זה).",,,,,,,,,['מטען חבלה'],['ירי'],,,,
עוד טען כי בדה דברים בהם הודה בחקירתו.,,,,,,,,,,,,,,['לא']
"שירות מבחן התרשם כי הנאשם מוסר ""מידע חלקי"", ומתקשה לקחת אחריות על מעשיו.",,,,,,,,,,,,,,
המלצת שירות המבחן הינה להטיל על הנאשם עונש מוחשי ומרתיע.,,,,,,,,,,,,,,
"יצויין, כי ב""כ הנאשם הבהירה - לאחר שהנאשם נתבקש להתייחס לאמור בתסקיר - כי אינו חוזר בו מהודייתו בעובדות כתב האישום (ע' 77 לפר').",,,,,,,,,,,,,,['כן']
"ב""כ המאשימה, עו""ד מ' גז, עמדה על חומרת העבירות ונסיבות ביצוען, כמפורט בכתב האישום, ועל מעורבותו הרבה של הנאשם בתכנון ובביצוע המעשים, בזיקה למגוון של כלי נשק, שאך בדרך מקרה, לא הסתיימו בפגיעות בחיי אדם.",,,,,,,,,,,,,,
"הוטעם, כי בעבירות כנגד בטחון המדינה, יש ליתן משקל בכורה לצורכי הגנה על חיי אדם, וליתן משקל מועט לנסיבות האישיות, לאחר קביעת מתחם העונש הראוי, הנגזר מחומרת המעשים, ומידת האשם שנתגלתה.",,,,,,,,,,,,,,
"נטען, כי אין לזקוף לזכות את הנאשם את חלוף הזמן, משבחר לנהל הוכחות במשך למעלה מארבע שנים; את ההודאה שבאה רק לאחר שנשמעו כל עדי התביעה, ומשבית המשפט נדרש להכריע, בשאלת ביצוען של עבירות הניסיון לרצח בשני אישומים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,['לא']
עוד צויינה המלצת שירות המבחן להטלת עונש מוחשי.,,,,,,,,,,,,,,
"ב""כ המאשימה מפנה לרמת הענישה שנקבעה לעבירה של ניסיון לרצח, בשני פסקי דין שניתנו על ידי בית משפט זה, במסגרת תפח(ב""ש) 1103/06  מדינת ישראל נ' יאסר אבו חמד (ניתן ביום 22.10.2012); תפח(ב""ש) 1057/07 מדינת ישראל נ' אחמד אל-צופי (ניתן ביום 18.2.2013).",,,,,,,,,,,,,,
"בעניין אבו חמד נקבע מתחם ענישה בין עשר לחמש עשרה שנות מאסר, ובעניין אל צופי, בין עשר לשמונה עשרה שנות מאסר.",,,,,,,,,,,,,,
"ב""כ המאשימה עותרת להטלת עונש מאסר ממשי ""ברף הגבוה של מתחם הענישה"", בצד מאסר מותנה ממושך.",,,,,,,,,,,,,,
"ב""כ הנאשם, עו""ד ל' צמל, טענה בסיכומים בעל פה ובכתב (השלמת סיכומים בכתב הועברה על ידי ב""כ הנאשם ביום 8.5.2013), כי הנאשם חדל מפעילותו עם נישואיו, שנה וחצי קודם למעצרו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"הוא ובני משפחתו נמלטו מעזה בשל התנכלות החמאס, ואז נעצר הנאשם בעקבות מעורבותו בפעילות המתוארת.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"יש לראות את הנאשם כמי שהסגיר עצמו לישראל, ובחר להודות ולתאר את מעשיו, מתוך ""בקשת הגנה"", והודאתו בעובדות כתב האישום היא בבחינת ""מודה ועוזב.",,,,,,,,,,,,,,['כן']
"עוד צויין כי חרף כך שהנאשם כפר תחילה בביצוע העבירות, הרי שלא מדובר בכפירת סרק נוכח תיקונו וצמצומו של כתב האישום המקורי (שכלל שמונה סעיפי אישום).",,,,,,,,,,,,,,['לא']
"באשר לנסיבות העבירות, טוענת ההגנה, כי בשנת 2006 גוייס הנאשם עם צעירים נוספים, לגדודי החמאס שבשכונתו, מתוך רצון לשאת נשק כיתר הצעירים, וממילא ""לא הייתה לו שום אפשרות אחרת""; מעשיו אינם ברף חומרה גבוה: ירי של שבעה כדורים באוויר, שעה שחיילי צה""ל לא נכחו במקום, כמתואר באישום הראשון; הנאשם גם לא נכח בעת שיגור הטיל, כמפורט באישום השני, ואין כל ודאות כי הטיל שנורה פגע במטרה כלשהי, או הסב נזק; אירועי האישום השלישי, שהתרחשו כשנה וחצי לפני מעצרו של הנאשם, מלמדים כי הנאשם וחבריו התפזרו בלא שתקפו את כוחות צה""ל, וממילא לא היה להם כל סיכוי לפגוע בכוח הצבאי, נוכח נחיתותם מול הכוח הצבאי העדיף, המלווה בטנק.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,[],,,"['הנשק המוזכר בתיאור הוא ""ירי של שבעה כדורים באוויר"", מה שמצביע על שימוש בתת-מקלע מאול']","['ירי', 'ניסיון לירי']",,,,
"בנוסף צויין, כי אין כל ודאות כי נוצר מגע בין חיילי צה""ל לבין הנאשם וחבריו, וייתכן כי פגז הטנק נורה מרחוק.",,,,,,,,,"['רובה סער (Rifle, Assault Rifle)']",[],,,,
"ב""כ הנאשם טוענת כי יש להטיל על הנאשם עונש סביר ומידתי, וכי הענישה המבוקשת על ידי המאשימה מחמירה, ואינה עולה בקנה אחד עם נסיבות ביצוע העבירות; עוד נטען כי יש ליתן משקל לקולא, גם לחלוף הזמן מאז ביצוע העבירות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"לדברי עו""ד צמל, יש להשוות את עונשו של הנאשם לזה שהוטל במסגרת תפ""ח (ב""ש) 1158/08, על בן דודו של הנאשם, חוסאם עימאד חילס (להלן- ענין חוסאם חילס), שהיה, כנטען, חבר בחולייתו של הנאשם, ונדון לשש שנות מאסר.",,,,,,,,,,,,,,
