text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
"תפ""ח 6462-02-23 מדינת ישראל נ' מוסלח(עציר) ואח'",2.006323e-05,5.058087e-06,9.345899e-06,4.152916e-05,6.535387e-06,3.587253e-06,6.6512052e-06,2.6343594e-05,2.0307334e-05,1.3278831e-05,0.00017165909,3.9331182e-05,0.00021423593,2.7520794e-06
"לפני הרכב כבוד השופטים: 
יחיאל ליפשיץ [אב""ד]
גלית ציגלר, 
שמואל מנדלבום",1.4773713e-05,5.1752813e-06,9.341774e-06,3.921953e-05,4.5706097e-06,3.82709e-06,5.735978e-06,2.6002872e-05,2.2062039e-05,1.8952565e-05,0.0002966235,4.8157355e-05,0.00026519035,2.8086322e-06
"באמצעות בא כוחו – עו""ד באסם קנדלפת (מטעם הסניגוריה הציבורית)",1.1073602e-05,5.2648566e-06,9.28756e-06,3.640417e-05,5.5205105e-06,3.826926e-06,5.3944186e-06,2.0891926e-05,2.1562495e-05,1.6603755e-05,0.00022537423,4.783618e-05,0.00028026896,3.0313454e-06
"חוק המאבק בטרור, תשע""ו-2016: סע'  28.א.3., 28.א.4, 38(ג)(1)",2.017634e-05,5.0411745e-06,9.411828e-06,7.111576e-05,6.15297e-06,1.1095601e-05,9.332051e-06,8.5686064e-05,1.981947e-05,4.351754e-05,0.00025002792,8.574884e-05,0.00039436764,2.489621e-06
"חוק העונשין, תשל""ז-1977: סע'  29, 144(ב), 301.א.11, 301א(10), 11, 301א(א)(1), 10, 11, 340א(א), 40 יא', 499(א)(1)",2.8585873e-05,5.051117e-06,9.437201e-06,8.505693e-05,6.5447675e-06,9.898211e-06,9.322409e-06,0.000103652186,1.8237106e-05,2.1386864e-05,0.00025780994,0.00017109922,0.00045572993,3.0357023e-06
"חוק למניעת הסתננות (עבירות ושיפוט), תשי""ד-1954: סע'  4",1.2096501e-05,5.1724683e-06,9.448214e-06,5.3118925e-05,7.131181e-06,5.1591473e-06,9.656324e-06,0.00010006096,2.0217247e-05,2.4764104e-05,0.00022407985,5.846786e-05,0.00026389447,2.757962e-06
"הנאשם 2 (להלן גם : הנאשם), יליד 1994 ותושב היישוב מועאוויה, הורשע על פי הודייתו בעבירות ביטחון שעיקרן קשירת קשר למעשה טרור של ביצוע רצח בנסיבות מחמירות, וכן הכנה למעשה טרור של רצח בנסיבות מחמירות, והכל בנוגע לתוכנית שקשר עם הנאשם האחר בכתב האישום ומטרתה הייתה רצח חיילים.",1.014339e-05,5.1067886e-06,0.9999956,8.801063e-05,6.6968537e-06,0.99958163,3.6260313e-05,0.99936587,1.866664e-05,0.9999757,0.3327885,0.00031526043,0.0033278828,0.99999785
הרשעת הנאשם הייתה במהלך שמיעת הראיות ולאחר שהצדדים הודיעו על הסדר טיעון במסגרתו תוקן כתב האישום.,6.6610573e-06,5.256709e-06,9.383525e-06,3.1818872e-05,4.7941207e-06,8.585328e-06,7.681901e-06,1.4878142e-05,1.8977034e-05,1.3438275e-05,0.00063786266,6.5689324e-05,0.0011068063,0.99999654
ההסדר לא כלל הסכמות עונשיות.,1.0580688e-05,5.5840183e-06,9.626203e-06,3.9379673e-05,4.164567e-06,1.4240753e-05,1.5002554e-05,3.1255193e-05,1.9530504e-05,1.8009985e-05,0.0004342853,7.941799e-05,0.00018809579,2.525573e-06
"בהליך הועמדו לדין שני נאשמים – הנאשם שלפנינו וכן נאשם נוסף שהוא הנאשם 1, יליד 1998 ותושב מועאוויה אף הוא.",1.1632631e-05,5.6049225e-06,9.297024e-06,4.0113006e-05,4.593056e-06,9.44135e-06,1.8365405e-05,3.7733622e-05,1.7472972e-05,3.07499e-05,0.0003562183,0.000106878484,0.00086744974,3.3781826e-06
"ההליך כנגד הנאשם 1 ממשיך להתנהל, ולכן נבהיר כי חרף אזכור הנאשם 1 בגזר הדין, אין בכך כל קביעה משפטית בעניינו וברור מאליו כי עומדת לו חזקת החפות.",8.280428e-06,5.2365845e-06,9.32008e-06,3.1430012e-05,4.8993165e-06,1.1072324e-05,1.0191289e-05,1.8620876e-05,1.7699887e-05,1.6936816e-05,0.00074922724,0.0016766957,0.5878583,3.8037301e-06
"במילים אחרות, גזר הדין מבחינה משפטית ומכל בחינה אחרת נוגע וקובע קביעות אך ורק בנוגע לנאשם 2.",1.0763473e-05,5.2289497e-06,9.466072e-06,4.9230257e-05,4.8736492e-06,1.0592156e-05,1.0337196e-05,2.5737707e-05,1.8527422e-05,2.1294405e-05,0.00037992423,0.00015376107,0.0005787073,3.3387014e-06
