,case,text,reject,reject-predicted,PUNISHMENT-predicted,GENERAL_CIRCUM-predicted,CIRCUM_OFFENSE-predicted,CONFESSION-predicted,RESPO-predicted,REGRET-predicted,CIR_USE-predicted,CIR_TYPE_WEP-predicted,CIR_STATUS_WEP-predicted,CIR_PURPOSE-predicted,CIR_PLANNING-predicted,CIR_OBTAIN_WAY_WEP-predicted,CIR_MONEY_PAID_WEP-predicted,CIR_BUYER_ID_WEP-predicted,CIR_AMMU_AMOUNT_WEP-predicted,_HELD_WAY_WEP-predicted
0,,"ב""כ המאשימה , מתמחה, מר גיל ויינשטיין – פמת""א",,0.9987637635037627,,,,,,,,,,,,,,,,
1,,"ב""כ הנאשם, עו""ד  עין צבי  – סנגוריה ציבורית",,0.9996705848441794,,,,,,,,,,,,,,,,
2,,"חוק העונשין, תשל""ז-1977: סע'  144(א)",,0.9997101242090046,,,,,,,,,,,,,,,,
3,,"הנאשם, איגור בן סמיון סבובסקי, יליד 1961, הורשע ביום 17.6.10 על-פי הודייתו בכתב אישום המייחס לו שתי עבירות של החזקת נשק לפי סעיף 144(א) לחוק העונשין, תשל""ז-1977.",,0.0032609021647295607,0.2447685819678847,0.010132415346168135,0.0461635033088878,0.8999833704878241,0.23920838191833022,0.027313970881690464,,,,,,,,,,
4,,"לפי העובדות המפורטות בכתב האישום, ביום 14.4.10 נמצא מחזיק בדירתו ברחוב אורלנסקי 11 בפתח תקווה שני כלי נשק ללא רשות על פי דין: אקדח ""ברטה"" חצי אוטומטי ואקדח ""לאמה"" חצי אוטומטי (להלן: ""שני האקדחים"").",,0.00043353544208726467,0.0868028086719519,0.06939447433682541,0.7619427066586781,0.39398064844130504,,,0.8183626416541978,0.9064930992880387,0.9408992650258433,0.8659093096726787,0.5927435016622509,0.862637957351378,0.14228704022307784,0.06895497986916461,0.95879269710906,0.9794056794026277
5,,"משהודה – נתבקש תסקיר, ובו התייחסות לשאלת אי הרשעה.",,0.9992434897706292,,,,,,,,,,,,,,,,
6,,"לפי תסקיר שירות המבחן למבוגרים ליום 4.1.11, הנאשם בן 50, נשוי ואב לבן כבן 17, יליד אוקראינה, עלה ארצה בשנת 1990 עם הוריו.",,0.010126009766394271,0.060467449013236495,0.7185650608255457,0.3026875555273615,0.35941091010093823,,,,,,,,,,,,
7,,עובד כטכנאי רכב במוסך.,,0.005218995906371837,0.06507564761748731,0.8840461034104705,0.7597516661255462,0.029439108600281635,,,0.720667671288802,0.44768300104245995,0.058819432279933866,0.8858752436016051,0.05907176853763585,0.05075706307373539,0.123313465406809,0.04892685123729544,0.33001769823919336,0.5179524010727783
8,,"סיים עשר שנות לימוד, עם תעודת בגרות מלאה, שירת בצבא הרוסי שירות מלא.",,0.0007280657906937127,0.12125629500366955,0.9262374945807935,0.2929692260119797,0.075316790753399,,,,,,,,,,,,
9,,"בעבירות הודה, והסבירן על רקע אי הפעלת שיקול דעת.",,0.0017808860555759568,0.01763943889082766,0.21621753848422487,0.03157285711598168,0.8573584398259633,0.6571223719613537,0.3319683539025293,,,,,,,,,,
