,verdict,text,part
0,SH-21-11-24989-808,לפני:				כבוד השופט גיא אבנון,בית משפט השלום בנתניה
1,SH-21-11-24989-808,באמצעות תביעות מרכז – שלוחת נתניה,בית משפט השלום בנתניה
2,SH-21-11-24989-808,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973","בשם הנאשם:			עו""ד שי לוי"
3,SH-21-11-24989-808,"הנאשם הורשע בהתאם להודאתו בכתב אישום מתוקן בעבירות החזקת סמים שלא לצריכה עצמית, לפי סעיפים 7 (א) ו-7(ג) רישא לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973 (להלן: פקודת הסמים); סחר בסמים מסוכנים (4 אישומים), לפי סעיפים 13 ו-19א לפקודת הסמים.","בשם הנאשם:			עו""ד שי לוי"
4,SH-21-11-24989-808,"מכתב האישום המתוקן עולה כי ביום 1.11.21 החזיק הנאשם בביתו שקית ובה 1,876 גרם נטו סם מסוג קנאביס, ומחברת שהכילה רשימת שמות, מספרים ותאריכים.","בשם הנאשם:			עו""ד שי לוי"
5,SH-21-11-24989-808,"כמו-כן, בארבעה מועדים בחודשים אוגוסט – אוקטובר 2021 סחר הנאשם בקנאביס בכמויות שבין גרם אחד לבין 5 גרם בכל עסקה.","בשם הנאשם:			עו""ד שי לוי"
6,SH-21-11-24989-808,"בפתח ישיבת הטיעונים לעונש מיום 8.2.22 הודיעו הצדדים על הסכמות עונשיות, במסגרתן ביקשו במשותף להשית על הנאשם 14 חודשי מאסר בפועל אשר יימנו מיום מעצרו, מאסר על-תנאי ופסילת רישיון הנהיגה על-תנאי.","בשם הנאשם:			עו""ד שי לוי"
7,SH-21-11-24989-808,"המאשימה עתרה גם לקנס כספי, בעוד ההגנה ביקשה להסתפק בהתחייבות צופה פני עתיד.","בשם הנאשם:			עו""ד שי לוי"
8,SH-21-11-24989-808,"הצדדים נימקו עמדתם בעיקר בקושי ראייתי, כמו גם בהודייתו של הנאשם בשלב מוקדם מאוד של ההליך ונסיבותיו האישיות – תאונת דרכים במסגרתה נפגע קשות, ולחומרה – הרשעתו משנת 2014 בריבוי עבירות סחר בסמים, אז נדון לשלוש שנות מאסר בפועל (עת/1).","בשם הנאשם:			עו""ד שי לוי"
9,SH-21-11-24989-808,הנאשם בדברו האחרון הביע צער על מעשיו.,"בשם הנאשם:			עו""ד שי לוי"
10,SH-21-11-24989-808,"לאחר שנתתי דעתי לטיעוני הצדדים, מצאתי כי עתירתם העונשית המקלה מצויה במתחם הסבירות, בעיקר בהינתן קשיים ראייתיים העומדים בלב ההסדר.","בשם הנאשם:			עו""ד שי לוי"
11,SH-21-11-24989-808,"אשר למחלוקת הנוגעת לרכיב הכספי – בביצוע מעשי העבירה התעלם הנאשם מהנזקים הקשים שהסב לפרט ולחברה, וראה לנגד עיניו אך ורק את הרווח הכספי הצפוי לו.","בשם הנאשם:			עו""ד שי לוי"
12,SH-21-11-24989-808,"משכך, אין מנוס מפגיעה ישירה בכיסו של הנאשם, גם בהינתן מצבו הכלכלי העגום כעולה מטיעוני בא כוחו.","בשם הנאשם:			עו""ד שי לוי"
13,SH-21-11-24989-808,"בצד זאת, השיקולים שהציגו הצדדים מצדיקים גזירת קנס על הצד הנמוך.","בשם הנאשם:			עו""ד שי לוי"
14,SH-21-11-24989-808,אני גוזר על הנאשם את העונשים הבאים:,"בשם הנאשם:			עו""ד שי לוי"
15,SH-21-11-24989-808,14 חודשי מאסר בפועל אשר ימנו מיום מעצרו של הנאשם – 1.11.21.,"בשם הנאשם:			עו""ד שי לוי"
16,SH-21-11-24989-808,8 חודשי מאסר אותם לא ירצה הנאשם אלא אם יעבור תוך שלוש שנים עבירה על פקודת הסמים מסוג פשע.,"בשם הנאשם:			עו""ד שי לוי"
17,SH-21-11-24989-808,4 חודשי מאסר אותם לא ירצה הנאשם אלא אם יעבור תוך שלוש שנים עבירה על פקודת הסמים מסוג עוון.,"בשם הנאשם:			עו""ד שי לוי"
18,SH-21-11-24989-808,"קנס בסך 4,000 ₪ או חודש מאסר תמורתו.","בשם הנאשם:			עו""ד שי לוי"
19,SH-21-11-24989-808,"הקנס ישולם ב-12 תשלומים חודשיים שווים ורצופים, החל מיום 10.4.22 ובכל 10 בחודש שלאחריו.","בשם הנאשם:			עו""ד שי לוי"
20,SH-21-11-24989-808,"לא ישולם איזה מהתשלומים במועדו, תעמוד יתרת הקנס לפירעון מידי.","בשם הנאשם:			עו""ד שי לוי"
21,SH-21-11-24989-808,"הנאשם יפסל מלקבל ומלהחזיק רישיון נהיגה לתקופה של 6 חודשים, ואולם הנאשם לא ישא בעונש זה אלא אם יעבור תוך 3 שנים ממועד שחרורו ממאסר עבירה על פקודת הסמים.","בשם הנאשם:			עו""ד שי לוי"
22,SH-21-11-24989-808,הסמים יושמדו לאחר שפסק דין יהיה חלוט.,"בשם הנאשם:			עו""ד שי לוי"
23,SH-21-11-24989-808,54678313זכות ערעור לבית המשפט המחוזי תוך 45 ימים מהיום.,"בשם הנאשם:			עו""ד שי לוי"
24,SH-21-11-24989-808,"ניתן היום,  ה' אדר ב' תשפ""ב, 08 מרץ 2022, במעמד הצדדים.","בשם הנאשם:			עו""ד שי לוי"
