verdict,text,part_single,part_concatenated
SH-22-07-10251-22,"פלוני – בעצמו (הובא באמצעות שב""ס)",הנאשם,"בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, לפני כבוד השופטת שרון ריבלין-אחאי , לפני כבוד השופטת שרון ריבלין-אחאי , המאשימה, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, נגד, נגד, נגד, הנאשם"
SH-22-07-10251-22,"פלוני – בעצמו (הובא באמצעות שב""ס)","ע""י ב""כ עו""ד אורי דייגי","בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, לפני כבוד השופטת שרון ריבלין-אחאי , לפני כבוד השופטת שרון ריבלין-אחאי , המאשימה, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, נגד, נגד, נגד, הנאשם, ע""י ב""כ עו""ד אורי דייגי"
SH-22-07-10251-22,המבחן הגב' אוריאן יששכר,נוכחים:,"בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, לפני כבוד השופטת שרון ריבלין-אחאי , לפני כבוד השופטת שרון ריבלין-אחאי , המאשימה, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, נגד, נגד, נגד, הנאשם, ע""י ב""כ עו""ד אורי דייגי, ע""י ב""כ עו""ד אורי דייגי, נוכחים:"
SH-22-07-10251-22,המבחן הגב' אתיר אבו אלהוא,נוכחים:,"בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, לפני כבוד השופטת שרון ריבלין-אחאי , לפני כבוד השופטת שרון ריבלין-אחאי , המאשימה, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, נגד, נגד, נגד, הנאשם, ע""י ב""כ עו""ד אורי דייגי, ע""י ב""כ עו""ד אורי דייגי, נוכחים:"
SH-22-07-10251-22,"חוק העונשין, תשל""ז-1977: סע'  40ב, 144(א), 40 טו",נוכחים:,"בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, לפני כבוד השופטת שרון ריבלין-אחאי , לפני כבוד השופטת שרון ריבלין-אחאי , המאשימה, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, נגד, נגד, נגד, הנאשם, ע""י ב""כ עו""ד אורי דייגי, ע""י ב""כ עו""ד אורי דייגי, נוכחים:"
SH-22-07-10251-22,"חוק הנוער (שפיטה, ענישה ודרכי טיפול), תשל""א-1971: סע'  24 (1), 25 (ב)",נוכחים:,"בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, לפני כבוד השופטת שרון ריבלין-אחאי , לפני כבוד השופטת שרון ריבלין-אחאי , המאשימה, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, נגד, נגד, נגד, הנאשם, ע""י ב""כ עו""ד אורי דייגי, ע""י ב""כ עו""ד אורי דייגי, נוכחים:"
SH-22-07-10251-22,* בית המשפט לנוער גזר על הנאשם שהורשע לאחר ניהול הוכחות בעבירה של החזקת נשק שלא כדין עונש מאסר בפועל של 12 חודשים.,נוכחים:,"בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, לפני כבוד השופטת שרון ריבלין-אחאי , לפני כבוד השופטת שרון ריבלין-אחאי , המאשימה, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, נגד, נגד, נגד, הנאשם, ע""י ב""כ עו""ד אורי דייגי, ע""י ב""כ עו""ד אורי דייגי, נוכחים:"
SH-22-07-10251-22,* עונשין – ענישה – מדיניות ענישה: עבירות נשק,נוכחים:,"בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, לפני כבוד השופטת שרון ריבלין-אחאי , לפני כבוד השופטת שרון ריבלין-אחאי , המאשימה, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, נגד, נגד, נגד, הנאשם, ע""י ב""כ עו""ד אורי דייגי, ע""י ב""כ עו""ד אורי דייגי, נוכחים:"
SH-22-07-10251-22,* עונשין – ענישה – מדיניות ענישה: החזקת נשק,נוכחים:,"בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, לפני כבוד השופטת שרון ריבלין-אחאי , לפני כבוד השופטת שרון ריבלין-אחאי , המאשימה, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, נגד, נגד, נגד, הנאשם, ע""י ב""כ עו""ד אורי דייגי, ע""י ב""כ עו""ד אורי דייגי, נוכחים:"
SH-22-07-10251-22,בית המשפט לנוער נדרש לגזור את דינו של הנאשם - כבן 16 ושלושה חודשים שהורשע לאחר ניהול הוכחות בעבירה של החזקת נשק שלא כדין- עבירה לפי סעיף 144(א) רישא לחוק העונשין.,נוכחים:,"בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, בית משפט לנוער בבית משפט השלום בבאר שבע, לפני כבוד השופטת שרון ריבלין-אחאי , לפני כבוד השופטת שרון ריבלין-אחאי , המאשימה, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, מדינת ישראל , ע""י ב""כ עו""ד רוזין אדרי, נגד, נגד, נגד, הנאשם, ע""י ב""כ עו""ד אורי דייגי, ע""י ב""כ עו""ד אורי דייגי, נוכחים:"
