text,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIR_PUNISHMENT
"* בית המשפט גזר על הנאשם שהורשע בהתאם להודאתו בביצוע 2 עבירות סחר בסם מסוכן, ועבירת החזקת סמים לצריכה עצמית 6 חודשי מאסר אשר ירוצו בעבודות שירות.",['הנאשם קיבל 6 חודשי מאסר שירוצו בעבודות שירות'],[],[],,,,,,,,,,['כן'],
"בית המשפט נדרש לגזור את דינו של הנאשם שהורשע בהתאם להודאתו בביצוע 2 עבירות סחר בסם מסוכן, ועבירת החזקת סמים לצריכה עצמית.",,,,,,,,,,,,,,
"בחינת מידת הפגיעה בערך המוגן בעבירות הסחר מובילה למסקנה כי הפגיעה בערך המוגן היא ברף הבינוני, וזאת בשים לב מחד גיסא למספר המכירות, ומאידך גיסא לסוג הסמים ולעובדה כי מדובר באותם 2 קונים וכן לנסיבות ביצוע העבירות; מידת הפגיעה בערך המוגן בעבירת ההחזקה נמצאת ברף הנמוך, וזאת מאחר ומדובר בהחזקה לצריכה עצמית של כמות קטנה של סם.",,,,,,,,,,,,,,
"הנאשם הורשע בהתאם להודאתו בביצוע 2 עבירות סחר בסם מסוכן, עבירות לפי סעיפים 13 + 19א לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973 (להלן: ""הפקודה""), ועבירת החזקת סמים לצריכה עצמית, עבירה לפי סעיף 7(א)+(ג) סיפא לפקודה.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,['כן'],
"בתאריך 14/05/17 בסמוך לשעות הצהריים, ליד ביתו של הנאשם ברחוב מקווה ישראל 4/4 באשדוד (להלן: ""הבית""), סחר הנאשם בסם מסוכן מסוג קנבוס בכך שמכר לעומרי מלכה וליובל איברגימוב (להלן: ""עומרי ויובל"") סם מסוכן מסוג קנאבוס במשקל 1.9123 גרם נטו, וזאת בתמורה ל-200 ₪ .",,,,,,,['קנביס'],['[1.9123 - גרם]'],,,,,,
"במועדים שאינם ידועים במדויק למאשימה, אולם בין סוף חודש דצמבר 2016 ועד ליום 17/05/17, ב-4 הזדמנויות שונות, סחר הנאשם בסמים מסוכנים מסוג חשיש וקנבוס, בכך שמכר לעומרי ויובל סמים מסוג חשיש או קנאבוס תמורת כסף .",,,,,,,"['הסוג של הסמים הוא [קנביס], [חשיש]']",,,,,,,
"בתאריך 04/06/17 בשעה 19:45 או בסמוך לכך, החזיק הנאשם בביתו סם מסוכן מסוג קנבוס במשקל של 0.4081 גרם נטו, וסם מסוכן מסוג חשיש במשקל של 0.5296 גרם נטו לצריכתו האישית, וזאת מבלי היתר או רישיון לכך.",,,,,,,"['הסוג הוא [קנביס], [חשיש]']","['[0.4081 - גרם], [0.5296 - גרם]']",,,,,,
"מתסקיר שירות המבחן אשר הוגש ביום 04/03/18 עלה כי הנאשם בן 21, סיים לימודיו התיכוניים עם תעודת בגרות ותעודת חשמלאי.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
"במקביל ללימודיו ולשירות הצבאי, שולב הנאשם בתעסוקה.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
"הנאשם השתחרר מצה""ל לאחר שנתיים על רקע מעצרו בגין תיק זה, ושיתף כי שהה במחבוש שבועיים בשל היעדרות ללא רשות.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,
"עם זאת, הציג מכתב ממפקדו המעיד על תפקוד חיובי.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
