text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"פקודת בתי הסוהר [נוסח חדש], תשל""ב-1971: סע'  52(ב)(1)(א)",,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  25, 31, 114(א), 143(ב), 144(ב), 144ו', 186, 244, 305(1), 334, 335(א)(1), 499(א)(1)",,,,,,,,,,,,,,,,,
"תקנות ההגנה (שעת-חירום), 1945: סע'  85(1)(א)",,,,,,,,,,,,,,,,,
"חוק הכניסה לישראל, תשי""ב-1952: סע'  12",,,,,,,,,,,,,,,,,
"* גזר דין בעניינה של נאשמת שהורשעה בעבירה של ניסיון להכנסת חפץ אסור מסוכן, בניגוד לסעיף 52(ב)(1)(א) לפקודת בתי הסוהר, ביחד עם סעיף 25 לחוק העונשין.",,,,,,,,,,,,,,,,,
"הוטלו על הנאשמת 18 חודשי מאסר בפועל, לצד מאסר על תנאי.",,,,,,,,,,,,,,,[],['18 חודשי מאסר על תנאי'],[]
* עונשין – ענישה – מדיניות ענישה: עבירות ביטחון,,,,,,,,,,,,,,,,,
"הנאשמת הורשעה בעבירה של ניסיון להכנסת חפץ אסור מסוכן, בניגוד לסעיף 52(ב)(1)(א) לפקודת בתי הסוהר, ביחד עם סעיף 25 לחוק העונשין.",,,,,,,,,,,,,,,,,
"בית המשפט גזר את דינה של הנאשמת, ופסק כלהלן:",,,,,,,,,,,,,,,,,
"העבירה שעברה הנאשמת היא על הרף החמור האפשרי, מתוך מגוון העבירות שעניינן הכנסת חפצים אסורים למתקן כליאה.",,,,,,,,,,,,,,,,,
"העברת נשק קר קטלני לידי אחי הנאשמת – היא, בעולם המעשה – העברת אמצעי המאפשר לו לממש את כוונותיו הקטלניות הזדוניות, ופוטנציאל הסיכון – עצום.",,,,,,,,,,,,,,,,,
"להב המסור הוא גם בעל פוטנציאל לשימושים נוספים, העלולים לפגוע במשמעת ובסדר בבית הכלא, ובין היתר – ניסור סורגים או חפירה.",,,,,,,,,['תת מקלע מאולתר (מקלע מאולתר)'],,,,,,,,
"תוך מתן המשקל המתאים לחומרה היתרה, הנובעת מטיב החפץ האסור, שניסתה הנאשמת להחדיר במקרה דנן – נשק קר קטלני; וכן היעד אליו כוון הנשק הקר – אסיר בטחוני שהוא פעיל טרור – יועמד מתחם הענישה, במקרה דנן, בין 18 עד 36 חודשי מאסר בפועל.",,,,,,,,,,,,,,,,,
"יינתן משקל מסוים לחלוף הזמן, אשר יש בו כדי ללמד, כי הנאשמת לא נתפסה עוד בעבירות, במהלך תקופה משמעותית.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,
"בשל עובדה זו בלבד, יועמד עונשה של הנאשמת, בסופו של דבר, על הרף הנמוך של המתחם.",,,,,,,,,,,,,,,,,
"לאור האמור, יש להטיל על הנאשמת 18 חודשי מאסר בפועל, לצד מאסר על תנאי.",,,,,,,,,,,,,,,[],['18 חודשי מאסר על תנאי'],[]
"נגד הנאשמת הוגש כתב אישום, המייחס לה עבירה של נסיון להכנסת חפץ אסור מסוכן, בניגוד לסעיף 52(ב)(1)(א) לפקודת בתי הסוהר [נוסח חדש], תשל""ב-1971, ביחד עם סעיף 25 לחוק העונשין, תשל""ז-1977.",,,,,,,,,,,,,,,,,
"בכתב האישום נטען, כי בתאריך 08.12.14, סמוך לשעה 13:00, הגיעה לבית הסוהר ""נפחא"" לבקר את אחיה, המרצה עונש מאסר בן 19 שנים בגין עבירות כנגד בטחון המדינה, לרבות עבירה של נסיון לרצח.",,,,,,,,,,,,,,,,,
"הנאשמת החזיקה בבגדיה להב מסור באורך כ- 10 ס""מ, במטרה להעבירו לאחיה.",,,,,,,,,,,,,,,,,
