text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
"חוק העונשין, תשל""ז-1977: סע'  58, 144, 144(א), 144(ג'), בפרק י, בפרק ח, בפרק י'",0.013451585,5.6456074e-06,1.6862938e-05,0.002567767,0.0056573274,0.0024117497,0.0019351958,0.38241434,0.00014545007,0.0036998473,0.076278836,0.005138595,0.07050873,0.0012539577
"* לצורך הפעלת מאסר מותנה והתחייבות כספית שהוטלו ביחס לעבירת אלימות, ""החזקת נשק"" היא בבחינת מעשה אלימות.",0.0024345675,5.380434e-06,1.6836215e-05,0.0029639069,0.006185159,0.67895985,0.0013261011,0.21883781,0.0001753442,0.0031838196,0.13935563,0.0024114705,0.09381775,0.0010216043
"הנאשם דנן, שהורשע בהחזקת נשק ואביזר נשק, נידון ל-22 חודשי מאסר, הפעלת מאסר מותנה בחלקו במצטבר, 12 חודשי מאסר על תנאי, קנס והפעלת התחייבות הספית בתיק קודם.",0.9971378,0.99992704,6.386372e-05,0.04327367,0.01401717,0.0081512965,0.0018054955,0.09754764,0.00023070614,0.0020428689,0.16763741,0.0024583486,0.095498785,0.87249815
* עונשין – ענישה – מדיניות ענישה: עבירות נשק,0.002335025,5.718925e-06,2.0196707e-05,0.0026114688,0.005545318,0.0084959455,0.0013362659,0.13756713,0.00017813145,0.0024921957,0.079755984,0.0029741954,0.16084671,0.00074612495
* עונשין – ענישה – מדיניות ענישה: עבירות אלימות,0.002404465,5.6998574e-06,2.0364854e-05,0.0027938413,0.0049801543,0.0048404736,0.0012698609,0.08203464,0.00017803907,0.0024139395,0.09783708,0.0036967532,0.15296677,0.00081493845
* עונשין – ענישה – הפעלת מאסר על תנאי,0.87572306,5.3735835e-06,1.856102e-05,0.0026978783,0.0049895984,0.0023687729,0.0013747442,0.044682987,0.00015938673,0.0020966078,0.107436754,0.0029024307,0.120636076,0.00090169976
"הנאשם הורשע במסגרת הסדר טיעון, בעבירה של החזקת נשק ואביזר נשק.",0.0023349926,5.3297263e-06,1.4434596e-05,0.032670736,0.052535888,0.013423878,0.0014859713,0.44423488,0.00023787601,0.0018745603,0.11670421,0.0018791249,0.15032345,0.99963224
בית המשפט המחוזי גזר את הדין כדלהלן:,0.0041232244,5.609724e-06,1.819609e-05,0.0028178939,0.007934346,0.0031241092,0.0012014164,0.14537297,0.00016449887,0.002214403,0.13316098,0.0017920041,0.10950875,0.00071152323
ישנו בסיס מוצק לחשש כי נשק שהוחזק באופן לא חוקי יימצא בסופו של יום בידי גורמים עברייניים או עוינים שיעשו בו שימוש לפגיעה בגוף ובנפש.,0.004141454,6.025554e-06,0.9077841,0.9808687,0.006196959,0.97984856,0.012272541,0.9044536,0.019041643,0.0036223566,0.37369037,0.004761037,0.109972194,0.0011758597
יש לתת ביטוי עונשי הולם ומרתיע לעבירות הנשק ולתת משקל גבוה לאינטרס הציבורי ולצורך להרתיע עבריינים לבצע עבירות דומות.,0.00283641,5.8466335e-06,1.573114e-05,0.0033490688,0.004772406,0.18846956,0.000925575,0.1722496,0.0001558866,0.0015768688,0.16649415,0.009922463,0.08955671,0.0010003628
