text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
עלי זבידאת ת.ז. 032645939,,,,,,,,,,,,,,,,,
"רון שפירא, ""הגיעה העת לסולחה"", הפרקליט, כרך מח 433",,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  29, 40ב, 40ג(א), 40 ו, 40ט, 144(ב), 192, 340א, 40יא, 40יב, 499(א)(1)",,,,,,,,,,,,,,,,,
חוק-יסוד: כבוד האדם וחירותו,,,,,,,,,,,,,,,,,
"חוק המרשם הפלילי ותקנת השבים, תשמ""א-1981: סע'  16 (ב1)",,,,,,,,,,,,,,,,,
"הנאשם, יליד 84', הודה בעבודות כתב אישום אשר תוקן במסגרת הסדר טיעון, בעבירות כדלהלן:",,,,,,,,,,,,,,['כן'],,,
"נשיאת נשק והובלתו - עבירה לפי סעיפים 144(ב) רישא ו- 29 לחוק העונשין, התשל""ז-1977 (להלן: חוק העונשין); ירי באזור מגורים - עבירה לפי סעיפים 340א ו- 29 לחוק העונשין; איומים - עבירה לפי סעיפים 192 ו- 29 לחוק העונשין, וקשר לפשע (נשיאת נשק) - עבירה לפי סעיפים 499(א)(1) ו- 29 לחוק העונשין.",,,,,,,,,,['ירי'],,,,,,,
עובדות כתב האישום המתוקן בתמצית.,,,,,,,,,,,,,,,,,
"ביום 28/7/12 קשרו הנאשם ומוחמד ג'בארין (להלן: ג'בארין) קשר, על רקע סכסוך בין משפחת הנאשם לבין משפחת אבו יונס, להגיע אל חצר ביתו של רדואן אבו יונס בסחנין (להלן: המתלונן והבית בהתאמה), ולבצע ירי מאקדח, בכוונה להפחיד או להקניט את המתלונן ו/או משפחתו.",,,,,,,,,['אקדח'],"['ירי', 'ניסיון לירי']",,,,,,,
"בהמשך לקשר ולצורך קידומו הצטיידו הנאשם וג'בארין באקדח שסוגל לירות כדור אשר בכוחו להמית אדם ובתחמושת (להלן: הנשק), וביום 28/7/12 בשעה 19:45 או בסמוך לכך, הגיעו השניים עם הנשק אל חצר ביתו של המתלונן ברכב טנדר מסוג מיצובישי (להלן: הטנדר), כאשר הנאשם נוהג וג'בארין יושב לידו.",,,,,['ברכב'],,,['מאחר'],['אקדח'],"['ירי', 'ניסיון לירי']",,,,,,,
"הנאשם וג'בארין נכנסו בנסיעה אל חצר הבית, כשאותה עת ישבו המתלונן ובני משפחתו במרפסת ביתם בקומת הקרקע, וג'בארין ירה מספר יריות לעבר הבית מבעד לחלון הטנדר בכוונה להפחיד או להקניט את המתלוננים.",,,,,[],[],,,,"['ירי', 'ניסיון לירי']",,,,,,,
"כתוצאה מהירי, פגעו מספר קליעים בקירות הבית ובחלון וגרמו לנזק.",,,,,,,,,"['אקדח הירי המוזכר בחומר הטקסטואלי גרם לנזק לקירות הבית ולחלון, מה שמצביע על שימוש בנשק קטן יחסית, כמו אקדח']",[],,,,,,,
"במעשיו כמתואר לעיל, קשר הנאשם קשר עם ג'בארין לביצוע פשע; נשא והוביל נשק בלא רשות על פי דין לנשיאתו או להובלתו; ירה מנשק חם באזור מגורים ללא הסבר סביר, ואיים שלא כדין, לפגוע במתלונן ו/או במשפחתו, בכוונה להפחידם או להקניטם, כל זאת בצוותא חדא עם ג'בארין.",,,,,,[],,['מאחר'],,['ירי'],,,,,,,
"לנאשם הרשעה קודמת בעבירת איומים מיום 3/2/05, בגינה נידון ל- 60 ימי מאסר לריצוי בעבודות שירות, ולמאסר על תנאי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : כן']",,,,,,,,,,,,,[],['הנאשם קיבל מאסר על תנאי של 60 חודשים'],[]
העבירה בוצעה בשנת 03'.,,,,,,,,,,,,,,,,,
תסקיר שירות המבחן.,,,,,,,,,,,,,,,,,
"שירות המבחן המליץ להטיל על הנאשם מאסר שירוצה בעבודות שירות, מאסר מותנה מרתיע וכן צו מבחן למשך שנה וחצי, במהלכו ישולב בטיפול במסגרת השירות והתחייבות.",,,,,,,,,,,,,,,,,
"קצינת המבחן סקרה את נסיבותיו האישיות של הנאשם, תושב סחנין בן 29, נשוי, ועבד בבניין.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
