text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
בעניין:	מדינת ישראל – פרקליטות מחוז מרכז (פלילי)		המאשימה,,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  144(א)",,,,,,,,,,,,,,,,,
"הנאשם, יליד 1962, הורשע על פי הודאתו, ובמסגרת הסדר טיעון, בעבירה של החזקת נשק, אביזר ותחמושת לנשק, בניגוד לסעיף 144(א) רישא וסיפא לחוק העושין, תשל""ז-1977.",,,,,,,,,,,,,,['כן'],,,
"על פי עובדות כתב האישום המתוקן, ביום 2.12.18 בשעה 03:30, במסגרת פעילות משטרתית הגיעו שוטרים לביתו של הנאשם בטירה.",,,,,,,,,,,,,,,,,
"מששמע הנאשם כי כוחות המשטרה הגיעו לביתו, ניסה הנאשם לצאת דרך חלון אחורי בקומה הראשונה של הבית, בעודות אוחז בכלי הנשק כשהם עטופים וזאת בנסיון להסתירם.",,,,,[],,,[],,,,,,,,,
"או אז הבחין בשוטר שעמד בחלקו האחורי של הבית ומיד נכנס לתוך הבית והחל לרוץ לעבר דלת הכניסה, עד שנעצר על ידי השוטרים.",,,,,,,,,,,,,,,,,
במסגרת הסדר הטיעון הוסכם שהנאשם יישלח לשרות המבחן לצורך קבלת תסקיר בעניינו.,,,,,,,,,,,,,,,,,
"עוד הוסכם שהמאשימה תטען לעונש מאסר של 24 חודשים במתחם הנע בין 24 ל-48 חודשי מאסר, לצד מאסר על תנאי וקנס.",,,,,,,,,,,,,,,[],"['הנאשם קיבל 24 חודשי מאסר בפועל, עם מתחם ענישה הנע בין 24 ל-48 חודשים אין מידע על מאסר']",[]
ההגנה חופשית בטיעוניה.,,,,,,,,,,,,,,,,,
"מתסקיר שרות המבחן מיום 1.2.21 עולה שמדובר בנאשם כבן 59, נשוי ואב לילדים בני 32 ו-30.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,
"עובד כעצמאי בתחום הבנין ובעלים של עסק ""אטלס-עבודות בגובה"" להשכרת פיגומים חשמליים ואחזקת בניינים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"הנאשם מטופל בתחליף סם מסוג ""סבוטקס"" מזה שנים רבות על רקע התמכרות רבת שנים לסמים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"בגיל 15 חבר לחברה שולית, התמכר לסמים וביצע עבירות סמים ורכוש.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"לאחר שחרורו ממאסרו האחרון, בשנת 2002, השתקם, נגמל מסמים והחל עובד בעסקי אחיו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
משנת 2006 עובד כעצמאי בתחום הבנין.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
הנאשם הדגיש השתתפותו בפעילות התנדבותית בעיר מגוריו למען שיפור הסביבה.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"לחובת הנאשם 11 הרשעות קודמות, בין השנים 2016-1981, אשר רובן התיישנו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : כן']",,,,,,,,,,,,,,,
"הוא ריצה מספר מאסרים בפועל בגין עבירות סמים, רכוש ואלימות.",,,,,,,,,,,,,,,,,
"לא פתוחים כנגדו תיקי מב""ד.",,,,,,,,,,,,,,,,,
ממאסרו האחרון שוחרר בשנת 2002 במסגרתו עבר גמילה מסמים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
בהתייחס לעבירה נשוא הדיון קיבל הנאשם אחריות לביצועה.,,,,,,,,,,,,,,,,,
"הוא הסביר שאכן החזיק בשני כלי נשק ""ישנים"", אותם לקח בעת השתתפותו במשימת ניקוי חלקת אדמה המיועדת למשחקייה לילדי העיר.",,,,,,,,[],,,,,,,,,
"שיתף בהתלבטותו, חוסר אונים ולחץ אותה עת, כשמחד לא רצה להשאיר את התיק במקום ומצד שני היסס לפנות למשטרה או לערב אחרים בשל עברו הפלילי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
הוא שקל להתייעץ עם עורך-דין אך לא הספיק בשל הגעת המשטרה לערוך חיפוש בביתו לאחר כיומיים.,,,,,,,,,,,,,,,,,
"הנאשם מודע לחומרת העבירה ולכך שהתנהג באופן לא אחראי וכי עמדו בפניו אלטרנטיבות להתנהגות בוגרת ואחראית, וכי עליו לשאת בתוצאות התנהגותו הבעייתית.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"הנאשם התקשה להסביר את המניעים הרגשיים שעמדו ברקע להתנהגותו הבעייתית ולתת את הדעת אודות בחירתו להחזיק כלי נשק בביתו, תוך שלילת נזקקות טיפולית במסגרת שרות המבחן.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"בגין מעורבותו בעבירה שהה הנאשם במעצר כחודש וחצי, לאחר מכן שהה במעצר בית באיזוק אלקטרוני ובהמשך, במאי 2019, הוקלו התנאים המגבילים והתאפשרה יציאתו לעבודה.",,,,,,,,,,,,,,,,,
"בהמשך, הוסרו התנאים המגבילים.",,,,,,,,,,,,,,,,,
בתקופת פיקוח המעצר הנאשם הגיע לכל המפגשים הפרטניים כנדרש ועמד בתנאים.,,,,,,,,,,,,,,,,,
לא נרשמו לו הפרות ולא נפתחו תיקים חדשים.,,,,,,,,,,,,,,,,,
שרות המבחן ציין כי הוא מבין את התנהגותו הבעייתית על רקע דפוסי חשיבה בעייתיים שאימץ על רקע ניהול אורח חיים עברייני בעבר.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"בהערכת הסיכון נלקחו בחשבון אופי העבירה וחומרתה, רקע של מעורבות פלילית לצד רקע של שימוש בחומרים ממכרים, אשר נותנים לגיטימציה לשימוש באלימות במצבים מסויימים, קושי בקבלת סמכות ורקע של קשיי הסתגלות.",,,,,,,,,,,,,,,,,
"מאידך, התנהלות יציבה ותקינה בשנים האחרונות, היעדר כוונה לשימוש בנשק או לפגיעה באחר, גילוי מודעות לחומרת העבירה ולסיכון שבה והבעת צער וחרטה בגין ההתנהלות הבעייתית.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,
"בשקלול הנתונים, העריך שרות המבחן כי קיימת רמת סיכון להישנות התנהגות אלימה מצדו של הנאשם וכי אין באפשרותו לשלול סיכון להישנות התנהגות עוברת חוק בעתיד.",,,,,,,,,,,,,,,,,
