text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"בטרם שמיעת הראיות הגיעו הצדדים להסדר דיוני במסגרתו כתב האישום המקורי שהוגש נגד הנאשם תוקן והנאשם הודה בעובדות כתב האישום המתוקן, שאלה הן עיקריהן:",,,,,,,,,,,['כן'],,,
"הנאשם החליט, יחד עם אחרים שזהותם אינה ידועה לתביעה, להקים מקום לגידול סם הקנאביס ולגדל בו את הסם האמור בכמות מסחרית, הכל שלא לצריכתו העצמית.",,,,,['קנביס (קנאביס)'],,"['לא בעל המעבדה, בעל הסמים']",['לא'],,,,,,
"לשם כך הנאשם שכר בתאריך 14.8.19 דירת גג בבנין מגורים באשדוד ועם קבלת החזקה בה, הוא ואחרים הכשירו אותה כמקום לגידול סם.",,,,,,,"['[בעל הסמים, לא בעל המעבדה]']",['כן'],,,,,,
והנאשם הצטייד בכלים שונים לשם גידול הסם.,,,,,,,"['לא בעל המעבדה, בעל הסמים']",,,,,,,
"מאז הכשרת הדירה כאמור ועד למעצר הנאשם ביום 12.5.20, הנאשם גידל בדירה יחד עם האחרים, שתילים רבים של סם הקנאביס.",,,,,,,,,,,,,,
"הנאשם ואחרים חיברו את הדירה ללוח החשמל בחדר המדרגות, באופן לא חוקי ומסוכן, והשתמשו בחשמל לצורך תפעול מקום גידול הסם.",,,,,,,['לא בעל המעבדה'],['כן'],,,,,,
"ביום 12.05.20, שוטרים ערכו חיפוש בדירה ומצאו בחדרים השונים 207 שתילי סם הקנאביס בשלבי גידול מתקדמים, במשקל כולל של 83,128 ק""ג.",,,,,['קנביס (קנאביס)'],['[183 - גרם]'],,['לא'],,,,,,
"על יסוד הודאת הנאשם בעובדות כתב האישום המתוקן, כאמור, הוא הורשע בעבירה של ייצור, הכנה והפקה של סם מסוכן, לפי סעיף 6 בפקודת הסמים המסוכנים [נוסח חדש] התשל""ג-1973, ובעבירה של נטילת חשמל, לפי סעיף 400 בחוק העונשין התשל""ז-1977.",,,,,,,,,,,['כן'],,,
"הנאשם בן 28, נשוי ואב לשתי בנות קטנות.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
נעדר עבר פלילי.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
