feature_key,text,extraction
GENERAL_CIRCUM,"כבר בחקירתו הודה הנאשם בביצוע המעשים המיוחסים לו בכתב האישום, ואף שטען כי נאלץ לעשות זאת עקב היותו שקוע בחובות בשל התמכרותו להימורים, והיה נתון לאיומים עליו ועל בנו בן ה-4, הוא לא מסר את שמות שולחיו.","['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,הוא בן 34 גרוש ואב לילד בן 4.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,עקב התמכרותו להימורים הוא התגרש ונכנס לחובות כבדים ועל כן הסתבך עם מלווים מהשוק האפור.,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"בשנת 2014 הורשע הנאשם בגין עבירות אלימות, חבלה חמורה ואיומים ונידון למאסר לתקופה של חמישה חודשים בעבודות שירות וכן למאסר על תנאי ולקנס.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"כמו כן יש להתחשב בתכנון שקדם לביצוע העבירה, בחלקו היחסי של הנאשם בביצועה, בנזק שהיה צפוי להיגרם מביצוע העבירה, בסיבות שהביאו את הנאשם לבצע את העבירה במצוקתו הנפשית.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"לקולא ניתן להתחשב בפגיעה של העונש בנאשם לרבות בשל גילו, הפגיעה במשפחתו וכן יש לשקול את עובדת נטילת האחריות של הנאשם על מעשיו ומאמציו לחזור למוטב.","['1 : כן', '2 : כן', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
CIR_TYPE,"ביום 1.12.17 שכר הנאשם בית צמוד קרקע עם מרתף ושלושה חדרים הפרושים על פני שלוש קומות בתל אביב, לצורך הקמת מעבדה לגידול סם מסוכן מסוג קנאבוס.",['קנביס (קנאבוס)']
CIR_TYPE,"הנאשם התקין יחד עם אחרים שזהותם אינה ידועה במרתף הבית ובשלושת חדריו ציוד רב שכלל מנורות, מזגנים, מאווררים, חומרי דישון, מפוחים, בלוני גז, וביום שנכנסו חוקרי המשטרה לבית נמצאו 725 שתילים של צמח קנאבוס.",['קנביס (קנאביס)']
CIR_TYPE,"בתקופה שבה החזיק הנאשם יחד עם האחרים בבית, הוא הפיק סם מסוכן מסוג קנאבוס במשקל כולל של 114 ק""ג.","['הסוג הוא [קנביס], כפי שמצוין בטקסט: ""הפיק סם מסוכן מסוג קנאבוס במשקל כולל של 114 ק""ג.""']"
CIR_AMOUNT,"ביום 1.12.17 שכר הנאשם בית צמוד קרקע עם מרתף ושלושה חדרים הפרושים על פני שלוש קומות בתל אביב, לצורך הקמת מעבדה לגידול סם מסוכן מסוג קנאבוס.",['[0 - גרם]']
