text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
אמג'ד שאהין,,,,,,,,,,,,,,,,,
"עו""ד רינת בן יעקב; עו""ד צור חוטה",,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  40ב, 40ג(א), 40ג(ב), 40ו, 40ז, 40ח, 40ט, 40ט(א), 144(א), 144(ב), 144(ב2), 144(ז), 40יא, 40יב, 40יג",,,,,,,,,,,,,,,,,
"נאשם 1 (להלן: הנאשם) הורשע בדין, על פי הודאתו שניתנה במסגרת הסדר טיעון.",,,,,,,,,,,,,,['כן'],,,
הגיעה העת לגזור את עונשו.,,,,,,,,,,,,,,,,,
המעשים שביצע הנאשם והעבירות שבהן הורשע,,,,,,,,,,,,,,,,,
"ביום 23.12.24 הורשע הנאשם על פי הודאתו בעבירות נשק, בגין מעורבותו בשלוש עסקאות נשק שבכל אחת מהן נמכר אקדח לסוכן משטרתי, ובגין החזקת רובה בביתו.",,,,,,,,,['אקדח'],,,,,['כן'],,,
העסקה הראשונה נערכה ביום 4.6.23.,,,,,,,,,,,,,,,,,
"כחודש קודם לכן הגיע הסוכן אל מקום עבודתו של הנאשם, והנאשם ציין בפניו כי הוא מכירו והעביר לו את מספר הטלפון שלו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,
"ביום 1.6.23 שוב הגיע הסוכן אל מקום עבודת הנאשם, וזה הציג בפניו תמונות של כלי נשק רבים, ואף בירר עם הסוכן ממי יוכל לרכוש תחמושת.",,,,,,,,[],,,,,,,,,
"הסוכן סיפר לנאשם כי הוא קיבל הצעת מחיר לרכישת אקדח מתוצרת GLOCK, ואז אמר לו הנאשם שלא יקנה מאחרים שכן הוא עצמו מוכר במחירים הזולים ביותר, והציע לו אקדח חדש כזה.",,,,['נשק עם מחסנית בהכנס'],,,,[],['אקדח'],,,,,,,,
