,verdict,text,part
0,ME-22-03-32883-128,עאטף רשאידה -בעצמו,הנאשמים:
1,ME-22-03-32883-128,מחמוד אלסאנע-בעצמו,הנאשמים:
6,ME-22-03-32883-128,"חוק העונשין, תשל""ז-1977: סע'  40 ח', 144(ב), 144(ב2), 144(ז)",הנאשמים:
7,ME-22-03-32883-128,"חוק הכניסה לישראל, תשי""ב-1952: סע'  12(1)",הנאשמים:
8,ME-22-03-32883-128,"נאשמים 1 ו-2 (להלן: ""הנאשמים"") הורשעו על-פי הודאתם, במסגרת הסדרי טיעון נפרדים, בכתבי אישום נפרדים ומתוקנים (להלן: ""כתב האישום"" או ""כתבי האישום"") בביצוע עבירות של ייבוא נשק ותחמושת ונשיאה והובלה של נשק ותחמושת, עבירות לפי סעיפים 144(ב2) ו-144(ב) רישא + סיפא לחוק העונשין, התשל""ז – 1977 (להלן: ""חוק העונשין"").",	מבוא
9,ME-22-03-32883-128,"נאשם 1 הורשע בנוסף בעבירה של שהות בישראל בניגוד לדין, עבירה לפי סעיף 12(1) לחוק הכניסה לישראל, התשי""ב – 1952.",	מבוא
10,ME-22-03-32883-128,הסדרי הטיעון אליהם הגיעה המאשימה עם כל אחד מן הנאשמים לא גובשו באותה עת.,	מבוא
11,ME-22-03-32883-128,תחילה גובש ההסדר עם נאשם 2 ועניינו נדחה לצורך קבלת תסקיר של שירות המבחן וטיעונים לעונש.,	מבוא
12,ME-22-03-32883-128,"במסגרת ההסדר של נאשם 2 הצדדים הסכימו ביניהם כי הטיעונים לעונש בעניינו יישמעו במאוחד עם הטיעונים לעונש בעניינו של נאשם 1, ככל וזה יורשע.",	מבוא
13,ME-22-03-32883-128,"בהתאם לכך, דיון הטיעונים לעונש של נאשם 2 נדחה מעת לעת, הואיל ונאשם 1 ניהל הליך הוכחות במסגרתו נשמעה כל פרשת התביעה.",	מבוא
14,ME-22-03-32883-128,עם סיום פרשת התביעה גם נאשם 1 הגיע להסדר טיעון ובהמשך לכך דיון הטיעונים לעונש נשמע במאוחד.,	מבוא
15,ME-22-03-32883-128,"כאן המקום לציין, כי במובנים מסוימים עובדות כתבי האישום שגובשו במסגרת הסדרי הטיעון עם הנאשמים לא חופפות במלואן ובנקודות מסוימות אף ישנן אי התאמות.",	מבוא
16,ME-22-03-32883-128,"מצב זה אינו ""בריא"" אך נראה כי הוא קשור בניתוח הראייתי של הצדדים במסגרת המשא ומתן שהם ניהלו, ובכך שההסדרים לא גובשו כאמור בעת ובעונה אחת.",	מבוא
17,ME-22-03-32883-128,"הגם שכך, יש להבהיר כי דינו של כל נאשם ייגזר אך מכתב האישום שגובש בעניינו על עובדותיו, ומהסכמות דיוניות אחרות אליהן הגיעו הצדדים.",	מבוא
18,ME-22-03-32883-128,"במסגרת ההסדר של נאשם 1 הגיעו הצדדים להסדר עונשי מסוג ""הסדר טווח"" ולפיו הגבילה המאשימה את טיעוניה לעונש של 12 שנות מאסר, מאסר על תנאי, קנס גבוה ועונשים נלווים נוספים וההגנה תטען לעונש באופן חופשי.",	מבוא
19,ME-22-03-32883-128,במסגרת ההסדר בעניינו של נאשם 2 לא הגיעו הצדדים להסכמה עונשית וכל צד טען לעונש באופן חופשי.,	מבוא
