text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
בטרם שמיעת הראיות הגיעו הצדדים להסדר טיעון במסגרתו הוגש נגד הנאשם כתב אישום מתוקן והנאשם הודה בעובדותיו.,,,,,,,,,,,['כן'],,,
"3 אריזות של סם מסוכן מסוג הרואין במשקל כולל של 35 ק""ג נטו.",,,,,"['הסוג הוא [הרואין], כפי שמצוין בטקסט: ""3 אריזות של סם מסוכן מסוג הרואין במשקל כולל של 35 ק""ג נטו.""']","['[3 - ק""ג]']","['לא בעל המעבדה, בעל הסמים']",,,,,,,
"אריזה של סם מסוכן מסוג קוקאין במשקל של 30 ק""ג נטו.",,,,,"['הסוג הוא [קוקאין], כפי שמצוין בטקסט: ""אריזה של סם מסוכן מסוג קוקאין במשקל של 30 ק""ג נטו.""']","['[30 - ק""ג]']","['לא בעל המעבדה, בעל הסמים']",,,,,,,
"אריזה של סם מסוכן מסוג חשיש במשקל של 20 ק""ג ברוטו.",,,,,"['הסוג הוא [קנביס], כפי שמצוין בטקסט: ""אריזה של סם מסוכן מסוג חשיש במשקל של 20 ק""ג ברוטו.""']","['[20 - ק""ג]']","['לא בעל המעבדה, בעל הסמים']",,,,,,,
"3 אריזות של סם מסוכן מסוג מתאמפטמין במשקל כולל של 8.717 ק""ג נטו.",,,,,['הסוג הוא [מתאמפטמין]'],"['[3 - ק""ג]']","['לא בעל המעבדה, בעל הסמים']",,,,,,,
"על יסוד הודאת הנאשם בעובדות כתב האישום המתוקן כאמור, הוא הורשע בעבירה של החזקת סם מסוכן שלא לצריכה עצמית, לפי סעיף  7 (א) ו- (ג) רישא בפקודת הסמים המסוכנים [נוסח חדש] התשל""ג-1973.",,,,,,,,,,,['כן'],,,
"הנאשם בן 30, יליד הארץ, נשוי ואב לילדה בת שנתיים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
טרם מעצרו התגורר בפזורה ועבד בתחום הניקיון בבית ספר באזור מגוריו.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
תיאר כי משפחתו סובלת מקושי כלכלי ולאורך השנים התקשתה להתקיים והוא עצמו מצוי בחובות כלכליים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
לחובתו הרשעה משנת 2019 בעבירות סמים עליהן נידון לתשעה חודשי מאסר בעבודות שירות ועונשים נלווים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"שירות המבחן ציין כי בעבר הנאשם שולב בקבוצה טיפולית ושיתף פעולה כנדרש, אך בשלב מסוים עזב את הקבוצה בשל קשיים אישיים וכלכליים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הנאשם שלל שימוש בסמים ואלכוהול.,,,,,,,,,,,,,,
"אשר לעבירה, מודה בביצועה.",,,,,,,,,,,,,,
"ציין כי מדובר בעבירה שנייה של הנאשם בתחום הסמים, ונראה שההליך הפלילי הקודם וההליך הטיפולי בו שולב בעבר לא מהווים גורם מרתיע עבורו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"ציינה את הודאת הנאשם והחיסכון בהעדת העדים, ומנגד את עברו הפלילי של הנאשם והצורך בהרתעת הרבים.",,,,,,,,,,,,,,
