text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
הודא מטיר,,,,,,,,,"['הנשק שמתאים ל""הודא מטיר"" הוא ""רובה סער מאולתר"" (מכונה גם ""קרלו"")']",,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  31, 144(א), 244",,,,,,,,,,,,,,,,,
"נאשמת 1 (להלן: הנאשמת"") הורשעה על פי הודאתה בעבירה של סיוע להחזקת נשק שלא כדין לפי סעיפים 144(א), ו-31 לחוק העונשין, התשל""ז-1977 ובעבירה של שיבוש מהלכי משפט לפי סעיף 244 לאותו חוק, שיוחסו לה בכתב האישום המתוקן.",,,,,,,,,,,,,,['כן'],,,
"לפי המתואר בכתב האישום, החזיק נאשם 2, בעלה של הנאשמת (להלן: ""הנאשם""), בארון השינה בדירתם המשותפת באלעזריה, נשק מאולתר הבנוי על עקרון ""מכנס פתוח"" (להלן: ""הנשק"") כאשר אל הנשק מחוברת מחסנית.",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']","['בבית', 'סמוך לבית']",,,['מאחר'],['תת מקלע מאולתר'],,,,,,,,
"ביום 21.08.15 בשעה 04:40 הגיעו כוחות משטרה ומג""ב אל הבית במטרה לערוך חיפוש.",,,,,,,,,,,,,,,,,
"בעת החיפוש בבית בקשו השוטרים לפתוח דלת סגורה, הנאשמת פתחה את הדלת, נגשה לחדר השינה ונטלה מתוך הארון, שקית שבתוכה היה מוטמן הנשק, והסליקה אותה אל בין בגדיה.",,,,,"['בבית', 'מוסלק - מוסתר']",,,[],,,,,,,,,
"השוטר משה משיח הבחין בנאשמת וצעק לעברה בעברית ובערבית להוציא את מה שהטמינה בין בגדיה, אם לא, יאלץ להשתמש בכוח כנגדה.",,,,,,,,,,,,,,,,,
"או אז, הנאשמת זרקה את השקית ובה הנשק על המיטה.",,,,,[],,,,,,,,,,,,
יצוין כי הנאשם הודה גם הוא במיוחס לו – עבירה של החזקת נשק שלא כדין והוא נדון ל-10 חודשי מאסר.,,,,,,,,,,,,,,['כן'],,,
"גזר דין זה עוסק אפוא, אך בנאשמת.",,,,,,,,,,,,,,,,,
"נתבקש והוגש תסקיר שירות המבחן, ממנו נלמד אודות הנאשמת.",,,,,,,,,,,,,,,,,
בין היתר נלמד כי הנאשמת סיימה 11 שנות לימוד.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"כיום היא עקרת בית, נשואה ואם ל-6 ילדים בגילאי 25-10.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"קצינת המבחן ציינה כי לדברי הנאשמת, רק תוך כדי אירוע בעלה סיפר לה, שהוא מחזיק אקדח, וכדחף אימפולסיבי להגן על משפחתה, פעלה להסתיר את האקדח בבגדיה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,['נשק עם מחסנית בהכנס'],[],['הגנה עצמית'],,,['אקדח'],,,,,,,,
על מעשיה אלה היא לקחה אחריות מלאה וחשה חרטה עמוקה וצער בגינן.,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
הנאשמת הדגישה בפניה כי מדובר בהתנהלות הזרה לאורח חייה התקין.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"הנאשמת חשה בושה כלפי ילדיה אותם חינכה להימנע ממעורבות פלילית ועבריינית, ועל כן היא חווה מצוקה עמוקה תוך האשמה עצמית.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
