,case,text,reject,reject-predicted,PUNISHMENT-predicted,GENERAL_CIRCUM-predicted,CIRCUM_OFFENSE-predicted,CONFESSION-predicted,RESPO-predicted,REGRET-predicted,CIR_USE-predicted,CIR_TYPE_WEP-predicted,CIR_STATUS_WEP-predicted,CIR_PURPOSE-predicted,CIR_PLANNING-predicted,CIR_OBTAIN_WAY_WEP-predicted,CIR_MONEY_PAID_WEP-predicted,CIR_BUYER_ID_WEP-predicted,CIR_AMMU_AMOUNT_WEP-predicted,_HELD_WAY_WEP-predicted
0,,"חוק העונשין, תשל""ז-1977: סע'  40 ב, 40 ג', 40 ט, 144, 144(ב), 40 יא",,0.999680242236529,,,,,,,,,,,,,,,,
1,,"חוק העונשין, תשל""ז-1977: סע'  40 ב, 40 ג', 40 ט, 144, 144(ב), 40 יא",,0.999680242236529,,,,,,,,,,,,,,,,
2,,"חוק העונשין, תשל""ז-1977: סע'  40 ב, 40 ג', 40 ט, 144, 144(ב), 40 יא",,0.999680242236529,,,,,,,,,,,,,,,,
3,,"הנאשם הודה בתיק זה בעובדות כתב האישום שתוקן, במסגרת הסדר טיעון בין הצדדים, אשר לא כלל הסדר לעניין העונש והורשע בביצוע עבירה בנשק (נשיאה והובלה),  לפי סעיף 144(ב) רישא וסיפא לחוק העונשין, התשל""ז – 1977 (להלן: חוק העונשין).",,0.003990198328208315,0.19828560997037617,0.013214046982525129,0.013413271659360286,0.974044027651015,0.3948621529981125,0.10339281771536352,,,,,,,,,,
4,,"במסגרת הסדר הטיעון הנ""ל סוכם בין הצדדים, כי כחלק מראיות ההגנה לעונש, יוגש דיסק שחזור שנערך לשוטר שעצר את הנאשם, הממחיש את המרחק הקצר שבין ביתו של הנאשם למקום בו נתפס הנשק (ראו נ/1).",,0.25138402180842384,0.0117198834948221,0.10370154928832816,0.4977973610851062,0.2462814049209275,,,,,,,,,,,,
5,,"מעובדות כתב האישום המתוקן שהוגש במסגרת הסדר הטיעון עולה כי, ביום 17.8.16, סמוך לשעה 11:00  ברחוב ברזילי 12 בחיפה, שם התגורר הנאשם, נשא הלה והוביל תיק ובו תת מקלע מאולתר בקוטר 9 מ""מ, שסוגל לירות כדור שבכוחו להמית אדם (להלן גם: הנשק), מחסנית המתאימה לנשק ובתוכה 7 כדורים, וזאת בלא רשות על פי דין.",,0.0006859576499822648,0.04744383234970793,0.09475569981930705,0.7983003969934523,0.6527264918435062,0.42307590404667395,0.08377518908645079,0.587734811315119,0.8764851899720332,0.9057891028032808,0.7828145557536415,0.6471680321573854,0.8203588276221454,0.07818613114441011,0.09260104921057595,0.9349168154106722,0.9681607851106457
6,,"במסגרת ראיות המאשימה לעונש, הוגש גיליון המרשם הפלילי של הנאשם (ת/1).",,0.9997707134338037,,,,,,,,,,,,,,,,
7,,"כמו כן הגיש ב""כ המאשימה את טיעוני המאשימה לעונש  בכתב (ת/2) ואסופת פסיקה להמחשת עמדתה העונשית של המאשימה (ת/3).",,0.9997203393393146,,,,,,,,,,,,,,,,
8,,"באשר לערכים החברתיים שנפגעו כתוצאה ממעשיו של הנאשם, ציין ב""כ המאשימה את החומרה הרבה הטמונה בעבירות הנשק, בציינו כי לא בכדי קבע המחוקק עונש של עד 10 שנות מאסר בגין העבירה שבפנינו.",,0.06342980220878308,0.006479618457114299,0.11236816086813821,0.007734696712553236,0.3342807689664428,,,,,,,,,,,,
9,,"לחומרה, צוין כי הנשק שהחזיק הנאשם היה מוכן לשימוש, כשלצדו מחסנית ותחמושת רבה.",,0.00012441900032248202,0.0074742694984114835,0.1749981321288282,0.9037598536938193,0.5523388633748549,0.3992324093911479,0.07936277569028367,0.42843745600263344,0.9707614889165227,0.9925887368470945,0.9611565664858692,0.48457233777914765,0.941153701793356,0.13242338805813939,0.11795911852765971,0.9124568209124352,0.9609902301794006
10,,"ב""כ המאשימה הוסיף וציין, כי מדובר בנשק אוטומטי שהשימוש בו עלול להוביל לפגיעה רחבת היקף.",,0.000652124550874508,0.007070565358164024,0.358878729471547,0.14672748741657052,0.23709443547934672,,,,,,,,,,,,
11,,"ב""כ המאשימה הדגיש, כי עבירות בנשק נעשו נפוצות בחברתנו וטען, לפיכך, כי שומה על בית המשפט להכביד בענישה של מבצעי העבירות במטרה למגר רעה מסוכנת זו, המאיימת על שלום הציבור כולו.",,0.9995026453358855,,,,,,,,,,,,,,,,
12,,"ב""כ המאשימה הוסיף והדגיש את הסיכון הרב הטמון במקרים בהם הנשק עשוי להגיע לידי ידיים בלתי מיומנות או לגורמים עוינים.",,0.9899453026223434,,,,,,,,,,,,,,,,
13,,"ב""כ המאשימה טען, כי רמת הענישה הנוהגת הינה, בהתאם לפסיקת בתי המשפט, רק שיקול אחד בקביעת מתחם העונש ההולם,  וכן הבהיר כי המאשימה סבורה שיש להחמיר בענישה הנוהגת כלפי מבצעי העבירות בנשק.",,0.9993477779624346,,,,,,,,,,,,,,,,
14,,"באשר לנסיבות ביצוע העבירה, ציין ב""כ המאשימה את חלקו הבלעדי של הנאשם בביצועה, תוך ששב והדגיש את הנזק והסיכון הטמונים בעבירה בנשק.",,0.999461146917639,,,,,,,,,,,,,,,,
15,,"ב""כ המאשימה טען, כי לנאשם לא הייתה כל סיבה לבצע את העבירה, ובכל עת היה ביכולתו להבין את אשר הוא עושה ואת הפסול שבמעשיו ולהימנע מביצוע העבירה.",,0.0010588465625167042,0.009749028844847341,0.3782112620579796,0.0285597867431442,0.6677630185890242,0.9747563728484862,0.482312703371408,,,,,,,,,,
16,,"באשר לנסיבות שאינן קשורות בביצוע העבירה, ציין ב""כ המאשימה כי לחובתו של הנאשם עבר פלילי מכביד במיוחד, הכולל 28 הרשעות במגוון רחב של עבירות.",,0.0028692463867355197,0.006165068499497989,0.700838125770123,0.016302473641671346,0.663981902744499,0.47247687764150076,0.008118254474461245,,,,,,,,,,
17,,"הוטעם בנקודה זו, כי  הנאשם ריצה בעבר עונשי מאסר, וכן צוין כי הנאשם הורשע, בשנת 1985, בעבירה של החזקת נשק שלא כדין בגינה נדון לעונש של 3 שנות מאסר.",,0.008550025381974791,0.01755207640632553,0.27787197737453423,0.010105302215584111,0.4055952687873119,,,,,,,,,,,,
18,,"לפיכך, בהתחשב בערך החברתי שנפגע מביצוע העבירה ולאור נסיבות ביצוע העבירה ומדיניות הענישה הנוהגת במקרים דומים, סבורה המאשימה, כי מתחם העונש ההולם בתיק זה נע בין 2.5 – 4.5 שנות מאסר לריצוי בפועל, זאת לצד מאסר מותנה.",,0.002146185982600481,0.008723120072410356,0.013750133710277862,0.004090325207003734,0.2393041913274603,,,,,,,,,,,,
19,,"בהינתן עברו הפלילי המכביד של הנאשם, עותרת המאשימה כי בית המשפט ישית על הנאשם עונש המצוי ברף העליון של המתחם הנ""ל.",,0.0007396941961265192,0.007881758719864825,0.17210265579457482,0.003473146377465144,0.3108755854142508,,,,,,,,,,,,
20,,"במסגרת ראיות ההגנה לעונש, הוגש כאמור, הדיסק נ/1 וכן תמונה הממחישה את מיקום ביתו של הנאשם ואת מקום עמידת השוטר בעת הרלוונטית, כאשר הבחין בנאשם אוחז בתיק ובתוכו הנשק (ראו: נ/2).",,0.08912129163545059,0.016019866682114147,0.2188742693096272,0.8827646362852706,0.4354864642246896,,,0.18177935028643472,0.6899013238214663,0.6401008779739344,0.6387328710076218,0.37975590033717327,0.6926930063149815,0.052524408803463915,0.04281768724618447,0.31925968009172745,0.5980125906747148
21,,"כאן אציין, כי אין חולק שהנאשם נשא את הנשק מטרים ספורים בלבד.",,4.24986030037126e-05,0.009052591729574478,0.3379752045484966,0.7203969338620283,0.12526367370096003,,,0.21743281604970885,0.7034735100663909,0.8326088993484709,0.8500522807758608,0.6042537930524945,0.8536341970833109,0.12104296820031761,0.08092840972637211,0.39066743138507926,0.6639869084843091
22,,"כמו כן, במסגרת ראיות ההגנה לעונש, העיד בפניי אחיו של הנאשם,  נעים מסארוה (להלן: נעים).",,0.0022406336212139194,0.01855646910295308,0.30031974116632953,0.18373504980914843,0.5969115407371387,0.667738177746766,0.07509480479270322,,,,,,,,,,
23,,"נעים סיפר כי החליט לשקם את הנאשם, ולפיכך בכוונתו להעניק לנאשם קורת גג בבניין בו מתגורר בנו ולהעסיקו בעסק המשפחתי.",,0.014948518288462657,0.011965306678102505,0.9836914697074216,0.47255681883442163,0.6296971861215777,0.32669540035294575,0.08637447543807085,,,,,,,,,,
24,,"מר נעים הבהיר  כי זו ההזדמנות האחרונה לשיקום, הניתנת לנאשם ע""י בני משפחתו.",,0.00047217694998197415,0.017402116731633294,0.9015456070879695,0.16836460769176662,0.13387055515000706,,,,,,,,,,,,
25,,"במסגרת טיעוני ההגנה לעונש, ציין הסנגור המלומד כי הנאשם בן 56, גרוש ואב לשני ילדים בני 9 ו-17.",,0.0029908952344863274,0.010134746710213128,0.6744503616810688,0.2051305614741323,0.28509728284729596,,,,,,,,,,,,
26,,"הסנגור ציין בנקודה זו, כי בנו הצעיר של הנאשם חולה מאד, וכי הקשר ההדוק בין הנאשם לבין בנו נותק, מפאת מעצרו של הנאשם.",,0.0024346197102251828,0.01165375587858423,0.9272719833274339,0.475328219739375,0.5841333822162244,0.422009657529864,0.017993052881231514,,,,,,,,,,
27,,"הסנגור ציין, כי הנאשם נעצר ביום 17.8.16 וכן הדגיש את הסכמת הנאשם להישאר נתון במעצר עד תום ההליכים בעניינו.",,0.0007234907958622415,0.07102555891551934,0.17690119457390663,0.06240086167368419,0.6431754248704925,0.11352339764660967,0.02562492406443063,,,,,,,,,,
28,,"הסנגור הוסיף וציין את לקיחת האחריות ע""י הנאשם ואת הודאתו בהזדמנות הראשונה לאחר תיקונו של כתב האישום, באופן שהביא למחיקת העבירה של החזקת נשק שלא כדין.",,0.002269516805421759,0.019355216990789816,0.02348231524210103,0.016997523524481684,0.9519196405526402,0.9309936618875855,0.17973896499795547,,,,,,,,,,
29,,"באשר לנסיבות ביצוע העבירה, הפנה הסנגור לדיסק נ/1,  בציינו כי צפייה בדיסק הנ""ל מלמדת כי הנאשם נעצר ממש סמוך לביתו, כך שמדובר, לדידו, בעבירה של נשיאה והובלת נשק למרחק קצר מאוד, אשר מצויה ברף הנמוך של עבירות מסוג זה , והקרובה יותר בנסיבותיה לעבירה של החזקת נשק.",,0.0011523422984952467,0.013944035212640517,0.4115991835525677,0.3291001744841856,0.7673716850692771,0.30236229585037433,0.14683621893439575,,,,,,,,,,
30,,"הסנגור הוסיף וטען כי הענישה היא אינדיבידואלית, תוך שהדגיש את דבריו של נעים באשר לתמיכה שמקבל הנאשם מבני משפחתו.",,0.0012736822082280485,0.005979874543238174,0.666152726978884,0.09622731089082134,0.4726356194852173,,,,,,,,,,,,
31,,"הסנגור הבהיר כי כיום הנאשם מבין שאם ישוב לסורו, תחדל משפחתו לתמוך בו.",,0.015746897012080666,0.009941520670193887,0.9508055133402515,0.14501723225954963,0.5129755791615479,0.5472188270882895,0.09360133179146103,,,,,,,,,,
32,,"באשר למתחם העונש ההולם, ביקש הסנגור שלא לאמץ את מתחם העונש שהוצע ע""י המאשימה, וטען כי ההגנה סבורה שמתחם העונש ההולם, בנסיבותיו של תיק זה, נע בין 36-10 חודשי מאסר בפועל.",,0.008779051116590627,0.004615587219262823,0.04780589681222031,0.006911751901847615,0.14839696433767327,,,,,,,,,,,,
33,,"לתמיכה בעמדתה העונשית של ההגנה, הגיש הסנגור פסיקה (נ/3).",,0.999590695891107,,,,,,,,,,,,,,,,
34,,"הסנגור הוסיף וטען, כי יש להשית על הנאשם עונש ברף התחתון של המתחם הנ""ל, תוך מתן הדעת לכך שעברו הפלילי המכביד, כפי הנראה, ימנע ממנו חופשות במהלך מאסרו או ניכוי שליש ממאסרו.",,0.020683500166309713,0.013866159179622126,0.23052277459587245,0.006221992031400724,0.5187546164959628,0.2130766512323483,0.2351647933104619,,,,,,,,,,
35,,"הנאשם, בדבריו בפניי, הביע סליחה וצער על מעשיו שהסבו סבל לילדיו וביקש את רחמיו של בית המשפט בגזירת דינו.",,0.009207460104451259,0.009779794872524457,0.665920783841288,0.07379921003073427,0.44719826736573987,,,,,,,,,,,,
36,,"תיקון מס' 113 מתווה את העיקרון המנחה כיום את ביהמ""ש בבואו לגזור דינו של נאשם, שהינו, לפי סעיף 40 ב לחוק העונשין, עיקרון ההלימה, לפיו צריך להתקיים יחס הולם בין חומרת מעשה העבירה בנסיבותיו ומידת אשמו של הנאשם לבין סוג ומידת העונש המוטל עליו.",,0.9997884239964234,,,,,,,,,,,,,,,,
37,,"יחס זה מבטא, למעשה, את עיקרון הגמול (ראו: ע.פ. 1523/10 פלוני נ' מדינת ישראל, 18/4/12).",,0.9996441570773484,,,,,,,,,,,,,,,,
38,,"סעיף 40 ג' לחוק העונשין קובע, כי על ביהמ""ש לקבוע מתחם עונש הולם למעשה העבירה שביצע הנאשם, בהתאם לעיקרון המנחה הנ""ל.",,0.9998333289429113,,,,,,,,,,,,,,,,
39,,"לשם כך, יתחשב ביהמ""ש בערך החברתי שנפגע מביצוע העבירה, במידת הפגיעה בו, במדיניות הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירה, הכלולות בסעיף 40 ט' לחוק העונשין.",,0.9995351460496352,,,,,,,,,,,,,,,,
