text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION
"חוק העונשין, תשל""ז-1977: סע'  144(א), 40 יג",1.5181947e-05,5.116685e-06,9.491833e-06,5.3784523e-05,6.4115247e-06,6.476358e-06,6.4857595e-06,5.0684725e-05,1.9342888e-05,1.9508574e-05,0.00019995093,6.875723e-05,0.00034989012,2.7198064e-06
"הנאשם הורשע על פי הודאתו ובמסגרת הסדר טיעון בהחזקת נשק שלא כדין, עבירה לפי סעיף 144(א) רישא וסיפא לחוק העונשין, תשל""ז-1977 (להלן: ""החוק"").",8.88208e-06,5.112022e-06,9.363081e-06,5.5727764e-05,4.7126205e-06,1.1491517e-05,1.4840846e-05,0.0075424667,1.848589e-05,8.577533e-05,0.00020263212,7.255511e-05,0.00027066102,0.999998
בהסדר הטיעון שנכרת בין הצדדים הוסכם שהנאשם יודה ויורשע בכתב האישום.,9.11066e-06,5.218448e-06,9.509057e-06,3.0015948e-05,4.7403055e-06,8.786307e-06,8.671167e-06,2.3484661e-05,2.1329344e-05,1.7253244e-05,0.00056873437,7.998733e-05,0.0023223315,0.9999974
"עוד הוסכם שההגנה תטען שהנאשם מצא אקדח ומחסנית ריקה בבית אחיו שנרצח, חשש שילדיו הקטנים של האח ישחקו באקדח, פחד לדווח למשטרה, ועל כן לקח את האקדח והמחסנית לביתו, והמאשימה לא תביא ראיות לסתור עובדות אלה.",8.17091e-06,0.9999784,0.9999962,0.9999951,0.9999839,0.99991417,0.9998976,0.9987306,0.9999963,0.9999106,0.9714954,0.0011075225,0.030706126,0.0001327163
"אשר לעונש, הוסכם שהצדדים יטענו באופן חופשי.",1.1497624e-05,5.4468474e-06,9.672814e-06,3.219172e-05,3.9339084e-06,9.918934e-06,9.8765895e-06,1.72877e-05,1.9505895e-05,1.6501956e-05,0.0010736397,8.203103e-05,0.00045223633,2.7461044e-06
"על פי עובדות כתב האישום, מספר ימים עובר ליום 27.03.2019, החל ממועד שאינו ידוע במדויק, החזיק הנאשם בביתו אקדח מסוג CARRERA בקוטר 9 מ""מ (להלן: ""האקדח""), וכן, מחסנית ריקה.",8.9409405e-06,5.191544e-06,0.9999962,0.9999963,0.9999844,3.309241e-05,0.99996006,0.9999635,0.9999964,0.999974,0.00025712777,0.00012833145,0.00019369352,3.369155e-06
"ביום 27.03.2019, בעת חיפוש שנערך בביתו של הנאשם, נמצאו האקדח והמחסנית מוסלקים בתוך כובע גרב בחדר השינה בביתו.",7.682222e-06,5.1611846e-06,0.9999962,0.9999964,0.9999882,0.013302359,0.9999584,0.99993277,0.9999968,0.9999633,0.0013025898,9.367772e-05,0.0003842159,3.2087385e-06
תסקיר שירות המבחן הוגש ביום 05.07.2020 כדי לשמור על צנעת הפרט של הנאשם אפרט את עיקרי הדברים בלבד.,9.04359e-06,5.182581e-06,9.333725e-06,5.228716e-05,4.018228e-06,7.735048e-06,1.2104982e-05,2.222941e-05,1.799824e-05,1.542991e-05,0.00042136616,0.000108423796,0.0006728089,3.1522745e-06
"התסקיר סוקר את הרקע האישי, המשפחתי, והתעסוקתי של הנאשם.",1.1098776e-05,0.99997866,9.626855e-06,4.144912e-05,4.6613745e-06,9.345561e-06,1.3563163e-05,5.518155e-05,1.9316341e-05,1.6705373e-05,0.000672773,0.00016344085,0.006809763,3.4712198e-06
"הנאשם בן 34, נשוי ואב ל-3 ילדים בגילים 8-5, עובד כמכונאי רכב ומתגורר עם משפחתו בכפר ג'בל מוכבר בירושלים.",7.8071425e-06,0.999979,9.2813e-06,5.1972136e-05,1.6781281e-05,1.5534917e-05,0.0004509376,0.00038848846,2.0387377e-05,0.00011683242,0.00050277985,0.000112988026,0.0022656065,3.0129747e-06
הנאשם נולד וגדל בשכונת בית חנינא בירושלים.,8.373377e-06,0.9999788,9.735225e-06,4.7695245e-05,4.7468243e-06,1.758102e-05,3.2356078e-05,0.00019868788,2.1748612e-05,4.722852e-05,0.0011704408,8.302513e-05,0.0006049676,2.4942149e-06
הוא נשר מלימודיו בגיל 16 והחל לעבוד במוסך.,8.259677e-06,0.9999788,9.697114e-06,4.6625508e-05,6.235707e-06,1.6225014e-05,0.0015765664,0.08090611,2.707284e-05,3.873192e-05,0.00083702855,6.63061e-05,0.0013906658,2.6560524e-06
