text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"הנאשם הורשע בהתאם להודאתו בכתב אישום מתוקן במסגרת הסדר, בביצוע עבירות של גידול סם מסוכן לפי סעיף 6 לפקודת הסמים המסוכנים (נוסח חדש), תשל""ג -1973 (להלן: ""הפקודה"").",,,,,,,,,,,['כן'],,,
"בהתאם למתואר בכתב האישום המתוקן, החל מתאריך 27.3.19 שכר הנאשם דירת 3 חדרים, ברחוב יוסף ספיר 25 בפתח תקווה.",,,,,,,,,,,,,,
"עובר לתאריך 22.10.19 ובמועד שאינו ידוע במדויק למאשימה הקים הנאשם מעבדה בשני חדרים שיועדו לכך בדירה ובה סמים מסוכנים מסוג קנאביס באופן הבא: 0.65 גרם מסוכן מסוג קנבוס בארון שהיה בחדר הדירה, 62 שתילי סם במשקל של 10.15 ק""ג מסוג קנבוס באחד מחדרי הדירה ו-118 שתילי סם מסוכן במשקל 13.7 ק""ג מסוג קנבוס באחד חדרי הדירה.",,,,,['קנביס'],"['[13.7 - ק""ג], [10.15 - ק""ג], [0.65 - גרם]']",,['לא'],,,,,,
"במסגרת הסדר דיוני, הודה הנאשם בכתב אישום מתוקן ונשלח לקבלת תסקיר שירות המבחן, ללא הסכמות בין הצדדים בכל הנוגע לעונש.",,,,,,,,,,,['כן'],,,
"התסקיר הראשון שהתקבל לדיון שהתקיים ביום 28.2.21 מתאר כי הנאשם בן 24, נשוי ומתפרנס למחייתו כטכנאי מזגנים מזה כ-4 שנים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,
"נעדר הרשעות קודמות ולא תלויים ועומדים נגדו תיקי מב""ד נוספים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,,,
"לוקח אחריות ומביע חרטה על ביצוע העבירות, לדבריו ביצע אותן על רקע תחושת ייאוש מקשייו הכלכליים ומתוך רצון לצמצם הוצאותיו על הסמים, תוך שהתקשה להבין את חומרת מעשיו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,['כן'],['כן'],,,,
במהלך תקופת האבחון הופנה לביצוע בדיקות שתן.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"רק לאחר ששמע הנאשם את הערות בית המשפט, הביע נכונות להירתם להליך הטיפולי ונשלח לקבלת תסקיר משלים.",,,,,,,,,,,,,,
התסקיר שהתקבל לדיון שהתקיים ביום 30.4.21 מתאר כי הנאשם ביטא תובנה ראשונית באשר לנזקקותו הטיפולית וביטא הסכמתו להשתלב בטיפול.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הופנה ליחידה להתמכרויות ואף הגיע לפגישת אבחון ביחידה וכעת נמצא ברשימת המתנה לטיפול.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
במהלך תקופת הדחייה מסר בדיקות שתן אשר נמצאו נקיות מסמים.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
התסקיר האחרון שהתקבל לדיון שהתקיים ביום 2.1.22 מתאר כי מדיווח שהתקבל מגורמי הטיפול נמסר כי הנאשם השתלב במסגרת טיפולית הכוללת טיפול פרטני חד שבועי ומסירת בדיקות שתן אחת לשבוע.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
