text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"בכתב האישום שהוגש בתיק זה הואשם הנאשם בכך, שבמהלך חודש אוגוסט 2008, בעת שעבד כרתך במפעל אם.",,,,,,,,,,,,,,,,,,,,,
"הנאשם החזיק את הנשק בביתו, ללא רשות על פי דין, עד ליום 15/8/11, שאז נתפס הנשק בחיפוש שערכה משטרת ישראל בביתו.",,,,,,,,,,,['בבית'],,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",[],,,,,
"כן מואשם הנאשם בכך, שבתאריך 11/8/11, במהלך חתונה בכפר פסוטה, הוא ירה מנשק חם, אותו החזיק ללא רשות על פי דין וזאת  - באזור מגורים וללא הסבר סביר.",,,,,,,,[],,,,,,['ירי'],,[],,,,,
"לאחר שמיעת ראיות התביעה וכן שמיעת עדותו של הנאשם ולאחר שהנאשם חזר בו מכוונתו להביא מומחה מטעמו, הודה הנאשם במיוחס לו בכתב האישום ובביצוע העבירות בהן הואשם, והורשע על פי הודאתו.",,,,,['כן'],,,,,,,,,,,,,,,,
"מתסקיר שירות המבחן, לענין העונש עולה, כי הנאשם הינו בן 38, רווק, ללא עבר פלילי, אדם חיובי, אשר עובד וחי חיים נורמטיביים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
הוא אף נטל אחריות לביצוע העבירה והביע חרטה.,,,,,['כן'],,,,,,,,,,,,,,,,
"בגיל 18 כבר קיבל הנאשם רישיון לנשק, אולם בשנת 2011, עקב מחלת אביו, שנפטר בשנה זו ממחלת הסרטן, שכח לחדש את הרישיון.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : כן', '11 : לא']",,,,,,,,,,,,,,,,,,
"שירות המבחן התרשם, כי מעצרו וההליך הפלילי מהווים עבורו גורם מזעזע ומרתיע.",,,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"לדעת שירות המבחן, הנאשם מסוגל להפיק לקחים מההליך, על משמעויותיו, ולתפקד באורח נורמטיבי בכוחות עצמו ואין הוא זקוק להליך טיפולי.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,,,,
"לפיכך, המליץ שירות המבחן להטיל על הנאשם עבודות של""צ בהיקף של 300 שעות וכן התחייבות כספית גבוהה ומאסר על תנאי משמעותי, לתקופה ארוכה.",,,,,,,,,,,,,,,,,,,,,
"כן הפנה ב""כ המאשימה לפסיקה, בה נגזרו עונשי מאסר של שנתיים ימים, על עבירות של אחזקת נשק וירי.",,,,,,,,,,,,,,,,,,,[],[],[]
"לטענתו, מתחם העונש ההולם, בנסיבות דנן, לגבי כל העבירות גם יחד, הוא בין 12 ל- 36 חודשי מאסר בפועל.",,,,,,,,,,,,,,,,,,,[],[],[]
"הסנגור טוען, כי לא הייתה לנאשם כל כוונה להשתמש בנשק למטרה פלילית או זדונית כלשהי וכי, למעשה, הוא טרם עשה שימוש בנשק.",,,,,,,,[],,,,,,[],,,,,,,
"לדבריו, השימוש הראשון שנעשה בנשק, נעשה במעבדת הנשק במטה הארצי של המשטרה ועובדה היא, כפי שעולה מחוות דעת המומחה שהוגשה מטעם התביעה, כי לאחר הירי הראשון שבוצע נשברה ידית הדריכה ולא ניתן היה עוד לירות בנשק.",,,,,,,,,,,,,,['ירי'],"['נשק עם מחסנית בהכנס', 'תקול']",,,,,,
