text,CIR_PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"תקנות התעבורה, תשכ""א-1961 - לא מרובדות: סע'  26(4)",,,,,,,,,,,,,,
"הנאשם שלפניי הורשע על-פי הודאתו בעובדות שני כתבי אישום – האחד עניינו עבירות סמים (להלן – התיק העיקרי) (ת״פ 25307-08-16) והוא תוקן פעמיים, והשני עניינו עבירות תעבורה (להלן – תיק התעבורה) (פ״ל 4412-09-15) והוא תוקן פעם אחת.",,,,,,,,,,,['כן'],,,
אישום ראשון – באישום זה מיוחס לנאשם כי ביום 28.7.2016 החזיק סם קנבוס שלא לצריכה עצמית במשקל כולל של 98.42 גרם עפ״י החלוקה הבאה: במהלך חיפוש באופנועו נמצא סם שהיה מחולק למנות קטנות; בביתו נמצאו בחיפוש בביתו סמים בתפזורת שחלקם היו מחלוקים אף הם למנות קטנות וכן נמצא משקל דיגיטלי.,,,,,['קנביס (קנאביס)'],"['[100 - גרם], [98.42 - גרם]']",['[בעל הסמים]'],,,,,,,
"כמו כן נתפס סכום של 30,680 ש״ח.",,,,,,,,,,,,,,
בגין כך מואשם הנאשם ב-2 עבירות של החזקת סם שלא לצריכה עצמית לפי סעיף 7(א)+7(ג) רישא לפקודת הסמים המסוכנים [נוסח חדש] התשל״ג-1973 (להלן – ״הפקודה).,,,,,,,,,,,,,,
אישום שני – 10.4.2016: 1 גרם תמורת 100 ש״ח;,,,,,,['[1 - גרם]'],,,,,,,,
אישום שלישי – 1.5.2016: 1 גרם תמורת 100 ש״ח;,,,,,,['[1 - גרם]'],,,,,,,,
אישום חמישי – מועד לא ידוע: 1 גרם תמורת 100 ש״ח;,,,,,,,,,,,,,,
אישום שישי – מועד לא ידוע: 1 גרם תמורת 100 ש״ח;,,,,,,,,,,,,,,
אישום שביעי – מועד לא ידוע: 1 גרם תמורת 100 ש״ח;,,,,,,,,,,,,,,
אישום שמיני – 16.5.2016: 6 גרם תמורת 600 ש״ח;,,,,,,['[16.5 - גרם]'],,,,,,,,
אישום עשירי – יוני 2016: 1 גרם מורת 100 ש״ח;,,,,,,,,,,,,,,
אישום אחד-עשר – שבועיים לאחר יוני 2016: 1 גרם תמורת 100 ש״ח.,,,,,,,,,,,,,,
"הוא לא עמד במבחן השכרות, ונשיפתו למכשיר מדידה גילתה ריכוז של 305 מיקרוגרם אלכוהול, מעל המידה המותרת בחוק.",,,,,,,,,,,,,,
"הנאשם כבן 22, ללא רישום פלילי.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"מן התסקיר עולה, כי הנאשם אומץ על ידי דודתו בינקותו וגדל עמה ועם ילדיה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"מדובר במשפחה חרדית מרובת ילדים, ובסך הכל עולה תמונה משפחתית חמה וקשרים חזקים של הנאשם לאמו ולאחיו הבכור.",,"['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם למד במסגרות חרדיות ובתקופה מתקדמת יותר, ובשל קשיים, עבר ללמוד במסגרות מקלות יותר.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"בסופו של דבר, ולמרות גישה ביקורתית מצד סביבתו הקרובה, התגייס לצה״ל במסגרת תוכנית ״נצח יהודה״, והוא חווה את שירותו הצבאי כחוויה מעצימה וחיובית.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
הוא השתלב בתפקידי לחימה ופיקוד (הוצגו מסמכים ע״י הסניגורית).,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"למרבה הצער, במהלך מערכת ״צוק איתן״ בה השתתף כלוחם, איבד חברים קרובים לרבות חברו הקרוב ביותר, ומאז הוא נושא עמו טראומה קשה זו, וספק אם התגבר עליה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"הנאשם ביקש לדחות את סיום שירותו לצורך השתלבות בלימודים גבוהים, ובמקביל עבד כשליח ברשת מזון מהיר.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"אשר להתייחסותו לעבירות, שירות המבחן התרשם כי הנאשם הביע חרטה כנה והכאה על חטא, והוא חש בושה מעצם מעורבותו בפלילים.",,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,['כן'],['כן'],,,,
הוא הסביר את מעשיו כהיסחפות על רקע רצון להשתייכות חברתית.,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"שירות המבחן מתרשם, כי מדובר באיש צעיר שטרם השלים את תהליך עיצובו והתגברותו, והוא נושא עמו חוויות לא פשוטת הנוגעות להיותו מאומץ, לשירותו הצבאי הקשה לאובדן שנלווה לו, ולרצונו להתערות בחברה.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"על רקע זה החל לצרוך סמים ואלכוהול לאחר שחרורו, בהם מצא מפלט למכאוביו.",,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,
"שירות המבחן מעריך, כי משום שהנאשם טרם התגבר על הקשרים האישיים שתוארו, הדבר מהווה גורם מגביר סיכון.",,,,,,,,,,,,,,
"מאידך, נמצא כי גישתו של הנאשם למעשיו, נטילת האחריות ונכונותו לטיפול מהווים גורם מפחית סיכון.",,,,,,,,,,['כן'],,,,
