,verdict,text,part
0,SH-16-08-25307-HK-L,אדיר קורדובה (עציר),נ  ג  ד
2,SH-16-08-25307-HK-L,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג, 13, 19א, 36",הנאשם
3,SH-16-08-25307-HK-L,פקודת התעבורה [נוסח חדש]: סע'  62(3),הנאשם
4,SH-16-08-25307-HK-L,"חוק העונשין, תשל""ז-1977: סע'  275, 40ט׳, 40 י״א",הנאשם
5,SH-16-08-25307-HK-L,"תקנות התעבורה, תשכ""א-1961 - לא מרובדות: סע'  26(4)",הנאשם
10,SH-16-08-25307-HK-L,"הנאשם שלפניי הורשע על-פי הודאתו בעובדות שני כתבי אישום – האחד עניינו עבירות סמים (להלן – התיק העיקרי) (ת״פ 25307-08-16) והוא תוקן פעמיים, והשני עניינו עבירות תעבורה (להלן – תיק התעבורה) (פ״ל 4412-09-15) והוא תוקן פעם אחת.",הנאשם
11,SH-16-08-25307-HK-L,התיק העיקרי (ע״פ כתב האישום המתוקן בשנית),הנאשם
12,SH-16-08-25307-HK-L,אישום ראשון – באישום זה מיוחס לנאשם כי ביום 28.7.2016 החזיק סם קנבוס שלא לצריכה עצמית במשקל כולל של 98.42 גרם עפ״י החלוקה הבאה: במהלך חיפוש באופנועו נמצא סם שהיה מחולק למנות קטנות; בביתו נמצאו בחיפוש בביתו סמים בתפזורת שחלקם היו מחלוקים אף הם למנות קטנות וכן נמצא משקל דיגיטלי.,הנאשם
13,SH-16-08-25307-HK-L,"כמו כן נתפס סכום של 30,680 ש״ח.",הנאשם
14,SH-16-08-25307-HK-L,בגין כך מואשם הנאשם ב-2 עבירות של החזקת סם שלא לצריכה עצמית לפי סעיף 7(א)+7(ג) רישא לפקודת הסמים המסוכנים [נוסח חדש] התשל״ג-1973 (להלן – ״הפקודה).,הנאשם
15,SH-16-08-25307-HK-L,"מהאישום השני ועד לאישום האחד-עשר מואשם הנאשם בעבירות סחר בקנבוס לפי סעיף 13 + 19א לפקודה מול אנשים שונים, כאשר תיאום העסקות ותוכנן בוצע באמצעות הווטסאפ:",הנאשם
16,SH-16-08-25307-HK-L,אישום שני – 10.4.2016: 1 גרם תמורת 100 ש״ח;,הנאשם
17,SH-16-08-25307-HK-L,אישום שלישי – 1.5.2016: 1 גרם תמורת 100 ש״ח;,הנאשם
18,SH-16-08-25307-HK-L,אישום חמישי – מועד לא ידוע: 1 גרם תמורת 100 ש״ח;,הנאשם
19,SH-16-08-25307-HK-L,אישום שישי – מועד לא ידוע: 1 גרם תמורת 100 ש״ח;,הנאשם
20,SH-16-08-25307-HK-L,אישום שביעי – מועד לא ידוע: 1 גרם תמורת 100 ש״ח;,הנאשם
21,SH-16-08-25307-HK-L,אישום שמיני – 16.5.2016: 6 גרם תמורת 600 ש״ח;,הנאשם
22,SH-16-08-25307-HK-L,אישום עשירי – יוני 2016: 1 גרם מורת 100 ש״ח;,הנאשם
23,SH-16-08-25307-HK-L,אישום אחד-עשר – שבועיים לאחר יוני 2016: 1 גרם תמורת 100 ש״ח.,הנאשם
24,SH-16-08-25307-HK-L,"בתיק זה מואשם הנאשם כי ביום 3.7.2015 בשעת לילה מאוחרת הוא נתפס לאחר שאיבד שליטה על אופנועו, ונפל ממנו כשהוא במצב של שכרות, כשנודף מפיו ריח אלכוהול.",תיק התעבורה
25,SH-16-08-25307-HK-L,"הוא לא עמד במבחן השכרות, ונשיפתו למכשיר מדידה גילתה ריכוז של 305 מיקרוגרם אלכוהול, מעל המידה המותרת בחוק.",תיק התעבורה
26,SH-16-08-25307-HK-L,"הנאשם גם התעמת עם שוטרי, דחף אחד מהם ואיים על אחר.",תיק התעבורה
27,SH-16-08-25307-HK-L,כמו כן התחזה לשוטר.,תיק התעבורה
28,SH-16-08-25307-HK-L,"בגין אירוע זה מואשם הנאשם בעבירות של נהיגה בשכרות לפי סעיף 62(3) לפקודת התעבורה [נוסח משולב], תשכ״א-1961; הפרעה לשוטר במילוי תפקידו לפי סעיף 275 לחוק העונשין, התשל״ז-1977 (להלן – החוק) וחוסר שליטה ברכב, לפי תקנה 26(4) לתקנות התעבורה, התשכ״א-1961.",תיק התעבורה
29,SH-16-08-25307-HK-L,בעניינו של הנאשם הוגש תסקיר לעונש.,תסקיר שירות המבחן
30,SH-16-08-25307-HK-L,"כבר אציין, כי מדובר בתסקיר מעמיק ויסודי.",תסקיר שירות המבחן
31,SH-16-08-25307-HK-L,"הנאשם כבן 22, ללא רישום פלילי.",תסקיר שירות המבחן
