,verdict,text,part
0,sh-10-05-7434-952,"ב""כ המאשימה , מתמחה, מר גיל ויינשטיין – פמת""א",איגור סובובסקי
1,sh-10-05-7434-952,"ב""כ הנאשם, עו""ד  עין צבי  – סנגוריה ציבורית",איגור סובובסקי
2,sh-10-05-7434-952,"חוק העונשין, תשל""ז-1977: סע'  144(א)",איגור סובובסקי
3,sh-10-05-7434-952,"הנאשם, איגור בן סמיון סבובסקי, יליד 1961, הורשע ביום 17.6.10 על-פי הודייתו בכתב אישום המייחס לו שתי עבירות של החזקת נשק לפי סעיף 144(א) לחוק העונשין, תשל""ז-1977.",גזר דין
4,sh-10-05-7434-952,"לפי העובדות המפורטות בכתב האישום, ביום 14.4.10 נמצא מחזיק בדירתו ברחוב אורלנסקי 11 בפתח תקווה שני כלי נשק ללא רשות על פי דין: אקדח ""ברטה"" חצי אוטומטי ואקדח ""לאמה"" חצי אוטומטי (להלן: ""שני האקדחים"").",גזר דין
5,sh-10-05-7434-952,"משהודה – נתבקש תסקיר, ובו התייחסות לשאלת אי הרשעה.",גזר דין
6,sh-10-05-7434-952,"לפי תסקיר שירות המבחן למבוגרים ליום 4.1.11, הנאשם בן 50, נשוי ואב לבן כבן 17, יליד אוקראינה, עלה ארצה בשנת 1990 עם הוריו.",גזר דין
7,sh-10-05-7434-952,עובד כטכנאי רכב במוסך.,גזר דין
8,sh-10-05-7434-952,"סיים עשר שנות לימוד, עם תעודת בגרות מלאה, שירת בצבא הרוסי שירות מלא.",גזר דין
9,sh-10-05-7434-952,"בעבירות הודה, והסבירן על רקע אי הפעלת שיקול דעת.",גזר דין
10,sh-10-05-7434-952,"הסביר כי החזיק את כלי הנשק על רקע עיסוקו בקליעה, ותחביבו איסוף כלי נשק – רובם עתיקים, ומרביתם ברישיון.",גזר דין
11,sh-10-05-7434-952,"תיאר כי החזיק באקדחים על רקע הערך הסנטימנטלי שלהם, מבלי לקחת בחשבון כי עבר עבירה בכך.",גזר דין
12,sh-10-05-7434-952,"הביע חשש כי הרשעה תפגע ביכולתו להמשיך בעבודתו במוסך, והציג מכתב ממעבידו כי אם יורשע יחדל להעסיקו בתפקיד מפתח כאיש קשר ונציג שירות מול לקוחות המוסך וגורמים שונים, בשל היעדר ייצוגיות.",גזר דין
13,sh-10-05-7434-952,"קצינת המבחן התרשמה כי מתאפיין בדפוסי התנהגות נורמטיביים, כי בהליך המשפטי יש כדי להעמידו על חומרת העבירות, וכי הפיק לקחים.",גזר דין
14,sh-10-05-7434-952,"לפיכך באה המלצה שלא להרשיעו, ולהטיל צו של""צ בהיקף של 200 שעות, לפי תכנית שיגבש שירות המבחן.",גזר דין
15,sh-10-05-7434-952,"בטיעוניה לעונש עמדה ב""כ המאשימה על חומרת העבירה והמסוכנות הגלומה בה לציבור, נוכח החשש כי כלי נשק יגיעו לידי גורמים עברייניים ובהמשך ייפגעו חפים מפשע.",גזר דין
16,sh-10-05-7434-952,"עוד טענה כי מקום ואופן החזקת שני האקדחים מעיד על סכנה בהם, ותמכה טענתה בעובדה כי אקדח ה""ברטה"" נמצא כשהוא עטוף בניילון בתוך ארון מטבח מעל הכיור עם מחסנית בפנים, וכי אקדח  ה""לאמה"" נמצא בחדר השינה במגירת השידה הצמודה למיטה, כשמספרוֹ הסידורי מחוּק.",גזר דין
17,sh-10-05-7434-952,"עוד טענה כי מדובר בכלי נשק קטלניים, והגישה חוות דעת מומחה, לפיה אקדח ה""ברטה"" ואקדח ה""לאמה"" שנמצאו, פועלים ובכוחם להמית.",גזר דין
18,sh-10-05-7434-952,"לפי כל אלה, עתרה להותיר ההרשעה על כנה, ולהטיל עונש של מאסר בפועל, מאסר על תנאי וקנס.",גזר דין
19,sh-10-05-7434-952,"ב""כ הנאשם, עו""ד עין צבי ס""צ, טען לעניין אקדח ה""לאמה"", כי נמצא כשהוא מפורק, ללא קנה, הקת שבורה וחלקים ממנו נמצאו בכספת שבחדר השינה.",גזר דין
20,sh-10-05-7434-952,"עמד על היות הנאשם אספן כלי נשק, אשר רכש את שני האקדחים בשוק הפשפשים כפריטי אספנות עתיקים, שיוצרו בראשית המאה העשרים: אקדח ה""לאמה"" - בשנת 1919 ואקדח ה""ברטה"" - בשנת 1923, כשתחמושתהּ - הופסק ייצורהּ עוד בשנת 1947.",גזר דין
21,sh-10-05-7434-952,"עמד על היותו פעיל במועדוני קליעה בישראל, מזה כ-19 שנים, וכן בברית המועצות, טרם עלייתו, שם גם שירת בצבא והתנדב למשטרה.",גזר דין
22,sh-10-05-7434-952,"תיאר כי החזקת שני האקדחים ללא רישיון וללא שהשביתם, היתה חריגה יחסית לשישה כלי נשק אחרים שהחזיק ברישיון ולתריסר נוספים שהחזיק כמושבתים, ותמך דבריו באישורים מתאימים.",גזר דין
23,sh-10-05-7434-952,"עמד על שיתוף הפעולה עם המשטרה, על הסכמתו לביצוע החיפוש בביתו, בגדרו לא הסתיר דבר.",גזר דין
24,sh-10-05-7434-952,"עמד על הודייתו, על נטילת האחריות, החרטה וההודאה בטעות, על עברו הנקי ועל התנהגותו הנורמטיבית כעולה מהתסקיר.",גזר דין
25,sh-10-05-7434-952,הדגיש כי שני האקדחים אינם גנובים וכי לא נעשתה בהם פעילות עבריינית.,גזר דין
