,case,text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,RESPO,REGRET,CIR_USE,CIR_TYPE_WEP,CIR_STATUS_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_OBTAIN_WAY_WEP,CIR_MONEY_PAID_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,_HELD_WAY_WEP
0,m08000207-175,בית המשפט המחוזי בירושלים,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,m08000207-175,בית המשפט המחוזי בירושלים,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,m08000207-175,בית המשפט המחוזי בירושלים,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,m08000207-175,בית המשפט המחוזי בירושלים,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,m08000207-175,"ע""י ב""כ עו""ד יעל רוזנמן",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,m08000207-175,ליאור בלטי ת.ז. 021695309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,m08000207-175,ליאור בלטי ת.ז. 021695309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,m08000207-175,"ע""י ב""כ עו""ד טליה רם",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,m08000207-175,חוק-יסוד: השפיטה: סע'  6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,m08000207-175,"חוק העונשין, תשל""ז-1977: סע'  7(א), 144(ב)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,m08000207-175,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  (ג)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,m08000207-175,"* המקרה של מציאת נשק ואי מסירתו למשטרה, אינו משתבץ באופן מלא לאף אחת מהקטגוריות שנקבעו בעניין אבו מוך.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,m08000207-175,"בכל מקרה נראה, שיש להציב את המקרה במסגרת קבוצת הקטגוריות הפחות חמורה.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,m08000207-175,די בכך שהעונש שיוטל על הנאשם יהיה מאסר 6 חודשים בדרך של עבודות שירות.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,m08000207-175,* עונשין – עבירות – החזקת נשק שלא כדין,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,m08000207-175,* עונשין – ענישה – מדיניות ענישה: שיקולים,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,m08000207-175,"כדי להכריע בשאלת הענישה ההולמת את מי שעבר עבירה של החזקת נשק, מן הראוי לבדוק, תחילה, מהי מטרת החזקת הנשק, וזאת בהתאם לסיווג של קטגוריות החזקת הנשק שנקבעו לפני כמחצית יובל שנים ע""י כב' השופט גבריאל בך בעניין אבו מוך, שהקלה בהן היא החזקת כלי הנשק שפג תוקף רישיונו, והכבדה היא החזקת הנשק לשם ביצוע מעשים המיועדים לפגוע בביטחון המדינה או בביטחון הציבור.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,m08000207-175,"המקרה של מציאת נשק ואי מסירתו למשטרה, אינו משתבץ באופן מלא לאף אחת מן הקטגוריות שקבע השופט בך, אך בכל מקרה, אם מחלק השופט בך בין ארבעת הקטגוריות החמורות (שהצדיקו מעצר עד תום ההליכים), לבין ארבעת הקטגוריות האחרות, הרי שאת המקרה שבנדון יש להציב במסגרת קבוצת הקטגוריות הפחות חמורה.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,m08000207-175,"אכן, בכמה מקרים בעבר הוטלו עונשי מאסר בפועל בגין עבירות נשק, אך בכל מקרה היו נסיבות שונות מאלה שבנדון.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,m08000207-175,"בשקלול של כל הנתונים, הרי שבמקרה שבנדון, לאור העובדה כי הנאשם כבר היה במעצר כשלושה חודשים וחצי, די בכך שהעונש שיוטל עליו יהיה מאסר 6 חודשים בדרך של עבודות שירות.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,m08000207-175,עברו הפלילי של הנאשם אינו כולל כל אלימות או שימוש בנשק.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,m08000207-175,"מהתסקיר עולה שהנאשם הוא בחור צעיר שחווה משברים בחייו, והוא נמצא בבלבול סביב דרכו.",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
22,m08000207-175,"הנאשם עבד עד למעצרו בתפקיד אחראי, בניהול מסעדה המספקת גם ארוחות לבתי ספר.",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
23,m08000207-175,"המעביד שלו העיד וסיפר עד כמה הוא סומך עליו, ולכן ניתן להסיק כי הנאשם, מיסודו, הוא אדם חיובי ונורמטיבי.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,m08000207-175,אין מקום בנסיבות אלה להטיל עליו עונש מאסר נוסף.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,m08000207-175,"הובאו בחשבון גם דבריו של הנאשם וחרטתו, ונחה דעת ביהמ""ש כי הנאשם כי יפיק את הלקחים, ויש תקווה לאמונה כי לא יחזור יותר לכלא.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,m08000207-175,מהו העונש אשר מן הראוי להטיל על מי שביצע עבירה של נשיאת נשק?,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,m08000207-175,מהו המשקל שיש ליתן לנסיבות החזקת הנשק?,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,m08000207-175,"כיצד יש להביא בחשבון, במכלול השיקולים, את נסיבותיו האישיות של הנאשם?",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,m08000207-175,"סוגיה זו של גזירת העונש, היא לחם חוקו של כל שופט, אך בכל יום מחדש, עליו ללמוד את הנושא, להתייחס לעבירה הספציפית ולפסיקת בתי המשפט ביחס לענישה המקובלת בגינה, וכל זאת מבלי לשכוח את חובתו של השופט ""לשפוט משפט צדק, לא להטות משפט ולא להכיר פנים"", כפי שהצהיר אותו שופט בפני נשיא המדינה בעת הצהרת האמונים, כקבוע בסעיף 6 לחוק יסוד: השפיטה.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,m08000207-175,נגד הנאשם הוגש כתב אישום.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,m08000207-175,"בשלב מאוחר יותר, הוגש כתב אישום מתוקן, ובו הודה הנאשם, ולאור הודאתו הרשעתי אותו בעבירה (ראה הכרעת דין מיום ב אב תשס""ח (3.8.08)).",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,m08000207-175,"על פי כתב האישום המתוקן, נשא הנאשם ביום 12.7.08 בשעה 00:55 לערך, בעת שנהג ברכב, סמוך לצומת הערבה, אקדח בקוטר , כשבתוכו מחסנית ובה 15 כדורים, וכן מחסנית ובה כ-10 כדורים.",0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
33,m08000207-175,"בנוסף לכך, החזיק הנאשם באותו אירוע חשיש במשקל  נטו, לשימוש עצמי.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
34,m08000207-175,"הנאשם הורשע על פי הודאתו בשתי עבירות של נשיאת נשק, עבירה לפי סעיף 144(ב) לחוק העונשין, התשל""ז-1977, והחזקת סם לצריכה עצמית בלבד, עבירה לפי סעיף 7(א) + (ג) סיפא לפקודת הסמים המסוכנים, התשל""ג-1973 (ראה הכרעת דין מיום ב אב תשס""ח (3.8.08)).",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,m08000207-175,"במסגרת הדיונים בפניי, הוסכם כי יצורף לתיק זה כתב אישום שהוגש לבית משפט השלום, שבו יוחס לנאשם החזקת סם מסוכן מסוג חשיש, במשקל , ביום 25.6.07.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
