,verdict,text,part
0,ME-18-10-1118-920,אימן מגיס ת.ז. xxxxxxxxxx(עצור/אסיר בפיקוח),הנאשם
1,ME-18-10-1118-920,"חוק העונשין, תשל""ז-1977: סע'  29, 29(ב), 40ט(א)3), 51ג(ג), 144, 144(א), 144(ב), 192, 383, 384, 413ד', 499(א)(1), ב א'1",הנאשם
2,ME-18-10-1118-920,גזירת דינו של הנאשם בתיק זה איננה פשוטה.,כללי
3,ME-18-10-1118-920,העבירות שבעשייתן הורשע חמורות מאד.,כללי
4,ME-18-10-1118-920,גניבת כלי נשק אוטומטי מרשות הצבא תוך ניצול הפקרתו לרגע בידי חייל הוא מעשה חמור ומסוכן המחייב תגובה עונשית הולמת.,כללי
5,ME-18-10-1118-920,תגובה זו תכלול כדבר שבשגרה רכיב של מאסר לריצוי בין סורג ובריח לתקופה שאיננה קצרה.,כללי
6,ME-18-10-1118-920,"כלל ענישתי זה חל, כך על פי הנורמות העולות מפסיקת בית המשפט העליון, גם מקום בו נטל מבצע העבירות אחריות מלאה על המעשים, הודה באשמה והביע חרטה.",כללי
7,ME-18-10-1118-920,"אכן, חומרת המעשה, הסיכון הכרוך בו והצורך להרתיע את הרבים מפני ביצוע מעשים שכאלה מצדיקים מדיניות בלתי מתפשרת זו.",כללי
8,ME-18-10-1118-920,"דא עקא, שבעניינו של הנאשם שבפניי, אימן מגיס, ניכרים כמה מאפיינים יוצאי דופן, המחייבים בחינת השאלה, אם המדיניות המוצדקת והבלתי מתפשרת הנ""ל ראויה להיות מיושמת גם כאן באורח מלא או שמא האמור במקרה שבו נכון לסטות ממנה באורח חריג ויוצא דופן.",כללי
9,ME-18-10-1118-920,"כפי שיפורט בהרחבה להלן, מספר שיקולים, הן כאלה הנוגעים לחלקו של הנאשם בעשייה הפלילית הנבחנת כאן וחלקו בפעילות שהביאה לבסוף להחזרת הנשק לרשות הצבא, הן כאלה הנוגעים לנסיבותיו האישיות (רמתו האישית הנמוכה) והמשפחתיות (מצבה הרפואי הקשה של ביתו ומצבה הקשה של משפחתו הגרעיני בהעדרו) והן כאלה הנוגעים לכלל בדבר אחידות הענישה בפלילים, מאתגרים את הצדקת יישום המדיניות הנ""ל באורח דווקני על עניינו.",כללי
10,ME-18-10-1118-920,"ההתלבטות בדרך לפתרון הדילמה תישטח לפני קוראי גזר דין זה בהרחבה; לבסוף, תובא התוצאה העונשית עדיה באתי.",כללי
11,ME-18-10-1118-920,"תחילה , עם זאת, אעמוד על סעיפי הרשעתו של הנאשם ועובדותיה (כפי שהללו באו לביטוי בכתב האישום).",כללי
12,ME-18-10-1118-920,זו נקודת המוצא לדיון בשאלת גזירת הדין.,כללי
13,ME-18-10-1118-920,"הנאשם שלפניי הורשע, על בסיס הודאתו (לאחר שהותר לו לחזור מכפירתו), בעובדות אשר נכללו בכתב-אישום, אשר הוגש נגדו ביום 2.10.18.",כללי
14,ME-18-10-1118-920,"העבירות שבעשייתן הורשע הנאשם עניינן החזקת נשק, הובלתו ונשיאתו שלא כחוק, בניגוד לסעיפים 144(א) רישא וסיפא ו- 144(ב) וכן סעיף 29(ב) לחוק העונשין, התשל""ז-1977 (להלן: ""חוק העונשין או ""החוק"") וגניבה, בניגוד לסעיפים 383, 384 ו-29(ב) לחוק העונשין.",כללי
15,ME-18-10-1118-920,העובדות המסתתרות מאחורי סעיפי-האישום הן פשוטות –,עובדות ההרשעה והשתלשלות ההליך השיפוטי בדרך לגזירת הדין
16,ME-18-10-1118-920,"ביום 13.9.18 נערך תרגיל צבאי בכיכר שבכניסה ליישוב שומרה; בסמוך לשעה 15:20, נסעו הנאשם ואחיינו (להלן: ""ע.מ."" ) ברכב מזדה בסמוך למקום בו נערך התרגיל הנ""ל.",עובדות ההרשעה והשתלשלות ההליך השיפוטי בדרך לגזירת הדין
17,ME-18-10-1118-920,ע.מ.,עובדות ההרשעה והשתלשלות ההליך השיפוטי בדרך לגזירת הדין
18,ME-18-10-1118-920,"הבחין בנשק מסוג  M-16  מקוצר, ובתוכו מחסנית וכדורים כשהוא שעון על-גבי כלי-רכב צבאי.",עובדות ההרשעה והשתלשלות ההליך השיפוטי בדרך לגזירת הדין
20,ME-18-10-1118-920,הסב תשומת ליבו של הנאשם לקיומו של כלי-הנשק במקום והשניים החליטו לגנבו ולהימלט מהמקום.,עובדות ההרשעה והשתלשלות ההליך השיפוטי בדרך לגזירת הדין
