text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
אבראהים ח'ורי ת.ז. xxxxxxxxxx(עצור),,,,,,,,,,,,,,,,,
נאסר מועדי ת.ז.,,,,,,,,,,,,,,,,,
xxxxxxxxx– דינו נגזר,,,,,,,,,,,,,,,,,
הראל המר ת.ז. xxxxxxxxxx(עצור),,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  31, 32, 40ט, 144(א), 144(ב), 144(ב2), 144(ג), 262, 40יא",,,,,,,,,,,,,,,,,
"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג",,,,,,,,,,,,,,,,,
"הנאשמים 1 ו-3 (להלן: הנאשמים), הורשעו על פי הודייתם בעובדות כתב אישום אשר תוקן במסגרת הסדר טיעון, בגין עבירות כדלהלן:",,,,,,,,,,,,,,['כן'],,,
"נאשם 1, יליד 87', הורשע בשתי עבירות של נשיאת והובלת נשק - לפי סעיפים 144(ב) (רישא)+144(ג) לחוק העונשין, תשל""ז – 1977 (להלן: חוק העונשין); שלוש עבירות של סחר בנשק שלא כדין - לפי סעיפים 144(ב2)+144(ג) לחוק העונשין, והחזקת נשק שלא כדין - לפי סעיפים 144(א) (רישא)+144(ג) לחוק העונשין.",,,,,,,,,,,,,,,,,
"נאשם 3, יליד 90', הורשע בעבירה של סיוע לסחר בנשק שלא כדין - לפי סעיפים 144(ב2) +144(ג)+ 31+32 לחוק העונשין, והחזקת סם מסוכן שלא כדין לצריכה עצמית - לפי סעיף 7(א)+(ג) סיפא לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג – 1973 (להלן: פקודת הסמים המסוכנים).",,,,,,,,,,,,,,,,,
עובדות כתב האישום המתוקן בתמצית,,,,,,,,,,,,,,,,,
"במועדים הרלוונטיים, הופעל אדהם סאלם בשליחות משטרת ישראל, ורכש בהוראתה, באישורה ובכספה כלי נשק, תחמושת וסמים באופן המתואר להלן (להלן: הסוכן).",,,,,,,,['מאחר'],,,,,,,,,
אישום ראשון (מיוחס לנאשם 1),,,,,,,,,,,,,,,,,
"בתאריך 24/1/15 שוחחו הסוכן ונאשם 1, וסוכם ביניהם כי נאשם 1 ימכור לסוכן רימון רסס 26, שבכוחו להמית אדם והינו נשק כהגדרתו בחוק, תמורת סך של 4,500 ₪ (להלן: הרימון ועסקת הרימון, בהתאמה).",,,,,,,,,['רימון רסס'],[],,,,,,,
"למחרת – 25/1/15, שוחחו השניים בטלפון מספר פעמים, וסיכמו להיפגש באותו היום בכפר יאסיף (להלן: הכפר), לצורך ביצוע עסקת הרימון.",,,,,,,,,['רימון רסס'],,,,,,,,
"בהמשך, בשעה 18:30 לערך, הגיע הסוכן במונית לכפר, ופגש בנאשם 1, שהגיע באמצעות רכב מסוג פולקסווגן, מ.ר. 37-633-60 (להלן: הרכב), ואשר אמר לסוכן שיכנס לרכב ויסע עמו.",,,,,,,,,,,,,,,,,
