verdict,text,part_single,part_concatenated
SH-22-09-6999-580,"אחמד קאסם (עציר) ע""י ב""כ עוה""ד מיכאל עירוני",הנאשם,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם"
SH-22-09-6999-580,"אחמד קאסם (עציר) ע""י ב""כ עוה""ד מיכאל עירוני",הנאשם,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם"
SH-22-09-6999-580,"אחמד קאסם (עציר) ע""י ב""כ עוה""ד מיכאל עירוני",הנאשם,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם"
SH-22-09-6999-580,"חוק העונשין, תשל""ז-1977: סע'  144, 144 (א), 144(ב)",הנאשם,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם"
SH-22-09-6999-580,"הנאשם הורשע על פי הודאתו בעבירות של החזקת חלק של נשק או תחמושת, לפי סעיף 144 (א) לחוק העונשין, תשל""ז 1977 (להלן: ""חוק העונשין"") ונשיאה/הובלת חלק של נשק או תחמושת, לפי סעיף 144(ב) לחוק העונשין.",כתב האישום:,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם, גזר דין, כתב האישום:"
SH-22-09-6999-580,"על פי הנטען בכתב האישום ביום 28.8.2022, בשעה 00:20 לערך, נהג הנאשם ברכב מסוג קיה ספורטג' נושא לוחית רישוי מספר 13-608-201 אל עבר מעבר הל""ה בדרכו לשטחי האזור, כל זאת כאשר הוא נושא מתחת למושב הנהג ברכב שקית ובה 6 מכלולים של נשק מסוגM16  .",כתב האישום:,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם, גזר דין, כתב האישום:"
SH-22-09-6999-580,"בנוסף בתא המטען של הרכב נשא הנאשם שבעה ארגזי תחמושת וארגז קרטון אשר הכילו יחדיו כ-9000 כדורים בקוטר 5.56 מ""מ אשר היו מכוסים ומוסתרים.",כתב האישום:,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם, גזר דין, כתב האישום:"
SH-22-09-6999-580,"המאשימה בטיעוניה לעונש הפנתה לניבות האירוע והחומרה המשתקפת מהמעשים, עת מחזיק הנאשם ב-6 מכלולים של נשק מסוג M16 וב-9000 כדורים בקוטר 5.56 מ""מ.",תמצית טיעוני הצדדים:,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם, גזר דין, כתב האישום:, תמצית טיעוני הצדדים:"
SH-22-09-6999-580,"צוין, כי במעשיו פגע הנאשם בערכים מוגנים הנוגעים בביטחון ושלום הציבור, ועשויים היו להוביל לערעור הסדר הציבורי והביטחוני.",תמצית טיעוני הצדדים:,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם, גזר דין, כתב האישום:, תמצית טיעוני הצדדים:"
SH-22-09-6999-580,"המאשימה הפנתה לפסיקה ממנה ביקשה לגזור בענייננו, מתחם עונש הולם החל מ-18 חודשים ועד 36 חודשים.",תמצית טיעוני הצדדים:,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם, גזר דין, כתב האישום:, תמצית טיעוני הצדדים:"
SH-22-09-6999-580,"המאשימה גם הפנתה להנחיית פרקליט המדינה בהקשר למדניות הענישה בעבירות נשק (מספר 9.16) -(להלן: ""הנחיית פרקליט המדינה""), וכן לרישומו הפלילי של הנאשם הכולל 5 הרשעות קודמות.",תמצית טיעוני הצדדים:,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם, גזר דין, כתב האישום:, תמצית טיעוני הצדדים:"
SH-22-09-6999-580,"את עונשו של הנאשם ביקשה לקבוע בחלקו העליון של המתחם, כך שיוטלו עליו 30 חודשי מאסר לצד ענישה נלווית.",תמצית טיעוני הצדדים:,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם, גזר דין, כתב האישום:, תמצית טיעוני הצדדים:"
SH-22-09-6999-580,"לדעת הסנגור, ככל וכתב האישום היה מוגש על ידי פרקליטות המחוז, ולא יחידת התביעות, כמי שמגישים על דרך הכלל כתבי אישום בעבירות מסוג זה, מתחם העונש לו הייתה עותרת המאשימה היה נקבע בין 6 חודשים ועד שנת מאסר לכל היותר.",תמצית טיעוני הצדדים:,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם, גזר דין, כתב האישום:, תמצית טיעוני הצדדים:"
SH-22-09-6999-580,"לביסוס טענה זו, הפנה הסנגור להנחיית פרקליט המדינה.",תמצית טיעוני הצדדים:,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם, גזר דין, כתב האישום:, תמצית טיעוני הצדדים:"
SH-22-09-6999-580,"לביסוס עמדתו הגיש הסנגור פסיקה תומכת, וכן אבחן את הפסיקה שהוגשה מטעם המאשימה.",תמצית טיעוני הצדדים:,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם, גזר דין, כתב האישום:, תמצית טיעוני הצדדים:"
SH-22-09-6999-580,"הסנגור הדגיש, כי אין לחובת הנאשם עבירה דומה ברישום, וחלק מהרשעותיו התיישנו.",תמצית טיעוני הצדדים:,"בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, בית משפט השלום בירושלים, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, כבוד השופט  ארנון איתן, המאשימה, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, מדינת ישראל ע""י יחידת תביעות מחוז ירושלים, נגד, נגד, נגד, נגד, הנאשם, גזר דין, כתב האישום:, תמצית טיעוני הצדדים:"
