text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"חוק העונשין, תשל""ז-1977: סע'  29, 144(ב), 192",,,,,,,,,,,,,,,,,
"מואייד עטר (להלן: ""הנאשם"") הורשע, על פי הודאתו במסגרת הסדר טיעון, בעבירה של נשיאה והובלה של נשק שלא כדין (לפי סעיף 144(ב) + 29 לחוק העונשין, התשל""ז – 1977) וכן בעבירת איומים (לפי סעיף 192 + סעיף 29 לחוק העונשין).",,,,,,,,,,,,,,['כן'],,,
"על פי האמור בכתב האישום, ביום 2.1.14 הנאשם, ביחד עם עומר מאדי (להלן: ""האחר"" או ""הנאשם הנוסף"") שהו במחציתם של שניים אחרים בשם רמי מוסלמני ועבד ג'מל, כאשר בשלב מסוים הנאשם ועבד ג'מל החלו להתקוטט, ולאחר מכן כולם עזבו את המקום.",,,,,,,,,,,,,,,,,
"בהמשך, הצטייד האחר באקדח, וביחד עם הנאשם הלכו יחדיו במטרה למצוא את עבד ג'מל ומקורביו.",,,,,,,,,['אקדח'],,,,,,,,
"הנאשם והאחר מצאו את עבד ג'מל, אשר שהה יחד עם אביו ואנשים נוספים ברחוב ז'בוטינסקי בעכו, וביניהם שהה גם ניקסון עבד אלקאדר (להלן: ""המנוח""), שהגיע למקום במטרה לגבש סולחה בין הצדדים.",,,,,,,,,,,,,,,,,
"בשלב זה, האחר שלף את אקדחו וכיוון את האקדח לעבר האנשים, שהחלו במנוסה משהבחינו בנשק.",,,,,[],,,[],['אקדח'],['ניסיון לירי'],,,,,,,
"האחר פתח לעברם בירי, וירה כ-17 כדורים לעברם.",,,,,,,,,['תת-מקלע (סוג של תת-מקלע)'],['ירי'],,,,,,,
"כדור אחד פגע בראשו של המנוח, וגרם למותו.",,,,,,,,,,['ירי'],,,,,,,
"לאחר מכן, נמלטו והנאשם והאחר מהמקום, ובמנוסתם, הבחינו באחיינו של המנוח, מוסא חטיב, ולבקשת הנאשם שייפגע במוסא, כיוון האחר את האקדח לעברו של מוסא ואיים עליו.",,,,,[],,,,['אקדח'],['ניסיון לירי'],,,,,,,
"יצוין כי תחילה הוגשו שני כתבי אישום נפרדים נגד הנאשם והאחר, לאחר מכן אוחד ההליך לנוכח זהות העדים, ולאחר שנשמעו מספר עדי תביעה, הודיעו הצדדים כי הגיעו להסדר טיעון שאינו כולל הסדר לעניין העונש, ולפיכך הופרד הליך בירור האישומים.",,,,,,,,,,,,,,,,,
עוד יצוין כי משפטו של הנאשם הנוסף נמצא בשלב של שמיעת הראיות.,,,,,,,,,,,,,,,,,
המאשימה טענה למתחם ענישה הנע בין שנתיים לארבע שנות מאסר בפועל.,,,,,,,,,,,,,,,,,
"לטענתה הנסיבות המשקפות את האירוע הן חמורות מאוד ונמצאות ברף החומרה הגבוה, הן לעניין הירי שבוצע לעבר קבוצה של אנשים הנמלטים על חייהם, והן לאיומים בעזרת ""אקדח מעשן"" על אדם שנתקלו בו, תוך שהנאשם מבקש מהאחר שיפגע בו.",,,,,,[],,,,"['ירי', 'ניסיון לירי']",,,,,,,
"כל אלו, לטענת המאשימה, מחייבים ענישה הולמת.",,,,,,,,,,,,,,,,,
"עוד נטען כי יש לבחון את מדיניות הענישה הראויה, ולא רק את הנהוגה, מאחר וייתכנו פערים ביניהן.",,,,,,,,,,,,,,,,,
"כך שגם אם מתחם הענישה לא משקף את הענישה הנוהגת, הוא משקף את הענישה הראויה.",,,,,,,,,,,,,,,,,
"בכל אופן, המתחם אליו טענה משקף נכונה את חומרת האירוע ונסיבותיו האישיות של הנאשם.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"ב""כ הנאשם ביקש להדגיש כי לנאשם לא יוחס שום חלק מאירוע הירי או מתוצאותיו, ולפיכך מדובר בעבירות המשקפות את היותו עד למעשים וידיעתו על הנשק שהיה ברשותו של הנאשם הנוסף.",,,,,,,,,,[],,,,,,,
"למעשה, כל העבירות המיוחסות לנאשם מתייחסות למעשים שנעשו לאחר הירי.",,,,,,,,,,,,,,,,,
"עוד נטען כי אשמו של הנאשם בעבירת הנשק מסתכם בידיעה בלבד, כך שהוא לא ביצע את המעשה הפיזי של נשיאה, אלא הוא רק מודע לכך שהאחר נושא נשק.",,,,,,,,,,,,,,['לא'],,,
"בנוסף, הידיעה על הנשק אירעה בזמן ההימלטות ולאחר ביצוע הירי ע""י האחר ועל רקע הפתעתו של הנאשם מהשתלשלות האירועים.",,,,,,[],,,,[],,,,,,,
"לעניין מתחם הענישה, ב""כ הנאשם טען כי הענישה הנוהגת ביחס למי שנשא בפועל את הנשק על גופו נעה בין מספר חודשי עבודות שירות לבין שנת מאסר בפועל.",,,,,,,,,,,,,,,,,
"בענייננו, לטענתו, העונש אמור להיות פחוּת יותר, לנוכח הידיעה בלבד, ולפיכך יש להסתפק בתקופת מעצרו בלבד (כשלושה חודשים במצטבר).",,,,,,,,,,,,,,,,,
"עוד נטען כי נסיבותיו האישיות של הנאשם, גילו הצעיר (יליד 1991) ועברו הנקי ממעורבות בפלילים, אמורים להביא להקלה מרבית בעונשו.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
ראשית נתחיל בבחינת סיווג האירוע.,,,,,,,,,,,,,,,,,
"לנאשם יוחסו שתי עבירות שונות, שעניינן באירוע הנחלק לשני חלקים.",,,,,,,,,,,,,,,,,
"החלק הראשון הוא אירוע הירי, שבסופו נמלטו השניים.",,,,,,,,,,['ירי'],,,,,,,
החלק השני הוא היתקלותם במוסא ח'טיב בעודם נמלטים והאיומים עליו.,,,,,,,,,,,,,,,,,
"אמנם מדובר בשתי עבירות שלא נעשו במקביל, אולם ניתן לראות בכך אירוע אחד, לנוכח סמיכות הזמנים ורצף האירועים.",,,,,,,,,,,,,,,,,
"בשלב השני, כאמור, יש לקבוע את מתחם העונש ההולם.",,,,,,,,,,,,,,,,,
"בקביעת מתחם הענישה בהתאם לתיקון 113 לחוק העונשין, יש לקחת בחשבון מספר שיקולים: הערך החברתי שנפגע, מידת הפגיעה בו, נסיבות הקשורות בביצוע העבירה ומדיניות הענישה הנוהגת.",,,,,,,,,,,,,,,,,
