text,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE,GENERAL_CIRCUM,CIRCUM_OFFENSE,reject,CIR_TYPE,CIR_AMOUNT,CIR_ROLE,CIR_EQ,REGRET,RESPO,CONFESSION,CIR_PUNISHMENT
"* בית המשפט גזר את דינו של נאשם שהורשע בעבירות של החזקת סם שלא לצריכה עצמית והחזקת כלים, מצא לחרוג ממתחם הענישה מטעמי שיקום והשית עליו  18 חודשי מאסר בפועל, שני מאסרים מותנים, קנס בסך 10,000 ₪ או מאסר תחתיו וחתימה על התחייבות, להימנע מלעבור עבירה.",[],['18 חודשי מאסר על תנאי'],"['10,000 ₪']",,,,,,,,,,,
"הנאשם הורשע בביצוע עבירות של החזקת סם שלא לצריכה עצמית והחזקת כלים, לפי פקודת הסמים המסוכנים.",,,,,,,,,,,,,,
"בשקלול כל הנתונים והשיקולים, נידון הנאשם ל- 18 חודשי מאסר בפועל, שני מאסרים מותנים, קנס בסך 10,000 ₪ או מאסר תחתיו וחתימה על התחייבות בסכום של 20,000 ₪, להימנע מלעבור עבירה.",['הנאשם קיבל 18 חודשי מאסר בפועל'],['18 חודשי מאסר בפועל'],"['10,000 ₪']",,,,,,,,,,,
"ביום 16.4.2019 הורשע הנאשם, על יסוד הודאתו בכתב אישום מתוקן, במסגרת הסדר דיוני בתום הליך גישור (לפני כב' השופט בני שגיא), בביצוע עבירות של החזקת סם שלא לצריכה עצמית, לפי סעיף 7(א)+(ג) רישא לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973 (להלן: ""פקודת הסמים המסוכנים""); והחזקת כלים, לפי סעיף 10 לפקודת הסמים המסוכנים.",,,,,,,,,,,,,['כן'],
"בכתב האישום המתוקן נכתב כי ביום 16.8.2018 בשעה 9:15 בקירוב, החזיק הנאשם בביתו שברחוב המרגנית 16 חולון, סם מסוכן מסוג קוקאין, במשקל כולל של 55 גרם נטו, כשהוא מחולק ל-38 מנות; משקל אלקטרוני; וכסף מזומן בסך כולל של 4,250 ₪.",,,,,,,"['[קוקאין], [MDMA]']","['[55 - גרם], [38 - יחידה]']",['[בעל הסמים]'],,,,,
"במעשיו אלה, החזיק הנאשם בסם מסוכן מסוג קוקאין שלא לצריכה עצמית ובכלים ללא רשות על פי דין.",,,,,,,"['הסוג הוא [קוקאין], כפי שמצוין בטקסט: ""החזיק הנאשם בסם מסוכן מסוג קוקאין""']",,,,,,,
"ב""כ המאשימה עמד בטיעוניו על חומרת העבירות בהן הורשע הנאשם, והדגיש כי הסם שנתפס בחזקת הנאשם הוא מהמסוכנים מבין הסמים, בכמות גדולה, אשר הוחזק על ידי הנאשם כשהוא מחולק למנות.",,,,,,,,,,,,,,
"ב""כ המאשימה הציג את גיליון הרשעותיו של הנאשם (ת/1), הכולל 2 הרשעות קודמות בעבירות ניסיון לתקיפת אדם לשם שוד ועבירה של שוד מזוין באלימות, בגינן הושת עליו, בין היתר, 20 חודשי מאסר בפועל.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : כן']",,,,,,,,,,
"בנוסף, הורשע הנאשם בעבירה של  החזקת עובד זר, בגינה הושת עליו עונש של עבודות של""צ, אותו סיים לבצע אך בעת האחרונה, במהלך ניהול תיק זה.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : כן', '8 : לא', '9 : כן', '10 : כן', '11 : לא']",,,,,,,,,,
"נטען כי לאור עברו של הנאשם וחרף ההזדמנות שניתנה לנאשם על ידי בית המשפט לשקם את אורחות חייו, הוא לא השכיל לחזור למוטב, ובחר להמשיך לעסוק בפלילים.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : כן']",,,,,,,,,,
"נטען כי הרקע לביצוע העבירות אינו התמכרות הנאשם לסמים, אלא מניעים כלכליים לאור חובותיו הכבדים של הנאשם וכפי העולה מאופן החזקת הסם.",,,,,,,,,,,,,,
"בהקשר זה, ציטט התובע מהודעתו של הנאשם במסגרת החקירה, שם מסר כך: ""נקלעתי לחובות מאד כבדים בשוק האפור ואני לא מצליח לעמוד, מדובר במאות אלפים ולא בעשרות אלפים ואני על בסיס קבוע מאוים.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
"ב""כ המאשימה ציין לטובת הנאשם כי הוא הודה במיוחס לו, חסך בזמן שיפוטי, קיבל אחריות על מעשיו, והשתתף במסגרות טיפוליות בפיקוח שירות המבחן.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,['לא'],['כן'],['כן'],
"צוין כי הנאשם צעיר, אב טרי לשני ילדים קטינים, בעל עסק שנכשל ובעקבות כך הפסיד מאות אלפי שקלים.",,,,"['1 : כן', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,
"נטען כי אין לנאשם עבר פלילי רלוונטי בתחום הסמים, ושתי הרשעותיו הקודמות היו מהתקופה לפני שרקם את חייו, בגינן לקח אחריות ואף השלים את עבודות השל""צ אשר הוטלו עליו בגין הרשעתו האחרונה משנת 2017.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : כן', '9 : לא', '10 : כן', '11 : כן']",,,,,,,,,,
"נטען כי הנאשם שיתף פעולה מהרגע הראשון שנכנסו השוטרים לביתו, והראה להם היכן מוחבאים הסמים.",,,,,,,,,,,,,,
צוין כי הנאשם קיבל אחריות מלאה על מעשיו ונרתם להליך הטיפולי.,,,,,,,,,,,['כן'],['כן'],,
"ב""כ הנאשם הפנה לתסקיר שירות המבחן וציין כי הנאשם סיים בהצלחה סדנת ""חוק ומשפט"", השתלב בשוק העבודה, פיתח יכולת ביקורתית על מעשיו, לקח אחריות, שיקם את אורחות חייו ומתפקד כאיש משפחה.",,,,"['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,['כן'],,
