text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"ב""כ המאשימה- עו""ד נעמה סולומון",,,,,,,,,,,,,,,,,
"הסנגור- עו""ד פאדי שרקאווי",,,,,,,,,,,,,,,,,
המבחן – הגב' איילת רונן.,,,,,,,,,,,,,,,,,
"בהסכמת הנאשם, ונוכח הנטען בבקשתו החוזרת של  שרות המבחן להפקעת צו המבחן, הריני להפקיע את צו המבחן שהושת על הנאשם  בתיק זה, במסגרת  גזר הדין מיום 26/4/10.",,,,,,,,,,,,,,,,,
<#4#>,,,,,,,,,,,,,,,,,
"ניתנה והודעה היום ג' תשרי תשע""ג, 19/09/2012 במעמד הנוכחים.",,,,,,,,,,,,,,,,,
"הנאשם הורשע בתיק זה, על פי הודאתו,  בעבירה של החזקת נשק שלא כדין, עבירה לפי סעיף 144 (א) לחוק העונשין, התשל""ז-1977, וביום 26/4/10 ניתן גזר הדין בעניינו (להלן: ""גזר הדין"").",,,,,,,,,,,,,,['כן'],,,
"בגזר הדין הושת על הנאשם, בהתחשב בעברו הנקי, ובגילו הצעיר, כמו גם באמור בתסקיר שרות המבחן שהוגש בעניינו, עונש של מאסר בפועל לתקופה של 6 חודשים, אשר רוצה על ידי הנאשם בדרך של עבודות שרות, וכן עונש של מאסר על תנאי, זאת בצד צו מבחן למשך 18 חודש, אשר הופקע על ידי, נוכח העובדה שהנאשם לא שיתף פעולה עם שרות המבחן ולא מילא אחר צו המבחן.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : כן', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"בהתחשב בנימוקים לקולא, אשר עמוד בבסיס גזר הדין, וכן בהתחשב בכך שמאז מתן גזר הדין לא הורשע הנאשם בפלילים, ולאחר ששקלתי את טיעוני ב""כ הצדדים בפניי, כמו גם את העובדה שהנאשם ביצע את עבודות השרות, אשר הושתו עליו במסגרת גזר הדין, הנני בדעה כי מן הראוי לאמץ את הסדר הטיעון באשר לעונש המשלים שיושת על הנאשם בתיק זה, שכן עסקינן בהסדר מידתי והולם.",,,,,,,,,,,,,,,,,
"אשר על כן, ובתיתי את הדעת מחד לחומרת העבירה בה הורשע הנאשם, ולכך שצו המבחן בעניינו של הנאשם הופקע לאחר שהנאשם לא שיתף פעולה במסגרת ההליך הטיפולי, ומאידך – לנסיבותיו האישיות של הנאשם כנטען על ידי הסנגור,  אני דנה את הנאשם לתשלום קנס בסך 3,000 ש""ח או       15 ימי מאסר.",,"['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"בהתחשב במצב הכספי של הנאשם, ישולם הקנס ב -   10  תשלומים חודשיים רצופים ושווים בסך 300 ₪ כל אחהחל מיום",,,,,,,,,,,,,,,[],[],[]
"הנני מורה לנאשם לחתום היום על התחייבות כספית בסך 3,000 ₪ או 15 ימי מאסר תמורתה, להימנע למשך שנתיים מביצוע עבירת אלימות, לפי חוק העונשין, תשל""ז - 1977.",,,,,,,,,,,,,,,[],[],"['3000 ש""ח']"
"במידה שלא תיחתם ההתחייבות הכספית, כאמור לעיל, יאסר הנאשם למשך 10 ימים.",,,,,,,,,,,,,,,,,
זכות ערעור תוך 45 יום.,,,,,,,,,,,,,,,,,
"ניתן היום ‏כ""ז שבט תשע""ג (‏07 פברואר 2013) במעמד הנוכחים.",,,,,,,,,,,,,,,,,
הוקלד על ידי לילך  וקנין,,,,,,,,,,,,,,,,,
