text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"ב""כ המאשימה עו""ד דודג'",,,,,,,,,,,,,,,,,
"ב""כ הנאשם עו""ד פרידמן",,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  144(א), 151",,,,,,,,,,,,,,,,,
מתיר תיקון כתב האישום כמבוקש.,,,,,,,,,,,,,,,,,
"ניתנה והודעה היום כ""ח שבט תשע""ו, 07/02/2016 במעמד הנוכחים.",,,,,,,,,,,,,,,,,
"על יסוד הודאתו, מורשע בזאת הנאשם בנוסף בעבירה של התקהלות אסורה, לפי סעיף 151, לחוק העונשין, תשל""ז-1977.",,,,,,,,,,,,,,['כן'],,,
"הנאשם הורשע על יסוד הודאתו, לאחר שחזר בו מכפירתו, במסגרת הסדר טיעון, בכתב אישום מתוקן, בעבירות של החזקת נשק, לפי סעיף 144(א) לחוק העונשין, התשל""ז-1977 (להלן: ""חוק העונשין""), והתקהלות אסורה, לפי סעיף 151 לחוק העונשין.",,,,,,,,,,,,,,['כן'],,,
"על פי עובדות כתב האישום המתוקן, ביום 12.12.2015, בשעת ערב מאוחרת, הגיעו הנאשם ואחרים, שהם אוהדי קבוצת הכדורגל בית""ר ירושלים, למשחק כדורגל שהיה צפוי להתקיים באצטדיון בלומפילד ביפו (להלן: ""האצטדיון"").",,,,,,,,,,,,,,,,,
"בעת ההמתנה למשחק, שהו הנאשם ואחרים, שישבו ברכב חונה (להלן: ""הרכב""), בחניון סמוך (להלן: ""החניון"").",,,,,,,,,,,,,,,,,
"במועד זה ערכו שוטרים סריקות באזור מגרש הכדורגל והחניון, לאיתור אוהדים המפרים את הסדר או צורכים אלכוהול.",,,,,,,,,,,,,,,,,
"בהגיע השוטרים לחניון, בעת שהתקרבו לעבר הנאשם ואחרים, תפס הנאשם בידו רימון הלם מסוג M7920 (להלן: ""הרימון"") שהיה מונח ברכב, אותו החזיק, ללא רשות על פי דין, והשליכו אל מתחת לרכב.",,,,,['ברכב'],,,[],['רימון הלם/גז'],['זריקת רימון'],,,,,,,
במעשיו השתתף הנאשם בהתקהלות אסורה.,,,,,,,,,,,,,,,,,
"הצדדים הגיעו להסדר טיעון, לפיו יעתרו במשותף להטלת עונש של 7 וחצי חודשי מאסר בפועל, מאסר מותנה, קנס והרחקה למשך 4 שנים ממגרשי כדורגל ומאירועי ספורט.",,,,,,,,,,,,,,,[],['7 וחצי חודשי מאסר על תנאי'],[]
יש בעצם החזקת הרימון פוטנציאל נזק ממשי לביטחון הציבור ולשלומו.,,,,,,,,,['רימון רסס'],,,,,,,,
"פוטנציאל נזק זה, מתעצם נוכח מיקום החזקת הרימון, בקרבת אצטדיון הכדורגל – שבו שהו, קרוב לוודאי, אלפי אוהדים, אם לא מעבר לכך – ולאור עיתוי החזקתו, סמוך לפני משחק כדורגל בין קבוצות בית""ר ירושלים והפועל ת""א, שהיריבות הקשה בין אוהדיהן, היא מן המפורסמות.",,,,,,,,,['רימון רסס'],,,,,,,,
"לא ניתן להתעלם, מהשלכת הרימון מתחת לרכב, באופן שיש בו כדי ללמד על חוסר האחריות שנהג הנאשם ברימון, ואף על ניסיונו להרחיק את עצמו ממעשי העבירה.",,,,,,,,,['רימון רסס'],['זריקת רימון'],,,,,,,
"מנגד, יש ליתן משקל הולם לקולה לסוג הנשק, ולכמותו, רימון הלם בודד, שבסופו של דבר, לא נעשה בו שימוש.",,,,,,,,,['רימון הלם/גז'],[],,,,,,,
