text,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CIR_STATUS_WEP,CIR_HELD_WAY_WEP,CIR_PURPOSE,CIR_AMMU_AMOUNT_WEP,CIR_OBTAIN_WAY_WEP,CIR_TYPE_WEP,CIR_USE,CIR_PLANNING,RESPO,REGRET,CONFESSION,PUNISHMENT_ACTUAL,PUNISHMENT_SUSPENDED,PUNISHMENT_FINE
"תמיר נסראלדין (עציר) ת""ז xxxxxxxxx",,,,,,,,,,,,,,,,,
"חוק העונשין, תשל""ז-1977: סע'  29, 144(א), 144(ב), 144(ג), 144(ז), 186(א), 340א(א), 340א(א)(1), 340א(א)(2), 340א(ב)",,,,,,,,,,,,,,,,,
הנאשם הורשע על יסוד הודאתו בביצוע העבירות המיוחסות לו בכתב האישום המתוקן כדלקמן:,,,,,,,,,,,,,,['כן'],,,
"החזקה נשיאה והובלה של נשק - עבירה לפי סעיף 144(א) רישא וסיפא + 144(ב) רישא וסיפא + סעיף 29 לחוק העונשין, התשל""ז-1977 (להלן: ""חוק העונשין""); ירי מנשק חם שלא כדין, בצוותא חדא עם אחר - עבירה לפי סעיף 340א(א)+סעיף 29 לחוק העונשין; החזקת סכין שלא כדין - עבירה לפי סעיף 186(א) לחוק העונשין.",,,,,,,,,['אקדח'],[],,,,,,,
"לפי עובדות כתב האישום המתוקן, במועד הרלוונטי לכתב האישום ובכלל, עשה הנאשם שימוש ברכב מסוג פולקסווגן ג'טה לבן מ""ר 16-706-12 (להלן: ""הרכב"") הרשום במשרד הרישוי על שם אחותו, אלינור נסראלדין, אך בבעלותו של הנאשם, אשר נוהג בו מנהג בעלים.",,,,,,,,,,,,,,,,,
"ביום 23/4/23, בסמוך לשעה 02:08, נסע הנאשם ברכב עם אחר, שזהותו אינה ידועה למאשימה (להלן: ""האחר""), ברחבי היישוב כיסרא-סמיע, כשהנאשם נוהג ברכב והאחר יושב במושב הקדמי שלידו.",,,,,,,,,,,,,,,,,
"באותה העת, האחר החזיק, נשא והוביל רובה סער 16M, כשהוא טעון במחסנית המתאימה לנשק ובתוכה כדורים תואמים.",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",['על גופו'],,,[],['רובה סער 16M'],,,,,,,,
"הרובה הינו כלי שמסוגל לירות כדור ושבכוחו להמית אדם ולפיכך מהווה ""נשק"" כהגדרת מונח זה בחוק, המחסנית והכדורים מהווים אביזר ותחמושת לנשק, כאמור.",,,,"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,,['רובה סער (Assault Rifle)'],['ירי'],,,,,,,
"בהמשך לכך, בשעה 02:08 לערך, בעודם נוסעים ברכב, בסמוך לכניסה לשכונת החיילים המשוחררים בישוב, ירו הנאשם והאחר באוויר, בצוותא חדא ושלא כדין, באמצעות הרובה, לפחות כדור אחד.",,,,,['על גופו'],,,,['רובה סער (Rifle)'],"['ירי', 'ניסיון לירי']",,,,,,,
"בהמשך הנסיעה, במרחק של עשרות מטרים נוספים, ירו הנאשם והאחר באוויר פעם נוספת, בצוותא חדא ושלא כדין, לפחות 22 כדורים.",,,,,,,,,,"['ירי', 'ניסיון לירי']",,,,,,,
