feature_key,text,extraction
GENERAL_CIRCUM,"אשר למיקום העונש במתחם, נטען כי בהינתן העדר עבר פלילי, הודאתו של הנאשם וקבלת אחריות על המעשים, יש למקם את העונש ברף התחתון של מתחם הענישה המוצע, לצד מאסר על תנאי משמעותי וקנס כספי.","['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"עוד הודגש, כי מדובר בנאשם אשר קיבל אחריות מלאה על כל המעשים, ביקש להודות ולשלם את המחיר על מעשיו, הוא נעדר הרשעות קודמות.","['1 : לא', '2 : לא', '3 : לא', '4 : כן', '5 : כן', '6 : לא', '7 : כן', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"אשר לנסיבותיו האישיות של הנאשם, טען הסנגור כי מדובר בנאשם עם נסיבות אישיות קשות, מצב סוציו-אקונומי נמוך, תוך שהפנה לדו""חות המחלקה לשירותים חברתיים של המועצה המקומית כיסרא המטפלת במשפחה (נ/1).","['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"מדובר בנאשם יליד 1997, נעדר עבר פלילי, אשר נתון במעצר ממשי מאז 23/4/24.","['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : כן', '11 : לא']"
GENERAL_CIRCUM,"מעיון בדו""חות המחלקה לשירותים חברתיים (נ/1) של המועצה המקומית כיסרא-סמיע, עולה כי הנאשם מגיע מרקע סוציו-אקונומי נמוך, מצב בריאותם של הוריו של הנאשם בכי רע, במיוחד אמו של הנאשם, שלפי הנמסר הורע בהיבט הנפשי עקב מעצרו של הנאשם.","['1 : לא', '2 : כן', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : כן', '9 : לא', '10 : לא', '11 : לא']"
GENERAL_CIRCUM,"אולם, בהינתן שמדובר בנאשם ללא עבר פלילי, שזוהי לו הסתבכותו הראשונה עם החוק, וכן ההודאה והחסכון בזמן שיפוטי יקר, נמצא שלא למצות עם הנאשם את מלוא חומר הדין, ולמקם את עונשו בתחתית המתחם.","['1 : כן', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']"
CIR_STATUS_WEP,"באותה העת, האחר החזיק, נשא והוביל רובה סער 16M, כשהוא טעון במחסנית המתאימה לנשק ובתוכה כדורים תואמים.","['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']"
CIR_STATUS_WEP,"הרובה הינו כלי שמסוגל לירות כדור ושבכוחו להמית אדם ולפיכך מהווה ""נשק"" כהגדרת מונח זה בחוק, המחסנית והכדורים מהווים אביזר ותחמושת לנשק, כאמור.","['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']"
CIR_STATUS_WEP,"הרימונים הינם כלים שבכוחם להזיק לאדם בעת פעולתם, ומהווים נשק כהגדרתו בחוק, המחסנית מהווה אביזר לנשק, הכדורים והתרמילים מהווים תחמושת של נשק.","['נשק מופרד מתחמושת', 'נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']"
CIR_STATUS_WEP,"באותה עת, אותו אדם החזיק והוביל רובה סער 16M טעון במחסנית, ובתוכה כדורים.","['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']"
CIR_STATUS_WEP,"בהינתן מכלול המעשים של הנאשם, הירי מהנשק החם בשתי הזדמנויות, המספר הרב יחסית של כדורים (22 יריות) מנשק ארוך, אזור הירי, החזקה נשיאה והובלת שני רימוני גז, מחסנית ותחמושת של הנשק הארוך, והחזקת הסכין, מתחם העונש ההולם בנדוננו נע בין 26-52 חודשי מאסר בפועל.","['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']"
CIR_STATUS_WEP,"בנוסף, הנאשם החזיק נשא והוביל ברכבו שני רימוני גז שבכוחם להזיק לאדם, מחסנית ותחמושת לנשק הארוך, וכן סכין.","['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']"
CIR_HELD_WAY_WEP,"באותה העת, האחר החזיק, נשא והוביל רובה סער 16M, כשהוא טעון במחסנית המתאימה לנשק ובתוכה כדורים תואמים.",['על גופו']
CIR_HELD_WAY_WEP,"בהמשך לכך, בשעה 02:08 לערך, בעודם נוסעים ברכב, בסמוך לכניסה לשכונת החיילים המשוחררים בישוב, ירו הנאשם והאחר באוויר, בצוותא חדא ושלא כדין, באמצעות הרובה, לפחות כדור אחד.",['על גופו']
CIR_HELD_WAY_WEP,"באותה עת, אותו אדם החזיק והוביל רובה סער 16M טעון במחסנית, ובתוכה כדורים.",['על גופו']
CIR_HELD_WAY_WEP,"בנוסף, הנאשם החזיק נשא והוביל ברכבו שני רימוני גז שבכוחם להזיק לאדם, מחסנית ותחמושת לנשק הארוך, וכן סכין.",['ברכב']
CIR_OBTAIN_WAY_WEP,"בהמשך לכך, בסמוך לשעה 03:01, נהג הנאשם ברכב ברחבי הישוב, כשהוא מחזיק, נושא ומוביל בלא רשות על-פי דין נשק, כמפורט להלן: שני רימוני יד מדוכה מיוחדים, הפולטים גז CS בעת פעולתם, מפתחים הממוקמים בגוף הרימון; מחסנית של 16M,; מדמה קליע פורק; 10 תרמילים בקוטר של 5.56 מ""מ; ו-5 כדורים ""חיים"" בקוטר של 5.56 מ""מ, כל זאת בלא רשות על-פי דין.",['מאחר']
CIR_OBTAIN_WAY_WEP,"בכל הנוגע להחזקה נשיאה והובלה של רימונים ואביזרי נשק - באותה עת, בנסיבות שלעיל, ובסמוך לשעה 03:00 לפנות בוקר, נהג הנאשם באותו רכב כשהוא מחזיק, נושא ומוביל, שני רימוני יד מדוכה הפולטים גז CS בעת פעולתם; מחסנית של 16M; 10 תרמילים ריקים בקוטר 5.56 מ""מ ו-5 כדורים חיים בקוטר של 5.56 מ""מ.",['מאחר']
CIR_OBTAIN_WAY_WEP,"בנוסף, הנאשם החזיק נשא והוביל ברכבו שני רימוני גז שבכוחם להזיק לאדם, מחסנית ותחמושת לנשק הארוך, וכן סכין.",['מאחר']
CIR_TYPE_WEP,"החזקה נשיאה והובלה של נשק - עבירה לפי סעיף 144(א) רישא וסיפא + 144(ב) רישא וסיפא + סעיף 29 לחוק העונשין, התשל""ז-1977 (להלן: ""חוק העונשין""); ירי מנשק חם שלא כדין, בצוותא חדא עם אחר - עבירה לפי סעיף 340א(א)+סעיף 29 לחוק העונשין; החזקת סכין שלא כדין - עבירה לפי סעיף 186(א) לחוק העונשין.",['אקדח']
CIR_TYPE_WEP,"באותה העת, האחר החזיק, נשא והוביל רובה סער 16M, כשהוא טעון במחסנית המתאימה לנשק ובתוכה כדורים תואמים.",['רובה סער 16M']
CIR_TYPE_WEP,"הרובה הינו כלי שמסוגל לירות כדור ושבכוחו להמית אדם ולפיכך מהווה ""נשק"" כהגדרת מונח זה בחוק, המחסנית והכדורים מהווים אביזר ותחמושת לנשק, כאמור.",['רובה סער (Assault Rifle)']
CIR_TYPE_WEP,"בהמשך לכך, בשעה 02:08 לערך, בעודם נוסעים ברכב, בסמוך לכניסה לשכונת החיילים המשוחררים בישוב, ירו הנאשם והאחר באוויר, בצוותא חדא ושלא כדין, באמצעות הרובה, לפחות כדור אחד.",['רובה סער (Rifle)']
CIR_TYPE_WEP,"בהמשך לכך, בסמוך לשעה 03:01, נהג הנאשם ברכב ברחבי הישוב, כשהוא מחזיק, נושא ומוביל בלא רשות על-פי דין נשק, כמפורט להלן: שני רימוני יד מדוכה מיוחדים, הפולטים גז CS בעת פעולתם, מפתחים הממוקמים בגוף הרימון; מחסנית של 16M,; מדמה קליע פורק; 10 תרמילים בקוטר של 5.56 מ""מ; ו-5 כדורים ""חיים"" בקוטר של 5.56 מ""מ, כל זאת בלא רשות על-פי דין.",['רימון הלם/גז']
CIR_TYPE_WEP,"הרימונים הינם כלים שבכוחם להזיק לאדם בעת פעולתם, ומהווים נשק כהגדרתו בחוק, המחסנית מהווה אביזר לנשק, הכדורים והתרמילים מהווים תחמושת של נשק.",['רימון רסס']
CIR_TYPE_WEP,"באותה העת, בעודו נוסע ברכב, החזיק הנאשם סכין מטבח שלא כדין.",['מטבח - סכין מטבח']
CIR_TYPE_WEP,"הודגש, כי חלקו של הנאשם בביצוע העבירה הוא אבסולוטי, הנזק שהיה צפוי להיגרם כתוצאה ממעשיו של הנאשם חמור, בשים לב לכך שהנאשם ביצע ירי בשטח בנוי, נעצר עם רימוני גז פוגעניים ברכבו, שבכוחם להזיק לאדם.",['רימון הלם/גז']
CIR_TYPE_WEP,"מנגד, עמד הסניגור המלומד על כך, שכתב האישום תוקן באופן ""יסודי מאד"", כלשונו, וכך שמדובר בנשיאה והובלת שני רימוני גז, 10 תרמילים ריקים ו-5 כדורים ""חיים"", והחזקת סכין.",['רימון הלם/גז']
CIR_TYPE_WEP,"הירי בוצע בשטח לא מאוכלס, נמחקה מכתב האישום עבירת החזקת הנשק הארוך לנאשם (רובה ה- M16), ונטען כי הנאשם נטל אחריות מלאה על הירי, למרות שבפועל, מי שביצע את הירי הוא אותו אחר, כך לטענת הסניגור.",['רובה סער (רובה M16)']
CIR_TYPE_WEP,החזקה נשיאה והובלת רימוני גז ואביזרי נשק,['רימון הלם/גז']
CIR_TYPE_WEP,"באותה עת, אותו אדם החזיק והוביל רובה סער 16M טעון במחסנית, ובתוכה כדורים.",['רובה סער (Assault Rifle)']
CIR_TYPE_WEP,"בכל הנוגע להחזקה נשיאה והובלה של רימונים ואביזרי נשק - באותה עת, בנסיבות שלעיל, ובסמוך לשעה 03:00 לפנות בוקר, נהג הנאשם באותו רכב כשהוא מחזיק, נושא ומוביל, שני רימוני יד מדוכה הפולטים גז CS בעת פעולתם; מחסנית של 16M; 10 תרמילים ריקים בקוטר 5.56 מ""מ ו-5 כדורים חיים בקוטר של 5.56 מ""מ.",['רימון הלם/גז']
CIR_TYPE_WEP,"אציין, כי הכדורים תואמים לנשק הארוך הנ""ל ממנו בוצע הירי, ולגבי הרימונים והנשק, מדובר בשני רימוני מדוכה פולטי גז, שבכוחם להזיק לאדם בעת פעולתם, המהווים ""נשק"" כהגדרתו בחוק.",['רימון רסס']
CIR_TYPE_WEP,"בכל הנוגע להחזקת סכין - מדובר בסכין מטבח שנמצאה ברכב הנאשם, לגבי עבירה זו וחומרתה אפנה לפסיקה הענפה שלעיל בפרק מדיניות הענישה.",['אקדח']
CIR_TYPE_WEP,"בהינתן מכלול המעשים של הנאשם, הירי מהנשק החם בשתי הזדמנויות, המספר הרב יחסית של כדורים (22 יריות) מנשק ארוך, אזור הירי, החזקה נשיאה והובלת שני רימוני גז, מחסנית ותחמושת של הנשק הארוך, והחזקת הסכין, מתחם העונש ההולם בנדוננו נע בין 26-52 חודשי מאסר בפועל.","['רובה סער (Rifle) בהתאם לתיאור בחומר הטקסט, הנאשם החזיק, נשא והוביל שני רימוני גז, מחסנית ותחמושת של נ']"
CIR_TYPE_WEP,"הנאשם ביצע ירי מהנשק הארוך בצוותא חדא עם האחר, בשתי הזדמנויות, בשטח בנוי, סמוך לכניסה לשכונת מגורים, ירי של לפחות 23 כדורים באוויר, ירי אחד סמוך לשכונה ו-22 יריות עשרות מטרים משם מיד לאחר מכן.",['רובה סער (Rifle)']
CIR_TYPE_WEP,"בנוסף, הנאשם החזיק נשא והוביל ברכבו שני רימוני גז שבכוחם להזיק לאדם, מחסנית ותחמושת לנשק הארוך, וכן סכין.",['רימון הלם/גז']
CIR_TYPE_WEP,"העובדה שהיה מצויד בכלי נשק שונים ומגוונים, לרבות נשק קר (סכין), ברכבו, מעצימה את הסכנה שנשקפה לציבור מפניו.","['תת מקלע (תמ""ק)']"
CIR_TYPE_WEP,"עבירות החזקת התחמושת התמצו בהחזקת רימוני אל הרג שרף חומרתם פחות במדרג החומרה ומס' בודד נמוך של כדורים חיים, והחזקת סכין שנמצאה ברכב אגב חיפוש ללא עבירה נלווית לה.",['רימון הלם/גז']
CIR_USE,"הרובה הינו כלי שמסוגל לירות כדור ושבכוחו להמית אדם ולפיכך מהווה ""נשק"" כהגדרת מונח זה בחוק, המחסנית והכדורים מהווים אביזר ותחמושת לנשק, כאמור.",['ירי']
CIR_USE,"בהמשך לכך, בשעה 02:08 לערך, בעודם נוסעים ברכב, בסמוך לכניסה לשכונת החיילים המשוחררים בישוב, ירו הנאשם והאחר באוויר, בצוותא חדא ושלא כדין, באמצעות הרובה, לפחות כדור אחד.","['ירי', 'ניסיון לירי']"
CIR_USE,"בהמשך הנסיעה, במרחק של עשרות מטרים נוספים, ירו הנאשם והאחר באוויר פעם נוספת, בצוותא חדא ושלא כדין, לפחות 22 כדורים.","['ירי', 'ניסיון לירי']"
CIR_USE,"הודגש, כי חלקו של הנאשם בביצוע העבירה הוא אבסולוטי, הנזק שהיה צפוי להיגרם כתוצאה ממעשיו של הנאשם חמור, בשים לב לכך שהנאשם ביצע ירי בשטח בנוי, נעצר עם רימוני גז פוגעניים ברכבו, שבכוחם להזיק לאדם.","['ירי', 'ניסיון לירי']"
CIR_USE,"צוין, כי הנאשם הודה בביצוע ירי בשטח בנוי, מדובר בחלופה מקלה, שבוצעה בצוותא עם אחר.",['ירי']
CIR_USE,"הירי בוצע בשטח לא מאוכלס, נמחקה מכתב האישום עבירת החזקת הנשק הארוך לנאשם (רובה ה- M16), ונטען כי הנאשם נטל אחריות מלאה על הירי, למרות שבפועל, מי שביצע את הירי הוא אותו אחר, כך לטענת הסניגור.",['ירי']
CIR_USE,"המחוקק תחם את גבולות החומרה והעונש בהתאם, על פי שתי החלופות הבאות: א) ירי מנשק חם, לפי סעיף 340א(א) לחוק העונשין, כבנדוננו, דינו מאסר שנתיים; ב) ירי באזור מגורים, או במקום אחר שיש בירי כדי לסכן חיי אדם, לפי סעיף 340א(א)(1), או ביצוע ירי, שאינו תלוי בטיב הסביבה בו הוא בוצע, אך יש בו כדי לסכן חיי אדם, לפי סעיף 340א(א)(2) - דינם מאסר חמש שנים.","['ירי', 'ניסיון לירי']"
