,case,text,reject,PUNISHMENT,GENERAL_CIRCUM,CIRCUM_OFFENSE,CONFESSION,RESPO,REGRET,CIR_USE,CIR_TYPE_WEP,CIR_STATUS_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_OBTAIN_WAY_WEP,CIR_MONEY_PAID_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,_HELD_WAY_WEP
0,m08050014-189,"ע""י ב""כ עו""ד רחל חזן",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,m08050014-189,נ  ג  ד,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,m08050014-189,נ  ג  ד,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,m08050014-189,"ע""י ב""כ עו""ד צבי אבנון",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,m08050014-189,"חוק העונשין, תשל""ז-1977: סע'  144(ב), 192, 329(א)(2), 340א",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,m08050014-189,"במסגרת הכרעת הדין שניתנה בעניינו הנאשם הורשע בעבירות הבאות: ניסיון לחבלה בכוונה מחמירה עבירה לפי סעיף 329(א)(2) לחוק העונשין התשל""ז-1977 (להלן: ""החוק""); נשיאה והובלת נשק עבירה לפי סעיף 144(ב) לחוק; יריות באזור מגורים עבירה לפי סעיף 340א לחוק; ובאיומים עבירה לפי סעיף 192 לחוק.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,m08050014-189,"על פי הכרעת הדין בתאריך 21.3.07 סמוך לשעה 01:30 הגיע הנאשם לגינה ציבורית ליד רחוב רבי נחמן מברסלב ביפו, שם בילתה חבורת אנשים באכילה ושתיה, וביניהם אלמוני (להלן: ""אלמוני"") ואחיו פלמוני (להלן: ""פלמוני"").",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
7,m08050014-189,"הוא פנה לאלמוני בצעקות, קילל אותו ואת פלמוני.",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
8,m08050014-189,"אמר לו ולפלמוני ""אני אזיין את אמא שלכם יא בני שרמוטה"" והמשיך להטיל אימה באלמוני בהטיחו בו ""אתה לא רוצה להרגע ?",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
9,m08050014-189,"אתה לא רוצה לקצר את הלשון שלך?"" כשניסו הנוכחים להרגיע את הנאשם השיב להם בקללות ועזב את המקום.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
10,m08050014-189,"שניות לאחר מכן חזר כשבידו אקדח חצי אוטומטי, כיוון אותו אל אלמוני וירה כ- 6 כדורים לעברו ולעבר חבריו כשהוא מנסה לפגוע באלמוני.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
11,m08050014-189,הנוכחים פתחו בריצה מבוהלת וברחו מהגינה.,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
12,m08050014-189,"למחרת, פנו בני משפחתו של אלמוני אל דודיו של הנאשם והתחננו שירגיעו אותו.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,m08050014-189,הדוד עשה כן וכן קרוב נוסף אשר הבטיחו לנאשם כי אלמוני מבטיח שלא ידבר.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
14,m08050014-189,"ב""כ המאשימה טענה כי נסיבות האירוע מצביעות על מסוכנותו של הנאשם, כמו גם גיליון הרשעותיו הקודמות, התסקיר והראיות שנשמעו בתיק.",0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
